stationID,lat,long,hidxbc_date_1_time_00Z,hidxbc_date_1_time_03Z,hidxbc_date_1_time_06Z,hidxbc_date_1_time_09Z,hidxbc_date_1_time_12Z,hidxbc_date_1_time_15Z,hidxbc_date_1_time_18Z,hidxbc_date_1_time_21Z,hidxbc_date_2_time_00Z,hidxbc_date_2_time_03Z,hidxbc_date_2_time_06Z,hidxbc_date_2_time_09Z,hidxbc_date_2_time_12Z,hidxbc_date_2_time_15Z,hidxbc_date_2_time_18Z,hidxbc_date_2_time_21Z,hidxbc_date_3_time_00Z,hidxbc_date_3_time_03Z,hidxbc_date_3_time_06Z,hidxbc_date_3_time_09Z,hidxbc_date_3_time_12Z,hidxbc_date_3_time_15Z,hidxbc_date_3_time_18Z,hidxbc_date_3_time_21Z,hidxbc_date_4_time_00Z,hidxbc_date_4_time_03Z,hidxbc_date_4_time_06Z,hidxbc_date_4_time_09Z,hidxbc_date_4_time_12Z,hidxbc_date_4_time_15Z,hidxbc_date_4_time_18Z,hidxbc_date_4_time_21Z,hidxbc_date_5_time_00Z,hidxbc_date_5_time_03Z,hidxbc_date_5_time_06Z,hidxbc_date_5_time_09Z,hidxbc_date_5_time_12Z,hidxbc_date_5_time_15Z,hidxbc_date_5_time_18Z,hidxbc_date_5_time_21Z,hidxbc_date_6_time_00Z,hidxbc_date_6_time_03Z,hidxbc_date_6_time_06Z,hidxbc_date_6_time_09Z,hidxbc_date_6_time_12Z,hidxbc_date_6_time_15Z,hidxbc_date_6_time_18Z,hidxbc_date_6_time_21Z,hidxbc_date_7_time_00Z,hidxbc_date_7_time_03Z,hidxbc_date_7_time_06Z,hidxbc_date_7_time_09Z,hidxbc_date_7_time_12Z,hidxbc_date_7_time_15Z,hidxbc_date_7_time_18Z,hidxbc_date_7_time_21Z,hidxbc_date_8_time_00Z,hidxbc_date_8_time_03Z,hidxbc_date_8_time_06Z,hidxbc_date_8_time_09Z,hidxbc_date_8_time_12Z,hidxbc_date_8_time_15Z,hidxbc_date_8_time_18Z,hidxbc_date_8_time_21Z,hidxbc_date_9_time_00Z,hidxbc_date_9_time_03Z,hidxbc_date_9_time_06Z,hidxbc_date_9_time_09Z,hidxbc_date_9_time_12Z,hidxbc_date_9_time_15Z,hidxbc_date_9_time_18Z,hidxbc_date_9_time_21Z,hidxbc_date_10_time_00Z,hidxbc_date_10_time_03Z,hidxbc_date_10_time_06Z,hidxbc_date_10_time_09Z,hidxbc_date_10_time_12Z
48300,97.83333,19.3,22.2561,24.0586,26.878,29.8495,28.2269,28.4537,28.2921,27.559,28.5627,29.6185,20.6918,27.4839,34.6714,30.4032,24.3243,28.7388,26.9495,27.0476,28.6272,27.5865,33.1084,37.4935,39.2313,29.7767,34.6214,31.8351,38.8793,37.0657,38.7568,38.8761,38.945,41.0404,36.7283,38.1971,39.6456,36.4506,37.0486,40.5623,41.4486,38.6731,39.4806,38.964,41.627,41.3358,39.2353,35.1702,38.8214,44.7479,42.2102,39.2287,29.8865,35.8993,34.4447,34.8104,32.4037,31.5785,33.4164,32.8093,33.7842,26.2842,31.973,32.6751,32.2095,30.3277,30.0136,28.6905,28.582,33.0305,23.3947,28.8822,31.4588,28.448,26.8318,29.2602,29.4906,30.1654,28.3528
48302,99.05,19.93333,18.6628,15.8156,15.3794,17.0871,16.5721,17.2379,16.7786,17.8339,16.0804,14.3083,21.6297,19.7379,18.8154,20.6013,15.7976,20.4514,19.8134,21.28,17.0179,16.5941,24.0045,23.7178,23.7764,22.0679,20.8796,23.8713,23.318,24.3657,21.853,25.1093,24.2162,24.4467,22.4685,21.6276,19.8675,22.4695,23.5269,23.0421,22.0433,24.8651,23.4984,22.7346,21.9841,22.5192,20.3813,23.7841,17.8992,21.7151,21.5159,22.6337,20.6768,20.096,19.0084,16.68,19.4295,17.8816,18.5408,18.8987,20.1542,17.8057,18.0405,18.3304,16.577,18.3979,17.2726,18.6102,16.4906,17.3941,15.4737,16.2883,16.8227,16.7943,15.8397,18.199,17.5404,16.3534,16.2617
48303,99.88139,19.96139,20.5733,19.4479,19.9847,22.1895,22.1203,21.8187,21.5599,22.7161,21.8,20.5686,24.723,27.9265,29.6599,25.5833,26.2328,29.9578,28.6538,30.3109,30.381,30.9083,30.9335,28.4741,36.5645,33.7576,34.0769,34.992,34.6985,32.3474,32.941,32.017,31.3366,34.7539,35.5619,35.8249,37.2499,40.0742,33.0626,34.5605,36.0306,41.6378,30.1948,32.4036,31.6495,31.3117,30.6983,27.8082,33.3192,32.64,33.1028,31.8932,25.4494,24.3764,25.3482,22.9232,24.7089,22.7862,26.4698,25.733,25.9745,20.7553,23.1161,22.808,21.1256,23.639,22.2774,23.9057,22.3275,23.4499,19.4852,19.9744,20.873,21.4385,22.135,21.7245,22.6919,21.9893,21.4836
48304,99.78333,19.86667,22.4751,23.7989,23.1023,22.819,23.3801,23.5914,25.0629,25.5833,23.801,21.8682,24.6694,28.2847,29.8601,28.3784,24.9066,29.5682,30.8391,30.7774,29.8671,29.9879,34.2968,36.6688,36.1245,33.1178,33.8377,34.5195,34.6488,36.8337,36.615,36.2501,36.0293,37.4012,37.7621,36.0093,28.7444,36.4016,35.0141,34.3432,39.1805,33.0123,29.6358,32.4146,32.514,30.4076,31.4357,31.4589,33.9035,34.1604,32.8768,33.1617,26.4089,25.5421,26.0768,23.2394,25.7046,26.9948,26.1158,26.5151,26.4338,24.4048,23.3179,23.8712,22.253,24.3551,24.8726,25.8105,25.3549,25.8046,23.3554,22.4451,22.7235,21.4865,23.9623,24.8038,25.2118,24.9442,23.7189
48307,100.8025,19.4081,19.1488,20.1721,20.9548,19.2702,21.5232,19.9406,21.5176,22.9033,23.1718,22.1822,24.1746,29.4644,29.4644,27.7175,24.9474,26.0176,27.7119,30.1398,25.5032,31.7581,34.5806,38.389,36.9141,34.4019,33.0277,34.539,32.3287,33.4558,39.6091,26.9219,30.993,30.6093,36.2348,29.4633,37.3529,28.5136,39.8935,39.534,34.4073,33.7484,29.4999,31.7783,32.9395,29.1534,30.7445,32.2579,32.7898,33.9817,32.8847,32.4065,24.4218,24.8451,24.1615,24.2984,27.4692,26.5974,27.2155,26.7513,26.4983,23.1082,22.469,22.3067,22.3288,24.5653,24.5554,26.7749,24.2279,24.1949,22.2975,24.9789,21.1636,21.9089,24.1578,22.2254,23.4627,22.2616,22.2572
48310,99.9,19.13333,21.7715,24.1736,24.3959,24.8044,24.8846,24.4992,24.7433,25.4579,27.0319,24.4006,28.9123,31.6221,35.2303,29.4195,33.5851,34.2223,32.7338,33.0735,34.6669,35.2612,35.4239,39.1178,41.0272,36.9099,36.2373,35.2506,35.9153,39.4582,42.112,39.7174,25.6001,38.6378,42.4855,34.4064,36.0479,39.0377,37.5807,36.8868,34.5949,35.7555,28.3359,33.1385,29.5402,26.0689,32.327,30.9218,30.3352,33.1056,32.6445,31.508,25.8659,26.9018,26.563,24.9147,27.0325,28.9549,29.3961,28.2363,27.506,25.9978,24.6517,24.3801,25.084,26.7706,26.6706,27.9707,28.8336,25.9524,23.3888,22.5057,24.9901,24.15,25.2434,24.4756,26.2289,25.5301,25.7228
48315,100.8025,19.11056,21.0819,24.0477,24.647,22.9907,22.984,22.4132,23.2443,24.0263,23.9514,23.9763,23.1271,32.9348,32.1278,30.3692,26.5973,26.2754,28.504,32.8457,31.7817,31.7858,33.5038,39.9399,38.9626,34.7963,35.7863,39.0321,31.8958,30.5307,41.3834,35.8566,34.4166,33.4196,43.9367,35.6908,39.4613,35.4867,41.6672,40.846,38.8185,34.9482,33.2732,38.5691,35.4475,31.7768,38.5347,34.208,32.8419,37.3283,37.96,37.5864,27.4635,28.0134,29.6911,27.2638,28.4801,30.5206,29.7123,29.6953,29.8577,24.4438,27.6532,25.23,24.8568,26.1367,26.444,27.5397,25.3805,26.2893,23.1832,27.2194,23.6411,23.9053,24.0523,24.4219,24.1332,26.2373,24.0525
48324,99.24472,17.63632,24.6475,27.115,27.6507,27.3264,26.5417,27.1475,28.4169,27.4938,28.1093,27.3483,32.785,35.9746,34.1761,30.7585,28.6896,33.8887,36.3539,37.7771,35.8071,36.5135,40.2459,41.6289,43.0248,38.3875,42.9749,40.3677,41.2574,42.3148,42.5659,43.5372,31.091,42.4395,36.0885,40.7615,40.507,45.9934,33.3932,42.8778,39.3719,44.0043,35.549,38.3183,32.2611,36.7683,34.2788,35.5267,36.3737,36.8924,40.7923,37.2164,30.2563,32.6277,32.0438,30.9676,31.0481,28.9574,31.7953,33.8602,34.1797,28.5628,30.2474,28.4178,28.1507,25.0299,29.82,27.3687,31.0721,30.0723,27.8275,28.724,27.2813,26.747,27.8966,28.2583,28.4453,28.6195,28.2869
48325,97.93333,18.16667,23.2009,23.3545,26.9859,25.72,26.4217,26.4456,25.7852,26.2058,26.6999,27.0494,20.4605,22.1658,26.717,22.0424,22.3581,23.808,24.0152,26.6764,21.7787,22.3872,31.4771,37.7943,36.0675,40.238,34.5244,37.7708,29.4238,29.596,37.8661,34.8317,36.3981,38.3245,33.9085,41.6993,41.6124,37.2657,37.97,41.524,36.7651,38.0544,32.7773,36.5239,34.4745,33.3697,31.6714,30.2577,31.0416,31.8143,37.9038,33.2167,27.0173,30.4527,29.6827,31.6753,24.6247,30.1575,29.4627,29.1848,29.1355,24.6179,29.0824,27.375,23.2577,27.0925,25.6153,28.5572,26.1277,27.3041,22.6182,27.4815,25.3454,26.4699,24.3393,26.5874,26.4699,25.6214,25.942
48327,98.97694,18.79,21.071,20.1643,22.8539,22.8269,23.9668,21.7196,20.9218,22.2904,23.9136,22.6645,27.451,29.2902,29.9954,28.9347,26.424,26.0718,27.5989,27.5576,28.8547,27.6004,35.1334,30.7078,36.2942,35.1163,31.989,31.7016,36.7092,35.4466,39.2925,38.3197,35.5075,38.9151,35.9834,35.4467,39.1585,32.3129,34.147,35.1927,35.7967,35.6264,31.0662,33.3997,32.8675,29.7833,27.4896,30.3541,31.8389,33.2882,31.549,33.0127,24.9087,27.856,28.1359,28.0846,25.5382,28.0271,25.8496,27.3986,28.2672,24.8012,24.0177,24.9261,22.9991,24.9868,23.8841,24.8656,24.8753,26.8478,22.1347,24.3691,25.0076,23.9809,23.2377,22.6129,23.4943,23.7064,25.2371
