WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,StationPressure,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897,97.97578,09/19/2025 10:00:00,978.98,1008.90,28.0,25.1,85,31.93,5.00,000,0.0,0.00,3.80
48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93139,99.04833,09/19/2025 10:00:00,848.32,1010.43,18.2,18.2,100,20.88,.50,000,0.0,6.80,6.80
48303,เชียงราย,CHIANG RAI,เชียงราย,19.96139,99.88139,09/19/2025 10:00:00,966.68,1010.43,25.8,23.6,88,29.13,10.00,000,0.0,0.70,52.10
48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083,99.78278,09/19/2025 10:00:00,964.52,1010.45,25.2,23.7,92,29.36,10.00,000,0.0,1.00,21.30
48307,ทุ่งช้าง,THUNG CHANG,น่าน,19.41194,100.88353,09/19/2025 10:00:00,972.30,1009.70,28.4,24.4,79,30.51,12.00,000,0.0,0.00,6.10
48310,พะเยา,PHAYAO,พะเยา,19.13333,99.9,09/19/2025 10:00:00,965.29,1010.46,26.0,23.8,88,29.50,10.00,000,0.0,0.50,13.60
48315,ท่าวังผา,THA WANGPHA,น่าน,19.11056,100.8025,09/19/2025 10:00:00,983.70,1010.31,28.4,24.7,80,31.06,10.00,000,0.0,0.00,2.40
48324,เถิน,THOEN,ลำปาง,17.63661,99.24475,09/19/2025 10:00:00,987.50,1009.24,27.3,25.6,90,32.81,10.00,000,0.0,0.00,1.40
48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16667,97.93333,09/19/2025 10:00:00,985.15,1009.08,29.0,24.9,78,31.41,10.00,000,0.0,0.00,0.00
48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.79,98.97694,09/19/2025 10:00:00,975.45,1009.75,28.7,24.8,80,31.38,10.00,190,1.9,0.70,1.00
48328,ลำปาง,LAMPANG,ลำปาง,18.28333,99.51667,09/19/2025 10:00:00,982.88,1010.48,26.5,25.5,94,32.63,7.00,000,0.0,5.30,6.00
48329,ลำพูน,LAMPHUN,ลำพูน,18.56722,99.03389,09/19/2025 10:00:00,975.86,1009.27,28.2,25.1,83,31.79,10.00,000,0.0,0.40,0.60
48330,แพร่,PHRAE,แพร่,18.16667,100.16667,09/19/2025 10:00:00,991.16,1009.68,27.1,25.5,91,32.69,7.00,000,0.0,0.00,14.80
48331,น่าน,NAN,น่าน,18.77972,100.77778,09/19/2025 10:00:00,987.21,1009.91,28.8,24.0,76,29.90,10.00,150,3.7,0.00,14.80
48333,น่าน สกษ.,NAN AGROMET.,น่าน,18.86667,100.75,09/19/2025 10:00:00,980.22,1009.90,29.3,23.3,70,28.67,12.00,000,0.0,0.00,6.60
48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31667,99.28333,09/19/2025 10:00:00,974.21,1009.95,25.0,24.3,96,30.32,4.00,000,0.0,2.00,2.00
48350,เลย สกษ.,LOEI AGROMET.,เลย,17.4,101.73333,09/19/2025 10:00:00,979.85,1009.81,24.7,23.8,95,29.51,6.00,000,0.0,12.20,75.10
48351,อุตรดิตถ์,UTTARADIT,อุตรดิตถ์,17.61667,100.1,09/19/2025 10:00:00,1002.32,1009.64,27.0,25.1,90,31.94,4.00,000,0.0,0.70,1.60
48352,หนองคาย,NONG KHAI,หนองคาย,17.86717,102.73303,09/19/2025 10:00:00,989.44,1009.10,31.0,22.2,60,26.73,12.00,070,3.7,0.00,0.00
48353,เลย,LOEI,เลย,17.45,101.73333,09/19/2025 10:00:00,981.63,1010.58,24.5,24.1,97,29.93,5.00,230,7.4,8.40,55.20
48354,อุดรธานี,UDON THANI,อุดรธานี,17.38333,102.8,09/19/2025 10:00:00,989.67,1009.79,28.3,22.2,70,26.81,15.00,100,5.6,0.00,13.60
48355,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,17.12503,104.061,09/19/2025 10:00:00,987.83,1009.45,29.0,24.6,77,30.85,12.00,190,3.7,0.00,4.20
48356,สกลนคร,SAKON NAKHON,สกลนคร,17.15,104.13333,09/19/2025 10:00:00,989.27,1008.60,29.8,24.4,73,30.47,12.00,190,3.7,0.00,0.00
48357,นครพนม,NAKHON PHANOM,นครพนม,17.41083,104.7825,09/19/2025 10:00:00,993.00,1009.61,30.0,24.1,71,30.03,12.00,140,7.4,0.00,11.00
48358,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,17.27642,104.77367,09/19/2025 10:00:00,992.28,1009.58,29.5,24.5,75,30.72,12.00,090,9.3,0.00,0.00
48360,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,17.2325,102.42944,09/19/2025 10:00:00,983.15,1009.12,25.2,24.0,93,29.89,8.00,250,3.7,14.40,34.00
48363,บึงกาฬ,Bueng Kan,บึงกาฬ,18.41361,103.51672,09/19/2025 10:00:00,990.91,1009.51,29.0,25.6,82,32.83,8.00,290,1.9,0.00,11.30
48372,สุโขทัย,SUKHOTHAI*,สุโขทัย,17.10611,99.8,09/19/2025 10:00:00,1003.11,1008.86,29.5,26.4,84,34.46,10.00,120,5.6,3.00,4.40
48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,17.16136,99.86167,09/19/2025 10:00:00,1003.27,1009.45,28.0,26.2,90,33.94,7.00,000,0.0,1.60,14.60
48374,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361,101.24944,09/19/2025 10:00:00,993.85,1010.41,25.6,23.5,88,29.01,10.00,000,0.0,11.00,42.70
48375,แม่สอด,MAE SOT,ตาก,16.65917,98.55083,09/19/2025 10:00:00,985.66,1008.11,25.5,24.0,92,29.91,6.00,000,0.0,3.20,3.20
48376,ตาก,TAK,ตาก,16.87833,99.14333,09/19/2025 10:00:00,996.34,1010.86,25.3,24.4,95,30.60,7.00,260,5.6,16.60,53.80
48377,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,17.24389,99.0025,09/19/2025 10:00:00,993.08,1009.48,27.2,25.5,90,32.61,6.00,000,0.0,0.80,8.80
48378,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79481,100.2793,09/19/2025 10:00:00,1004.50,1009.69,29.8,25.6,78,32.75,10.00,000,0.0,0.00,5.30
48379,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333,101.15,09/19/2025 10:00:00,995.10,1008.32,26.8,24.9,90,31.55,10.00,000,0.0,0.20,16.60
48380,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48681,99.52697,09/19/2025 10:00:00,1000.31,1009.62,28.0,25.9,88,33.37,10.00,210,5.6,2.40,10.10
48381,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111,102.78972,09/19/2025 10:00:00,987.70,1010.39,25.0,24.8,99,31.39,8.00,000,0.0,15.60,28.40
48382,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722,103.06805,09/19/2025 10:00:00,992.87,1010.43,27.0,25.6,92,32.77,9.00,280,1.9,21.80,29.50
48383,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54139,104.72889,09/19/2025 10:00:00,992.42,1008.54,28.6,24.3,78,30.34,10.00,000,0.0,0.00,0.00
48384,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333,102.81667,09/19/2025 10:00:00,991.28,1010.30,25.8,24.6,93,31.00,7.00,300,5.6,6.60,19.10
48385,อุ้มผาง,UMPHANG,ตาก,16.02472,98.86444,09/19/2025 10:00:00,957.84,1009.56,23.5,22.1,92,26.66,8.00,000,0.0,1.60,10.90
48386,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.43806,100.2925,09/19/2025 10:00:00,1003.70,1008.03,28.0,24.6,82,30.84,8.00,150,5.6,0.00,1.50
48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,ตาก,16.75,98.93333,09/19/2025 10:00:00,913.59,1008.75,21.8,21.0,95,24.90,.20,000,0.0,10.20,17.50
48390,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.3325,103.58833,09/19/2025 10:00:00,993.41,1009.40,27.6,25.9,91,33.41,8.00,200,3.7,0.00,4.60
48391,อำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,15.90375,104.61805,09/19/2025 10:00:00,989.21,1009.61,27.3,24.7,86,31.14,10.00,160,3.7,0.00,20.20
48400,นครสวรรค์ ,NAKHON SAWAN,นครสวรรค์,15.67183,100.13236,09/19/2025 10:00:00,1005.90,1010.01,27.3,25.4,90,32.53,8.00,000,0.0,1.40,21.80
