WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure,Temperature,MaxTemperature,DifferentFromMaxTemperature,MinTemperature,DifferentFromMinTemperature,RelativeHumidity,WindDirection,WindSpeed,Rainfall
48300,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897,97.97578,09/19/2025 07:00:00,1008.35,26.0,34.8,-0.3,25.4,0.1,92,000,0,3.80
48325,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16667,97.93333,09/19/2025 07:00:00,1008.51,25.5,34.5,-0.5,25.0,0.5,94,000,0,0.00
48303,เชียงราย,CHIANG RAI,เชียงราย,19.96139,99.88139,09/19/2025 07:00:00,1009.94,23.0,32.5,-0.5,22.3,-1.5,96,210,4,51.40
48304,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083,99.78278,09/19/2025 07:00:00,1010.19,23.0,33.0,0.3,21.0,-1.5,96,000,0,20.30
48310,พะเยา,PHAYAO,พะเยา,19.13333,99.9,09/19/2025 07:00:00,1009.38,23.5,33.6,-1.5,22.5,-1.6,96,000,0,13.10
48302,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93139,99.04833,09/19/2025 07:00:00,1009.69,18.5,25.3,1.1,18.2,1.0,93,000,0,0.00
48327,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.79,98.97694,09/19/2025 07:00:00,1008.54,25.8,35.3,0.9,25.5,0.4,93,190,1,0.30
48328,ลำปาง,LAMPANG,ลำปาง,18.28333,99.51667,09/19/2025 07:00:00,1009.48,24.5,31.8,-2.9,24.0,0.4,97,000,0,0.70
48324,เถิน,THOEN,ลำปาง,17.63661,99.24475,09/19/2025 07:00:00,1007.96,24.9,33.7,-0.1,24.4,-0.6,97,000,0,1.40
48334,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31667,99.28333,09/19/2025 07:00:00,1008.89,24.1,31.7,-0.8,23.5,-0.5,98,000,0,0.01
48329,ลำพูน,LAMPHUN,ลำพูน,18.56722,99.03389,09/19/2025 07:00:00,1008.60,25.0,34.0,-0.6,24.3,0.0,94,120,2,0.20
48330,แพร่,PHRAE,แพร่,18.16667,100.16667,09/19/2025 07:00:00,1008.93,25.0,32.7,-0.4,23.9,-0.1,99,000,0,14.80
48331,น่าน,NAN,น่าน,18.77972,100.77778,09/19/2025 07:00:00,1009.35,24.3,34.6,-0.4,24.0,-1.0,97,000,0,15.80
48333,น่าน สกษ.,NAN AGROMET.,น่าน,18.86667,100.75,09/19/2025 07:00:00,1009.43,24.5,34.5,1.1,24.4,-0.3,93,000,0,6.60
48315,ท่าวังผา,THA WANGPHA,น่าน,19.11056,100.8025,09/19/2025 07:00:00,1009.92,24.3,34.2,-0.2,24.0,-0.3,97,000,0,2.40
