name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารโกตุง,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN PLUS,2024-08-22,หมดอายุ
ร้านเรือนไม้,ร้านจำหน่ายอาหาร,ไสไทย,เมืองกระบี่,กระบี่,SAN,2025-04-23,ไม่ผ่านเกณฑ์
ร้านCARAMEL,ร้านเครื่องดื่ม,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2025-04-11,รับรอง
อิ่มละมุน,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ฟารีดา ข้าวหมกแพะ,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ก๋วยเตี๊ยวไก่มะระ,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ตำฮาลาล,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
Pizza Company,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ก๋วยเตี๊ยวเรือ4พระยา,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ซุปเปอร์เล้งแซ่บกระบี่,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ข้าวหน้าเป็ดเยาวราช,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2025-04-24,ไม่ผ่านเกณฑ์
Sala klang du cafe by good cafe,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,มาตรฐาน SAN,2023-12-31,หมดอายุ
เจ้ลิบและเจ้ไล้,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ข้าวมันไก่ต้นตาล,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2025-07-07,รับรอง
อาม่า คาเฟ่ แอนด์ บาร์,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ใบเตย,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
เรือนทิพย์,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2025-08-19,รับรอง
Much and Mellow,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,มาตรฐาน SAN,2023-12-31,หมดอายุ
คนสุราษฎร์,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2025-08-19,รับรอง
ก๋วยเตี๊ยวสุโขทันbyคุณจันทร์,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2025-05-07,รับรอง
ข้าวขาหมู พีพี,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2025-08-13,รับรอง
หลิน หลิน,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
เจ้าเก่า เกาเหลา เครื่องในหมู2535,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
JinZi shabu,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2023-12-31,ไม่ผ่านเกณฑ์
ก๋วยเตี๊ยวเรือน้ำตื้น,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,มาตรฐาน SAN,2023-12-31,หมดอายุ
ครัวขี้ร้อง,ร้านจำหน่ายอาหาร,กระบี่ใหญ่,เมืองกระบี่,กระบี่,มาตรฐาน SAN,2023-12-31,หมดอายุ
กุ๊กนันท์,ร้านจำหน่ายอาหาร,ปากน้ำ,เมืองกระบี่,กระบี่,SAN,2025-01-03,รับรอง
