name,type,subdistrict,district,province,standard,approve_date,status
ครัวชมทะเล,ร้านจำหน่ายอาหาร,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,SAN,2024-10-21,รับรอง
บริษัทมิตซูบิชิ เฮฟวี่ อินดัสตรี่ส์ - มหาจักร แอร์ คอนดิชั่นเนอร์ส จำกัด,โรงอาหาร,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,SAN,2023-08-16,ไม่ผ่านเกณฑ์
บริษัท  แพนดอร่า โพรดักชั่น จำกัด,โรงอาหาร,ดอกไม้,ประเวศ,กรุงเทพมหานคร,SAN,2024-08-27,ไม่ผ่านเกณฑ์
บริษัทมิตซูบิชิ เฮฟวี่ อินดัสตรี่ส์- มหาจักร แอร์ คอนดิชั่นเนอร์ส จำกัด,โรงอาหาร,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,มาตรฐาน SAN,2023-08-16,หมดอายุ
นิตยาไก่ย่างสาขาสามย่านมิตรทาวน์,ร้านจำหน่ายอาหาร,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,SAN,2025-07-07,รับรอง
นิตยาไก่ย่าง สาขาสายลม,ร้านจำหน่ายอาหาร,สามเสนใน,พญาไท,กรุงเทพมหานคร,SAN,2024-11-06,ไม่ผ่านเกณฑ์
นิตยาไก่ย่างสวนเพลินมาร์เก็ต,ร้านจำหน่ายอาหาร,คลองเตย,คลองเตย,กรุงเทพมหานคร,SAN,2024-11-06,ไม่ผ่านเกณฑ์
นิตยาไก่ย่างสาขานวมินทร์,ร้านจำหน่ายอาหาร,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,มาตรฐาน SAN,2024-09-26,หมดอายุ
Rock in bar,ร้านเครื่องดื่ม,จอมทอง,จอมทอง,กรุงเทพมหานคร,SAN,2025-01-13,รับรอง
NUANEAR ARI,ร้านจำหน่ายอาหาร,สามเสนใน,พญาไท,กรุงเทพมหานคร,SAN,2024-03-15,ไม่ผ่านเกณฑ์
ไทยเทอเรส,ภัตาคาร,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,มาตรฐาน SAN,2024-03-15,หมดอายุ
ร้านก๋วยเตี๋ยวเรืออัศวิน ,ร้านจำหน่ายอาหาร,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ร้านตามใจปรารถนา,ร้านจำหน่ายอาหาร,รามอินทรา,คันนายาว,กรุงเทพมหานคร,มาตรฐาน SAN,2024-04-03,หมดอายุ
เหลือง Test,ศูนย์อาหาร,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,SAN,2024-06-05,ไม่ผ่านเกณฑ์
ไทยเทอเรส,ภัตาคาร,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,SAN,2024-06-11,ไม่ผ่านเกณฑ์
โรงแรมโนโวเทล ไอบิส สไตล์ กรุงเทพ สุขุมวิท 4,ร้านจำหน่ายอาหาร,คลองเตย,คลองเตย,กรุงเทพมหานคร,SAN,2024-06-11,ไม่ผ่านเกณฑ์
นิตยาไก่ย่างสาขาประชานุกูล,ร้านจำหน่ายอาหาร,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,มาตรฐาน SAN,2024-11-06,หมดอายุ
นิตยาไก่ย่าง สาขาสามย่านมิตรทาวน์,ร้านจำหน่ายอาหาร,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,มาตรฐาน SAN,2024-11-06,หมดอายุ
