name,type,subdistrict,district,province,standard,approve_date,status
ร้านกิ่งไผ่ใบตอง,ร้านจำหน่ายอาหาร,ท่าม่วง,ท่าม่วง,กาญจนบุรี,SAN,2023-02-20,ไม่ผ่านเกณฑ์
เวลาชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ร้านครัวอนงค์,ร้านจำหน่ายอาหาร,หนองขาว,ท่าม่วง,กาญจนบุรี,SAN,2024-08-13,ไม่ผ่านเกณฑ์
ร้านไอซ์โภชนา,ร้านจำหน่ายอาหาร,ท่าเสา,ไทรโยค,กาญจนบุรี,SAN,2024-08-13,ไม่ผ่านเกณฑ์
ต้องกาญ คาเฟ่,ร้านจำหน่ายอาหาร,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2025-05-08,ไม่ผ่านเกณฑ์
cinnamon Coffee,ร้านจำหน่ายอาหาร,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
ครัวภักดีกาญจน์,ร้านจำหน่ายอาหาร,ลาดหญ้า,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2023-02-21,ไม่ผ่านเกณฑ์
อนันดา คาเฟ่,ร้านจำหน่ายอาหาร,ม่วงชุม,ท่าม่วง,กาญจนบุรี,SAN,2023-02-21,ไม่ผ่านเกณฑ์
ครัวบ้านสวนอรุณ,ร้านจำหน่ายอาหาร,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,SAN PLUS,2024-11-06,รับรอง
ครัวชนะศึก,ร้านจำหน่ายอาหาร,หนองขาว,ท่าม่วง,กาญจนบุรี,SAN,2025-04-21,รับรอง
ทุ่งนาปลาเผา,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2025-07-01,ไม่ผ่านเกณฑ์
ครัวไทย ไทย,ร้านจำหน่ายอาหาร,รางหวาย,พนมทวน,กาญจนบุรี,SAN,2024-08-13,ไม่ผ่านเกณฑ์
ครัวชุกโดน,ร้านจำหน่ายอาหาร,บ้านใต้,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2025-07-16,รับรอง
The Duck Shabu Cafe,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2025-07-16,รับรอง
ไร่องุ่น ณ กานดา,ร้านจำหน่ายอาหาร,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2023-02-21,ไม่ผ่านเกณฑ์
อิทสมิธ,ร้านจำหน่ายอาหาร,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2023-02-21,ไม่ผ่านเกณฑ์
รุ่งฤดีตามสั่ง,ร้านจำหน่ายอาหาร,ดอนตาเพชร,พนมทวน,กาญจนบุรี,SAN,2025-07-16,รับรอง
เรณู,ร้านจำหน่ายอาหาร,ท่าเสา,ไทรโยค,กาญจนบุรี,SAN,2025-03-20,ไม่ผ่านเกณฑ์
มานะ มานี ครัวทุ่งนาดี & มานี คาเฟ่,ร้านจำหน่ายอาหาร,หนองขาว,ท่าม่วง,กาญจนบุรี,SAN,2023-03-22,ไม่ผ่านเกณฑ์
โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 19,โรงอาหาร,ท่าม่วง,ท่าม่วง,กาญจนบุรี,SAN,2024-08-13,ไม่ผ่านเกณฑ์
โก๊เฝวข้าวหมูแดงตลาดเขต,ร้านจำหน่ายอาหาร,รางหวาย,พนมทวน,กาญจนบุรี,SAN,2023-03-28,ไม่ผ่านเกณฑ์
บ้าน บ้าน หมูกะทะ,อื่นๆ,ดอนตาเพชร,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ตำทางกาญจน์,ร้านจำหน่ายอาหาร,,ท่าม่วง,กาญจนบุรี,SAN,2023-03-29,ไม่ผ่านเกณฑ์
ร้านบ้านพระนคร,ร้านจำหน่ายอาหาร,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,SAN,2023-03-24,ไม่ผ่านเกณฑ์
ครัวสองเขต,ร้านจำหน่ายอาหาร,รางหวาย,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือ 324,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
SixTeen Cafe'In Farm,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ล้านบ้านไร่พอเพียง,ร้านจำหน่ายอาหาร,ดอนเจดีย์,พนมทวน,กาญจนบุรี,SAN PLUS,2024-06-27,หมดอายุ
สเต็กบ้านนอก,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ร้านป้าเฉลียว,ร้านจำหน่ายอาหาร,พังตรุ,ท่าม่วง,กาญจนบุรี,SAN,2025-06-10,รับรอง
ร้านอาหารบ้านทวน,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ร้านอาหารครัวตุ๊กตา,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ร้านกองฟาง,ร้านจำหน่ายอาหาร,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,SAN,2023-04-01,ไม่ผ่านเกณฑ์
ร้านศรีนวล,ร้านจำหน่ายอาหาร,พังตรุ,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
สามอนงค์,อื่นๆ,พังตรุ,พนมทวน,กาญจนบุรี,SAN,2023-05-29,ไม่ผ่านเกณฑ์
ดอนดีฟาร์มแกะกาญจนบุรี,ร้านจำหน่ายอาหาร,ดอนเจดีย์,พนมทวน,กาญจนบุรี,SAN,2024-12-09,รับรอง
ดีดี รีสอร์ท (ร้านอาหารบ่อพลอย),ร้านจำหน่ายอาหาร,หนองลู,สังขละบุรี,กาญจนบุรี,SAN,2023-06-06,ไม่ผ่านเกณฑ์
บ้านริมคลองแกงใต้,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2024-12-09,รับรอง
The ToTo Bakery,ร้านจำหน่ายอาหาร,รางหวาย,พนมทวน,กาญจนบุรี,SAN,2024-12-09,รับรอง
บลูแซฟไฟร์,สวนอาหาร,ช่องด่าน,บ่อพลอย,กาญจนบุรี,SAN,2024-07-08,ไม่ผ่านเกณฑ์
กรังปรีซ์,ร้านจำหน่ายอาหาร,ช่องด่าน,บ่อพลอย,กาญจนบุรี,SAN,2023-04-01,ไม่ผ่านเกณฑ์
ตำม่วนซื่น,ร้านจำหน่ายอาหาร,หนองรี,บ่อพลอย,กาญจนบุรี,SAN,2023-04-01,ไม่ผ่านเกณฑ์
พรไพลิน ริเวอร์ไซด์ ,ร้านจำหน่ายอาหาร,หนองลู,สังขละบุรี,กาญจนบุรี,SAN,2023-08-22,ไม่ผ่านเกณฑ์
ร้านอาหารศรีแดง,ร้านจำหน่ายอาหาร,หนองลู,สังขละบุรี,กาญจนบุรี,SAN,2023-07-12,ไม่ผ่านเกณฑ์
กาเวียคอฟฟี่,ร้านจำหน่ายอาหาร,ปรังเผล,สังขละบุรี,กาญจนบุรี,SAN,2023-06-06,ไม่ผ่านเกณฑ์
ร้านกูมี,ร้านจำหน่ายอาหาร,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,SAN,2023-04-04,ไม่ผ่านเกณฑ์
สมชายกาแฟสด ,ร้านจำหน่ายอาหาร,หนองลู,สังขละบุรี,กาญจนบุรี,SAN,2023-07-12,ไม่ผ่านเกณฑ์
ร้านอาหารรุ่งอรุณ,ร้านจำหน่ายอาหาร,หนองลู,สังขละบุรี,กาญจนบุรี,SAN,2023-07-12,ไม่ผ่านเกณฑ์
บ้านเนินหินดาด,ร้านจำหน่ายอาหาร,หินดาด,ทองผาภูมิ,กาญจนบุรี,SAN,2024-11-28,รับรอง
ปิ่นทองเอาสแอนด์คาเฟ่,ร้านจำหน่ายอาหาร,หนองปรือ,หนองปรือ,กาญจนบุรี,SAN,2024-01-22,ไม่ผ่านเกณฑ์
ครัวบ้านสวน,ร้านจำหน่ายอาหาร,หนองปรือ,หนองปรือ,กาญจนบุรี,SAN,2023-04-12,ไม่ผ่านเกณฑ์
789 ร้านดาวอังคาร คาเฟ่,ร้านจำหน่ายอาหาร,หนองปรือ,หนองปรือ,กาญจนบุรี,SAN,2023-06-09,ไม่ผ่านเกณฑ์
ลาบเป็ดหนองปลาไหล,ร้านจำหน่ายอาหาร,หนองปลาไหล,หนองปรือ,กาญจนบุรี,SAN,2024-12-04,รับรอง
แปดริ้ว,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2025-06-25,รับรอง
ร้านข้าวหมูแดงเฮียกวง,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
มะไฟคู่รีสอร์ท,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
สวนรื่นรมย์,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ร้านปลาเขื่อน,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ครัวแม่ปุ๊,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ครัวเงาะป่า,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
แพวีไอพี,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ศรีครัว,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
109 คาเฟ่,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
นิศานาถเบเกอรี่,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
รสชื่นข้าวมันไก่,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ราชาบะหมี่เกี๊ยวข้าวหมูแดง,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2025-03-10,รับรอง
ร้านน้ำหวาน,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ครัวเจ๊ณี,ร้านจำหน่ายอาหาร,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,SAN,2023-05-09,ไม่ผ่านเกณฑ์
บงตง,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ครัววิวสุดแดน,ร้านจำหน่ายอาหาร,ปิล๊อก,ทองผาภูมิ,กาญจนบุรี,SAN,2023-05-09,ไม่ผ่านเกณฑ์
ร้านนายตาล ณ ทองผาภูมิ,ร้านจำหน่ายอาหาร,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,SAN,2025-06-25,รับรอง
ไร่ทรีโอ,ร้านจำหน่ายอาหาร,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวไก่มะระ,ร้านจำหน่ายอาหาร,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
นั่งชิว ท้ายด่าน,ร้านจำหน่ายอาหาร,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ร้านวาสนาคาเฟ่,สวนอาหาร,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,กาญจนบุรี,SAN,2024-08-28,ไม่ผ่านเกณฑ์
ร้านครัวตะวัน,ร้านจำหน่ายอาหาร,บ่อพลอย,บ่อพลอย,กาญจนบุรี,SAN,2025-01-09,รับรอง
บ้านก้อง ครัวริมน้ำ,ร้านจำหน่ายอาหาร,หวายเหนียว,ท่ามะกา,กาญจนบุรี,SAN,2025-01-20,ไม่ผ่านเกณฑ์
ร้านกบทอด,ร้านจำหน่ายอาหาร,หวายเหนียว,ท่ามะกา,กาญจนบุรี,SAN,2025-01-30,ไม่ผ่านเกณฑ์
Aura cafe the gang ,ร้านจำหน่ายอาหาร,บ่อพลอย,บ่อพลอย,กาญจนบุรี,SAN,2025-02-28,รับรอง
สวนอาหารข้าวปั้น,สวนอาหาร,หวายเหนียว,ท่ามะกา,กาญจนบุรี,SAN,2025-02-28,รับรอง
โก๊ขิวราชากบทอด,ร้านจำหน่ายอาหาร,หวายเหนียว,ท่ามะกา,กาญจนบุรี,SAN,2025-02-28,รับรอง
ครัวดาบลอ,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN PLUS,2025-05-06,รับรอง
ขาหมูไหหลำลำน้ำทวน,ร้านจำหน่ายอาหาร,พนมทวน,พนมทวน,กาญจนบุรี,SAN,2025-03-31,รับรอง
