name,type,subdistrict,district,province,standard,approve_date,status
พีพาราไดซ์ คาเฟ่,โรงอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN PLUS,2025-07-29,รับรอง
บ้านเรือนไม้,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-18,ไม่ผ่านเกณฑ์
Manni balloon thai&german restaurant,ร้านจำหน่ายอาหาร,สลกบาตร,ขาณุวรลักษบุรี,กำแพงเพชร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
โรงแรมนวรัตน์เฮอริเทจ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
Banyakad Cafe,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
ร้านเจ้จิน โรงพยาบาลกำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2023-02-20,ไม่ผ่านเกณฑ์
I am Bakery,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-09-11,รับรอง
ก๋วยเตี๋ยวเรือ มุมสบาย,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ครัวลุงกาแฟ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-12-09,รับรอง
วัชทยา เตี๋ยวไก่มะระริมทาง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
WILSONS  COFFEE,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
ห้องสมุด cafe&bistro,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-09-10,รับรอง
บริษัท เดอะ คิวเอสอาร์ ออฟ เอเชีย จำกัด (KFC เทสโกโลตัส),ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
สเต็กลุงหนวด,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ห้องอาหาร เทสตี้,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านบุญเรือง HOME CAFE& BISTRO,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านพรัตน์อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-09-10,รับรอง
ร้านชักธง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
BIG B COFFEE,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ฺBig B coffee สาขาถนนเจริญสุข,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวต้มยำแม่ยาย,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ฌาลี ช็อกโกแลต โกโก้,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านมื้อกลางวัน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
KFC สาขาบิ๊กซี กำแพงเพชร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านหลงเหลา คาเฟ่,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
Kyo To Shi Cafe,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
ร้านรับประทาน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านตำตีน อินเตอร์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
SHABUSHI สาขาโรบินสันกำแพงเพชร,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ยาโยอิ สาขาโรบินสันกำแพงเพชร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านนายโอ รพ.กำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
ร้านรัตนา โรงพยาบาลกำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-10-03,รับรอง
พี่แอน รพ.กำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN PLUS,2025-07-21,รับรอง
TOPs. โรบินสันกำแพงเพชร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN PLUS,2025-07-21,รับรอง
ร้านทองสุข  รพ.กำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN PLUS,2025-07-21,รับรอง
Auntie Anne's สาขาโรบินสันกำแพงเพชร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2025-03-06,รับรอง
Cafe Amazon,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
KFC สาขาโรบินสันกำแพงเพชร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
ร้านคุณอู๊ด โรงพยาบาลกำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2025-07-22,รับรอง
จงใจชง  รพ.กำแพงเพชร,ศูนย์อาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-21,ไม่ผ่านเกณฑ์
เชสเตอร์ฟู้ด (สาขาโรบินสัน),ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านบีเลิฟแอทไนท์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN PLUS,2024-10-01,รับรอง
ร้านจันผา,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านหญ่างญวน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
โละโคะคอฟฟี่,ร้านเครื่องดื่ม,เพชรชมภู,โกสัมพีนคร,กำแพงเพชร,SAN,2025-06-16,รับรอง
ร้านวากริลล์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2025-03-11,รับรอง
ชาบูหมูอู๊ด ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,เมืองกำแพงเพชร,กำแพงเพชร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
