name,type,subdistrict,district,province,standard,approve_date,status
กาแฟคุณพ่อ,ร้านเครื่องดื่ม,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2024-10-17,รับรอง
ร้านจ้วดคาเฟ่,ร้านจำหน่ายอาหาร,ศิลา,เมืองขอนแก่น,ขอนแก่น,SAN,2025-01-22,ไม่ผ่านเกณฑ์
จูฟ่าง (Avani ขอนแก่น),ร้านจำหน่ายอาหาร,ในเมือง,เมืองขอนแก่น,ขอนแก่น,SAN,2024-10-29,ไม่ผ่านเกณฑ์
ครัวข้าวฟ่าง,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านขนมบ้านคุณภัทรา,ร้านจำหน่ายอาหาร,บ้านไผ่,บ้านไผ่,ขอนแก่น,SAN,2024-09-12,รับรอง
บ้านไม้คาเฟ่,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-04-02,รับรอง
ทาเคชิโกล์ด,ร้านจำหน่ายอาหาร,ในเมือง,เมืองขอนแก่น,ขอนแก่น,SAN,2025-06-16,ไม่ผ่านเกณฑ์
คินส์ เดอะ บูตะ สาขาตลาดต้นตาล,ร้านจำหน่ายอาหาร,ในเมือง,เมืองขอนแก่น,ขอนแก่น,SAN,2025-04-21,รับรอง
ศูนย์อาหารไผ่แดง,ศูนย์อาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-07-16,ไม่ผ่านเกณฑ์
ร้านช.ชวนชิม,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-05-13,รับรอง
ร้านเพ็ญนภาอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-05-13,รับรอง
ร้านข้าวต้มพอเพียง,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-05-13,รับรอง
ร้านข้าวขาหมูหน้าอำเภอ,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2024-01-16,ไม่ผ่านเกณฑ์
ร้านชิมเพลินอาหารอิสลาม,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-06-27,รับรอง
ร้านอิมหยก,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-05-13,รับรอง
ร้านส้มตำไก่โอ่ง,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านโอซาก้าชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านบุษบากร,ร้านจำหน่ายอาหาร,ในเมือง,บ้านไผ่,ขอนแก่น,SAN,2025-06-27,รับรอง
