name,type,subdistrict,district,province,standard,approve_date,status
ก๋วยเตี๋ยวลูกชิ้นหน้าไปรษณีย์ ,ร้านจำหน่ายอาหาร,ขลุง,ขลุง,จันทบุรี,SAN,2025-07-04,ไม่ผ่านเกณฑ์
ข้าวสวยหมูกระทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ขลุง,ขลุง,จันทบุรี,มาตรฐาน SAN,2025-07-04,หมดอายุ
ไทยอีสาน,ร้านจำหน่ายอาหาร,ขลุง,ขลุง,จันทบุรี,มาตรฐาน SAN,2025-07-04,หมดอายุ
ก๋วยเตี๋ยวเจ้อัพ,ร้านจำหน่ายอาหาร,ขลุง,ขลุง,จันทบุรี,SAN,2024-09-16,รับรอง
แม่ลี้ CAFE & SOUVENIR,ร้านเครื่องดื่ม,ขลุง,ขลุง,จันทบุรี,มาตรฐาน SAN,2025-07-04,หมดอายุ
Moma's Bubble Tea Bar,ร้านเครื่องดื่ม,ขลุง,ขลุง,จันทบุรี,SAN,2025-07-04,ไม่ผ่านเกณฑ์
MayBoon Barber&Cafe’,ร้านเครื่องดื่ม,ขลุง,ขลุง,จันทบุรี,SAN,2025-07-04,ไม่ผ่านเกณฑ์
เปา เหล่า กง,ร้านจำหน่ายอาหาร,ขลุง,ขลุง,จันทบุรี,SAN,2025-07-04,ไม่ผ่านเกณฑ์
ศูนย์อาหารป้าวัลย์,ศูนย์อาหาร,ขลุง,ขลุง,จันทบุรี,SAN,2025-07-07,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหมูเลียงชายเลน,ร้านจำหน่ายอาหาร,เกาะขวาง,เมืองจันทบุรี,จันทบุรี,SAN,2025-06-23,ไม่ผ่านเกณฑ์
ครัวอาริส,ร้านจำหน่ายอาหาร,นายายอาม,นายายอาม,จันทบุรี,SAN PLUS,2025-07-07,รับรอง
ซิน ซิน ข้าวมันไก่,ร้านจำหน่ายอาหาร,นายายอาม,นายายอาม,จันทบุรี,SAN,2025-08-04,รับรอง
อาหารอีสาน,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
อาหารอีสาน,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
ยำ+คอหมูย่าง,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
ฟีฟ่าน้ำเต้าหู้,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
อาหารตามสั่ง,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
หอยทอด,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
บะหมี่เกี๊ยว,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
ไส้กรอกลูกชิ้นทอด,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
ไส้กรอกลูกชิ้นทอด,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-22,หมดอายุ
ข้าวมันไก่,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-22,หมดอายุ
น้ำเต้าหู้+ปาท่องโก๋,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-22,หมดอายุ
หมูปิ้งนมสด,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-22,ไม่ผ่านเกณฑ์
โจ๊กหมู,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-22,หมดอายุ
ต.เนื้อย่าง,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-23,หมดอายุ
ไก่ย่าง,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,มาตรฐาน SAN,2023-02-23,หมดอายุ
ส้มตำนำโชค,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ยำรวมมิตร,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ขนมหวาน,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
กับข้าวสำเร็จ,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
กับข้าวสำเร็จ,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ไก่ย่าง+หมูย่าง,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
หม่าล่า,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเนื้อเกาลูน,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเนื้อเกาลูน,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
สารพัดน้้ำ+ขนม,อื่นๆ,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
สบายใจไก่ย่าง,ร้านจำหน่ายอาหาร,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
แดร็กเนื้อ,ร้านจำหน่ายอาหาร,นายายอาม,นายายอาม,จันทบุรี,SAN,2023-02-23,ไม่ผ่านเกณฑ์
