name,type,subdistrict,district,province,standard,approve_date,status
โรงพยาบาลสมเด็จพระสังฆราชญาณสังวรเพื่อผู้สูงอายุ จ.ชลบุรี,โรงอาหาร,ห้วยใหญ่,บางละมุง,ชลบุรี,SAN,2025-06-16,รับรอง
KFC (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,SAN,2025-05-07,ไม่ผ่านเกณฑ์
KFC (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี 2),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,มาตรฐาน SAN,2025-05-09,หมดอายุ
MK RESTAURANTS (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,มาตรฐาน SAN,2025-05-09,หมดอายุ
MK RESTAURANTS (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี 2),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,มาตรฐาน SAN,2025-05-09,หมดอายุ
บาร์บีคิวพลาซ่า (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,มาตรฐาน SAN,2025-05-09,หมดอายุ
เชสเตอร์ (บิ๊กซี ซุปเปอร์เซ็นเตอร์ สาขาชลบุรี 2),ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,SAN,2025-05-09,ไม่ผ่านเกณฑ์
45 โกปี๊,ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,SAN,2025-05-08,ไม่ผ่านเกณฑ์
ทำฟาร์มดี,ร้านจำหน่ายอาหาร,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,SAN,2025-05-09,ไม่ผ่านเกณฑ์
โรงแรมเดอะไทด์รีสอร์ท,ภัตาคาร,แสนสุข,เมืองชลบุรี,ชลบุรี,SAN,2024-01-26,ไม่ผ่านเกณฑ์
โรงแรมสวอนเลค,ร้านจำหน่ายอาหาร,พลูตาหลวง,สัตหีบ,ชลบุรี,SAN,2024-10-08,รับรอง
ร้านฟาร์มอร่อย,ร้านจำหน่ายอาหาร,พลูตาหลวง,สัตหีบ,ชลบุรี,SAN,2024-02-23,ไม่ผ่านเกณฑ์
