name,type,subdistrict,district,province,standard,approve_date,status
222 station,ร้านจำหน่ายอาหาร,หางน้ำสาคร,มโนรมย์,ชัยนาท,SAN,2025-02-03,ไม่ผ่านเกณฑ์
เจริญกรุง,ร้านจำหน่ายอาหาร,วังไก่เถื่อน,หันคา,ชัยนาท,SAN,2024-08-28,รับรอง
บ้านย่านาสวน,ร้านจำหน่ายอาหาร,หาดท่าเสา,เมืองชัยนาท,ชัยนาท,SAN,2024-10-22,รับรอง
210กาแฟ&กระเพรา,ร้านจำหน่ายอาหาร,นางลือ,เมืองชัยนาท,ชัยนาท,SAN,2024-10-22,รับรอง
โทริชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,เมืองชัยนาท,ชัยนาท,SAN,2025-02-03,ไม่ผ่านเกณฑ์
มนต์รักแซลมอน,ร้านจำหน่ายอาหาร,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,SAN,2025-06-16,ไม่ผ่านเกณฑ์
หมูจุ่มท่าแจง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองชัยนาท,ชัยนาท,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ที่เก่า,ร้านจำหน่ายอาหาร,เขาท่าพระ,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ลาบเป็ดชัยนาท,ร้านจำหน่ายอาหาร,เขาท่าพระ,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ครัวปักษาชมบัว โรงแรมเจ้าพระยาริเวอร์ไซด์,ร้านจำหน่ายอาหาร,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
สำรับกับข้าว,ร้านจำหน่ายอาหาร,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ควายเกษตร,ร้านจำหน่ายอาหาร,อู่ตะเภา,มโนรมย์,ชัยนาท,มาตรฐาน SAN,2024-06-12,หมดอายุ
ริเช่ฟาร์ม,ร้านจำหน่ายอาหาร,คุ้งสำเภา,มโนรมย์,ชัยนาท,มาตรฐาน SAN,2024-06-12,หมดอายุ
โรงอาหารเรือนจำจังหวัดชัยนาท,โรงอาหาร,ในเมือง,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
รสนิยม,ร้านจำหน่ายอาหาร,ชัยนาท,เมืองชัยนาท,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ตำแซบสะเด็ด,ร้านจำหน่ายอาหาร,วัดสิงห์,วัดสิงห์,ชัยนาท,มาตรฐาน SAN,2024-06-12,หมดอายุ
ครัวท่าน้ำอ้อย,ร้านจำหน่ายอาหาร,ท่าฉนวน,มโนรมย์,ชัยนาท,SAN,2024-06-12,ไม่ผ่านเกณฑ์
