name,type,subdistrict,district,province,standard,approve_date,status
ห้องอาหารรื่นรมย์,ภัตาคาร,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,SAN,2024-07-16,ไม่ผ่านเกณฑ์
มาตา คูซีน,ภัตาคาร,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,SAN PLUS,2025-05-22,รับรอง
ร้านอาหารชาวประมง,ร้านจำหน่ายอาหาร,ละหาน,จัตุรัส,ชัยภูมิ,SAN,2023-03-13,ไม่ผ่านเกณฑ์
ป๋าอินดี้,ร้านจำหน่ายอาหาร,เจาทอง,ภักดีชุมพล,ชัยภูมิ,SAN,2023-02-23,ไม่ผ่านเกณฑ์
เติ้ง กาแฟโบราฯ,ร้านเครื่องดื่ม,โนนกอก,เกษตรสมบูรณ์,ชัยภูมิ,SAN,2023-03-17,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือ ป.ประทีป,ร้านจำหน่ายอาหาร,คอนสาร,คอนสาร,ชัยภูมิ,SAN,2024-07-01,ไม่ผ่านเกณฑ์
ร้านต้นเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,หนองบัวใหญ่,จัตุรัส,ชัยภูมิ,SAN,2023-03-13,ไม่ผ่านเกณฑ์
บ้านมะลิ,ร้านจำหน่ายอาหาร,หนองไผ่,แก้งคร้อ,ชัยภูมิ,SAN,2024-12-09,รับรอง
iQ,ร้านจำหน่ายอาหาร,หนองบัวแดง,หนองบัวแดง,ชัยภูมิ,SAN,2025-07-14,ไม่ผ่านเกณฑ์
นอ.นู๋ coffee & space,ร้านจำหน่ายอาหาร,บ้านยาง,เกษตรสมบูรณ์,ชัยภูมิ,SAN,2024-09-18,ไม่ผ่านเกณฑ์
เดอะกราวด์ สเต็กเฮาส์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,SAN,2025-07-06,รับรอง
ร้านดอนละนาม,ร้านจำหน่ายอาหาร,ละหาน,จัตุรัส,ชัยภูมิ,SAN,2024-07-08,ไม่ผ่านเกณฑ์
ริมบึงหมูย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),คอนสวรรค์,คอนสวรรค์,ชัยภูมิ,มาตรฐาน SAN,2024-07-01,หมดอายุ
แดน สเตชั่น,ร้านจำหน่ายอาหาร,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,SAN,2025-06-10,ไม่ผ่านเกณฑ์
ร้านอิ่มเอิบ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,SAN,2024-10-22,รับรอง
