name,type,subdistrict,district,province,standard,approve_date,status
ร้านศิริวรรณ,ร้านจำหน่ายอาหาร,นาโพธิ์,สวี,ชุมพร,SAN,2023-12-22,ไม่ผ่านเกณฑ์
เฌอ cafe & homemade bakery,ร้านจำหน่ายอาหาร,วังตะกอ,หลังสวน,ชุมพร,SAN PLUS,2025-06-11,รับรอง
สุกี้รถไฟ,ร้านจำหน่ายอาหาร,ท่าตะเภา,เมืองชุมพร,ชุมพร,SAN,2025-05-26,ไม่ผ่านเกณฑ์
โฮมคอฟฟี่ชุมพร,ร้านจำหน่ายอาหาร,ขุนกระทิง,เมืองชุมพร,ชุมพร,SAN,2023-06-19,ไม่ผ่านเกณฑ์
ครัวศิลา,ร้านจำหน่ายอาหาร,บางสน,ปะทิว,ชุมพร,SAN,2024-11-23,ไม่ผ่านเกณฑ์
ครัวพริกสด,ร้านจำหน่ายอาหาร,ท่ายาง,เมืองชุมพร,ชุมพร,SAN,2024-09-06,ไม่ผ่านเกณฑ์
สถานีสุวรรณภูมิ,ร้านจำหน่ายอาหาร,ทุ่งตะไคร,ทุ่งตะโก,ชุมพร,SAN,2024-11-23,ไม่ผ่านเกณฑ์
บ้านสวนสายธารรีเวอร์ไซต์,ร้านจำหน่ายอาหาร,บางหมาก,เมืองชุมพร,ชุมพร,SAN,2025-02-14,ไม่ผ่านเกณฑ์
ชมทุ่งสเต็กเฮาท์,ร้านจำหน่ายอาหาร,นาทุ่ง,เมืองชุมพร,ชุมพร,SAN,2025-05-21,ไม่ผ่านเกณฑ์
โรงครัวโรงพยาบาลพะโต๊ะ,อื่นๆ,พะโต๊ะ,พะโต๊ะ,ชุมพร,SAN,2023-06-08,ไม่ผ่านเกณฑ์
บัณฑิตา คาเฟ่,ร้านเครื่องดื่ม,พะโต๊ะ,พะโต๊ะ,ชุมพร,SAN,2023-12-22,ไม่ผ่านเกณฑ์
บ้านเอื้อง Bar&Restaurant,ร้านจำหน่ายอาหาร,สะพลี,ปะทิว,ชุมพร,SAN,2024-12-09,รับรอง
Momento Coffee Roaster,ร้านเครื่องดื่ม,พะโต๊ะ,พะโต๊ะ,ชุมพร,SAN,2025-04-03,ไม่ผ่านเกณฑ์
โรงครัวโรงพยาบาลปะทิว,อื่นๆ,บางสน,ปะทิว,ชุมพร,SAN,2025-07-01,รับรอง
ร้านบ้านปลัดบ้านอร่อย,ร้านจำหน่ายอาหาร,ดอนยาง,ปะทิว,ชุมพร,SAN,2024-11-23,ไม่ผ่านเกณฑ์
บริษัท หอมเคย ชุมพร จำกัด,ร้านจำหน่ายอาหาร,ทุ่งตะไคร,ทุ่งตะโก,ชุมพร,SAN,2024-11-23,ไม่ผ่านเกณฑ์
โรงครัวโรงพยาบาลพะโต๊ะ,อื่นๆ,พะโต๊ะ,พะโต๊ะ,ชุมพร,SAN,2024-01-25,ไม่ผ่านเกณฑ์
Morning drug ,ร้านเครื่องดื่ม,นาทุ่ง,เมืองชุมพร,ชุมพร,SAN,2024-05-07,ไม่ผ่านเกณฑ์
