name,type,subdistrict,district,province,standard,approve_date,status
ร้านทางเลือก,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN PLUS,2024-09-19,รับรอง
ร้านครัวคุณก้อย,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-04-19,ไม่ผ่านเกณฑ์
บ้านสวนสุดาพร,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-03-05,รับรอง
ปูม้า ปาตี้,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-04-19,ไม่ผ่านเกณฑ์
BB Farm,ร้านจำหน่ายอาหาร,เขาไพร,รัษฎา,ตรัง,SAN,2024-12-09,รับรอง
ร้านฮานีส สวนอาหารฮาลาล,ร้านจำหน่ายอาหาร,บ้านนา,ปะเหลียน,ตรัง,SAN PLUS,2025-07-01,รับรอง
ริมธารชมทุ่งเเลเขา ,ร้านจำหน่ายอาหาร,นาหมื่นศรี,นาโยง,ตรัง,SAN,2024-12-09,รับรอง
พลับพลา,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-06-06,ไม่ผ่านเกณฑ์
มันตรา,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-07-07,รับรอง
ชิค คาเฟ่,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-06-16,ไม่ผ่านเกณฑ์
บ้านขนมจีนปู เกาะสุกร ฮาลาล,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-07-06,ไม่ผ่านเกณฑ์
แซดโซน ก๋วยเตี๋ยวอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-07-06,ไม่ผ่านเกณฑ์
อินเทรนด์,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-06-25,รับรอง
พิ้ง พิ้ง หมูกระทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-07-07,รับรอง
ร้านส้มตำBy พี่ฝน,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-07-06,ไม่ผ่านเกณฑ์
ราชาบะหมี่ เกี้ยวหมู,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-07-06,ไม่ผ่านเกณฑ์
Si Esperanza,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2023-06-16,ไม่ผ่านเกณฑ์
กูโรตีชาชัก,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-04-02,รับรอง
Mamma Mia,ร้านจำหน่ายอาหาร,ทับเที่ยง,เมืองตรัง,ตรัง,SAN,2025-04-02,รับรอง
