name,type,subdistrict,district,province,standard,approve_date,status
กะทิครัวไทย,ร้านจำหน่ายอาหาร,เกาะช้าง,เกาะช้าง,ตราด,SAN,2024-10-15,ไม่ผ่านเกณฑ์
ครัวเข้าท่า,ร้านจำหน่ายอาหาร,ไม้รูด,คลองใหญ่,ตราด,SAN,2025-04-21,รับรอง
เซเว่นอีเลฟเว่น สาขา 13334 ปตท.ท่าพริก,ร้านจำหน่ายอาหาร,ท่าพริก,เมืองตราด,ตราด,SAN,2023-05-22,ไม่ผ่านเกณฑ์
เซเว่นอีเลฟเว่น สาขา ๕๖๐๖ ท่าพริก,อื่นๆ,ท่าพริก,เมืองตราด,ตราด,SAN,2023-05-23,ไม่ผ่านเกณฑ์
ร้านอาหารครัวเข้าท่า,ร้านจำหน่ายอาหาร,วังกระแจะ,เมืองตราด,ตราด,SAN,2024-10-03,ไม่ผ่านเกณฑ์
บ้านปูรีสอร์ท ตราด,ร้านจำหน่ายอาหาร,หนองคันทรง,เมืองตราด,ตราด,SAN,2025-07-21,ไม่ผ่านเกณฑ์
ร้านขนมจีนลุงทม,ร้านจำหน่ายอาหาร,คลองใหญ่,คลองใหญ่,ตราด,SAN,2025-07-21,ไม่ผ่านเกณฑ์
ร้านกาแฟภูเขา,ร้านจำหน่ายอาหาร,คลองใหญ่,คลองใหญ่,ตราด,มาตรฐาน SAN,2024-01-29,หมดอายุ
Chill Out Cafe,ร้านจำหน่ายอาหาร,เกาะช้าง,เกาะช้าง,ตราด,SAN,2024-01-31,ไม่ผ่านเกณฑ์
ร้านฟองกาแฟ,ร้านจำหน่ายอาหาร,วังกระแจะ,เมืองตราด,ตราด,SAN,2024-01-23,ไม่ผ่านเกณฑ์
ร้านเจ๊นิด ทุ่งนา,ร้านจำหน่ายอาหาร,ไม้รูด,คลองใหญ่,ตราด,SAN,2024-02-01,ไม่ผ่านเกณฑ์
ร้านต้นสะพาน,ร้านจำหน่ายอาหาร,คลองใหญ่,คลองใหญ่,ตราด,SAN,2025-07-07,รับรอง
ร้านบ้านไร่เขียวขจี ภาสกรฟาร์ม,ร้านจำหน่ายอาหาร,หนองคันทรง,เมืองตราด,ตราด,SAN,2024-02-05,ไม่ผ่านเกณฑ์
The Ocean Terrace,ร้านจำหน่ายอาหาร,เกาะช้าง,เกาะช้าง,ตราด,SAN,2024-02-13,ไม่ผ่านเกณฑ์
โซเนวา คีรี,ร้านจำหน่ายอาหาร,เกาะกูด,เกาะกูด,ตราด,SAN,2024-02-13,ไม่ผ่านเกณฑ์
ครัวสีฟ้า,ร้านจำหน่ายอาหาร,เกาะกูด,เกาะกูด,ตราด,SAN,2024-02-13,ไม่ผ่านเกณฑ์
ข้าวขวัญ,ร้านจำหน่ายอาหาร,เกาะช้าง,เกาะช้าง,ตราด,SAN,2024-02-13,ไม่ผ่านเกณฑ์
Sea Breeze Restaurant,ร้านจำหน่ายอาหาร,เกาะช้าง,เกาะช้าง,ตราด,SAN,2024-02-13,ไม่ผ่านเกณฑ์
