name,type,subdistrict,district,province,standard,approve_date,status
บ้านบนสัน,ร้านจำหน่ายอาหาร,แม่จะเรา,แม่ระมาด,ตาก,SAN,2025-02-27,ไม่ผ่านเกณฑ์
สวนอาหารกวางตุ้ง,สวนอาหาร,แม่สอด,แม่สอด,ตาก,SAN,2025-01-30,ไม่ผ่านเกณฑ์
บ้านเคียงน้ำ,ร้านจำหน่ายอาหาร,ป่ามะม่วง,เมืองตาก,ตาก,SAN,2025-02-27,ไม่ผ่านเกณฑ์
เถียงนา คอฟฟี่ แอนด์ เบเกอรี่ ฟาร์ม,ร้านจำหน่ายอาหาร,ไม้งาม,เมืองตาก,ตาก,SAN,2025-02-27,ไม่ผ่านเกณฑ์
ช่อม่วง,ร้านจำหน่ายอาหาร,แม่ปะ,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
บ้านผักรักตะวัน,ร้านจำหน่ายอาหาร,แม่ท้อ,เมืองตาก,ตาก,SAN,2024-07-18,ไม่ผ่านเกณฑ์
ครัวคุณนาย,ร้านจำหน่ายอาหาร,แม่ปะ,แม่สอด,ตาก,SAN,2025-01-27,ไม่ผ่านเกณฑ์
ร้านปีกไม้,ร้านจำหน่ายอาหาร,ป่ามะม่วง,เมืองตาก,ตาก,SAN,2025-02-02,ไม่ผ่านเกณฑ์
ร้านบ้านเพื่อน,ร้านจำหน่ายอาหาร,น้ำรึม,เมืองตาก,ตาก,มาตรฐาน SAN,2025-02-27,หมดอายุ
ร้านปลาสดเมืองฉอด,ร้านจำหน่ายอาหาร,แม่ปะ,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ภูชิว,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN,2024-07-18,ไม่ผ่านเกณฑ์
วิวดอย,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN,2025-07-14,รับรอง
วิวดอย,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ครัวคุณนาย,ร้านจำหน่ายอาหาร,แม่ปะ,แม่สอด,ตาก,มาตรฐาน SAN,2025-01-31,หมดอายุ
สวนอาหารกวางตุ้ง,สวนอาหาร,แม่สอด,แม่สอด,ตาก,SAN,2025-01-30,ไม่ผ่านเกณฑ์
วิวดอย,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN PLUS,2024-11-06,รับรอง
หลงนา,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN PLUS,2024-11-06,รับรอง
วิวดอย,ร้านจำหน่ายอาหาร,แม่กาษา,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ร้าน Asa teabar and eatery,ร้านจำหน่ายอาหาร,แม่สอด,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
เกดถะหวา,ร้านจำหน่ายอาหาร,แม่สอด,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
Rosewood cafe & Bistro,ร้านจำหน่ายอาหาร,แม่สอด,แม่สอด,ตาก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
