name,type,subdistrict,district,province,standard,approve_date,status
Fullmoon Japanese Bar,ร้านจำหน่ายอาหาร,บ้านนา,บ้านนา,นครนายก,SAN,2023-05-16,ไม่ผ่านเกณฑ์
ครัวดาวคาวหวาน(บ้านพุทธมณฑา),ร้านจำหน่ายอาหาร,ศีรษะกระบือ,องครักษ์,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
Duklongcafe&Restaurant,ร้านจำหน่ายอาหาร,บึงศาล,องครักษ์,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
โอตะยากิ,ร้านจำหน่ายอาหาร,บ้านนา,บ้านนา,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
ที่ตามหา,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ดงละคร,เมืองนครนายก,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
เซา-มี-แฮง,ร้านจำหน่ายอาหาร,หนองแสง,ปากพลี,นครนายก,SAN,2025-05-05,รับรอง
มาฟาคาเฟ่,ร้านจำหน่ายอาหาร,ปากพลี,ปากพลี,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
พวน ฟาร์ม คาเฟ่,ร้านจำหน่ายอาหาร,คลองใหญ่,องครักษ์,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
กูโรตีชาชักคลอง 16,ร้านจำหน่ายอาหาร,พระอาจารย์,องครักษ์,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้านกาแฟสวนป้าอินทร์,ร้านจำหน่ายอาหาร,คลองใหญ่,องครักษ์,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้าน Montreux cafe and farm,ร้านเครื่องดื่ม,บึงศาล,องครักษ์,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้านไก่ย่างสองสาว,ร้านจำหน่ายอาหาร,หินตั้ง,เมืองนครนายก,นครนายก,SAN,2024-06-27,ไม่ผ่านเกณฑ์
เดอะชะมวง ฟอเรสต์ ,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
โรงลาบศรีนาวา,ร้านจำหน่ายอาหาร,ศรีนาวา,เมืองนครนายก,นครนายก,SAN,2023-05-18,ไม่ผ่านเกณฑ์
ร้านส้มตำเจ้ไก่อุดร นครนายก สาขา3,ร้านจำหน่ายอาหาร,บ้านใหญ่,เมืองนครนายก,นครนายก,SAN,2025-06-13,ไม่ผ่านเกณฑ์
ราวินโฮมคาเฟ่,ร้านจำหน่ายอาหาร,นาหินลาด,ปากพลี,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
สมมาศโภชนา,ร้านจำหน่ายอาหาร,นครนายก,เมืองนครนายก,นครนายก,มาตรฐาน SAN,2023-06-12,หมดอายุ
นครสเต็ก,ร้านจำหน่ายอาหาร,บ้านใหญ่,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้านริมคลอง,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-29,รับรอง
ครัวโสภีริมน้ำ,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-29,รับรอง
Sirin Suki,ร้านจำหน่ายอาหาร,องครักษ์,องครักษ์,นครนายก,SAN,2025-01-29,รับรอง
ดงช้าง คาเฟ่ และสวนอาหารเรือนดอกแก้ว,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
น้องอิงโภชนา,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-29,รับรอง
2nd November cafe,ร้านเครื่องดื่ม,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-28,รับรอง
ร้านป้าใจ,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้านข้าวหอมโภชนา,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-28,รับรอง
ครัวไฮโดร,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-28,รับรอง
Veena Cafe,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-04-29,ไม่ผ่านเกณฑ์
สาริกาบุรี นครนายก เมืองแห่งความอร่อย,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-24,รับรอง
ชิว ชิว,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ช่อชะมวง,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-24,รับรอง
ชานชาลา 22 คาเฟ่,อื่นๆ,พระอาจารย์,องครักษ์,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ครัวสาริกา,ร้านจำหน่ายอาหาร,สาริกา,เมืองนครนายก,นครนายก,SAN,2025-01-24,รับรอง
ภูตะลึง คาเฟ่,ร้านจำหน่ายอาหาร,เขาพระ,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
Dome cafe,ร้านเครื่องดื่ม,บ้านพร้าว,บ้านนา,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
 เดอดีดง คาเฟ่,อื่นๆ,ดงละคร,เมืองนครนายก,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ริมสวน,อื่นๆ,บ้านพร้าว,บ้านนา,นครนายก,SAN,2023-06-12,ไม่ผ่านเกณฑ์
