name,type,subdistrict,district,province,standard,approve_date,status
ร้านยาย ย่า ฟู๊ด,ร้านจำหน่ายอาหาร,ห้วยพระ,ดอนตูม,นครปฐม,SAN,2023-02-23,ไม่ผ่านเกณฑ์
ร้านเพาะฟาร์มรัก,ร้านจำหน่ายอาหาร,ห้วยพระ,ดอนตูม,นครปฐม,SAN,2023-09-15,ไม่ผ่านเกณฑ์
เรือนน้ำอลิษา,ร้านจำหน่ายอาหาร,ขุนแก้ว,นครชัยศรี,นครปฐม,SAN,2025-04-11,รับรอง
ไก่ย่าง เจ้จั่น,ร้านจำหน่ายอาหาร,สนามจันทร์,เมืองนครปฐม,นครปฐม,SAN,2023-12-28,ไม่ผ่านเกณฑ์
นิกันติ กอล์ฟ คลับ,อื่นๆ,ธรรมศาลา,เมืองนครปฐม,นครปฐม,SAN,2024-02-07,ไม่ผ่านเกณฑ์
ร้านกาแฟ โอทู,ร้านจำหน่ายอาหาร,ไร่ขิง,สามพราน,นครปฐม,SAN,2024-09-12,ไม่ผ่านเกณฑ์
ศรีสุวรรณ,ร้านจำหน่ายอาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-10,ไม่ผ่านเกณฑ์
แซบนัวครัวบ้านนาศาลายา,ร้านจำหน่ายอาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-10,ไม่ผ่านเกณฑ์
ร้านง้วนลูกชิ้นปลาน้ำใสที่หนึ่ง,ร้านจำหน่ายอาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-10,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวลูกชิ้นปลานายเงี้ยบ,ร้านจำหน่ายอาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2025-06-10,รับรอง
ฮั่ว เซง ฮง,ภัตาคาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2025-07-09,รับรอง
ศูนย์การเรียนรู้มหาวิทยาลัยมหิดล ศาลายา,ศูนย์อาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-18,ไม่ผ่านเกณฑ์
shane,ภัตาคาร,ศาลายา,พุทธมณฑล,นครปฐม,มาตรฐาน SAN,2024-07-18,หมดอายุ
สุธารส,อื่นๆ,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-18,ไม่ผ่านเกณฑ์
โกวเล็ก สุกี้ฮ่องกง,ร้านจำหน่ายอาหาร,ศาลายา,พุทธมณฑล,นครปฐม,SAN,2024-07-18,ไม่ผ่านเกณฑ์
Enjoy coffee and Food,ร้านจำหน่ายอาหาร,มหาสวัสดิ์,พุทธมณฑล,นครปฐม,SAN,2025-05-20,รับรอง
โรงเรียนวัดท่าพูด,โรงอาหาร,ไร่ขิง,สามพราน,นครปฐม,SAN,2024-09-10,ไม่ผ่านเกณฑ์
โรงเรียนวัดท่าพูด,โรงอาหาร,ไร่ขิง,สามพราน,นครปฐม,มาตรฐาน SAN,2024-09-09,หมดอายุ
โรงงานผลิตภัณฑ์อาหารไทยโรง2 สโมสรร้าน 3,โรงอาหาร,ไร่ขิง,สามพราน,นครปฐม,มาตรฐาน SAN,2024-09-16,หมดอายุ
ร้าน ต้นข้าว เทอเรส,ร้านจำหน่ายอาหาร,ไร่ขิง,สามพราน,นครปฐม,SAN,2025-05-27,รับรอง
โรงเรียนวัดท่าพูด,โรงอาหาร,ไร่ขิง,สามพราน,นครปฐม,มาตรฐาน SAN,2024-09-16,หมดอายุ
