name,type,subdistrict,district,province,standard,approve_date,status
ร้านภุชญา,ร้านจำหน่ายอาหาร,นาแก,นาแก,นครพนม,SAN PLUS,2025-04-11,รับรอง
นาคุณปู่,สวนอาหาร,พระกลางทุ่ง,ธาตุพนม,นครพนม,SAN PLUS,2025-05-29,รับรอง
ร้านสวีทโฮม,ร้านจำหน่ายอาหาร,ฝั่งแดง,ธาตุพนม,นครพนม,SAN PLUS,2025-05-29,รับรอง
Qhun Qhun Kitchen ธาตุพนม,ร้านจำหน่ายอาหาร,ธาตุพนม,ธาตุพนม,นครพนม,SAN,2025-06-11,รับรอง
นัมเบอร์วัน,ร้านจำหน่ายอาหาร,โพนสวรรค์,โพนสวรรค์,นครพนม,SAN,2025-06-20,ไม่ผ่านเกณฑ์
คุณแอ๋วข้าวมันไก่,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
อุ้มทอง,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
ฟ้าใส,ร้านจำหน่ายอาหาร,โพนสวรรค์,โพนสวรรค์,นครพนม,SAN,2025-06-20,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหมูโบราณ,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรืออยุทธยา ช ชนินธร,ร้านจำหน่ายอาหาร,โพนสวรรค์,โพนสวรรค์,นครพนม,SAN,2025-01-09,ไม่ผ่านเกณฑ์
นพเก้า ปิ้งย่าง ชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โพนสวรรค์,โพนสวรรค์,นครพนม,SAN,2025-01-09,ไม่ผ่านเกณฑ์
ตำหนักนัวส์,อื่นๆ,โพนสวรรค์,โพนสวรรค์,นครพนม,SAN,2025-06-06,รับรอง
สมเด็จหมูกะทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าอุเทน,ท่าอุเทน,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
ครัวเจ๊ษร,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-02-18,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือเจ๊กี,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
บุ๋ม โภชนา,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-04-10,รับรอง
ลาบเจ๊เทพ,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
โรงอาหารโรงพยาบาลสมเด็จพระยุพราชธาตุพนม,อื่นๆ,ธาตุพนม,ธาตุพนม,นครพนม,SAN,2024-05-17,ไม่ผ่านเกณฑ์
เจ๊มลก๋วยเตี๋ยวไก่,อื่นๆ,ธาตุพนม,ธาตุพนม,นครพนม,มาตรฐาน SAN,2025-06-25,หมดอายุ
น้องแก้มบ้านแพงใต้,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
ครัวคุณนาย,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2024-12-04,รับรอง
ปราณีก๋วยจั๊บ,ร้านจำหน่ายอาหาร,บ้านแพง,บ้านแพง,นครพนม,SAN,2025-06-20,รับรอง
