name,type,subdistrict,district,province,standard,approve_date,status
เป็นลาว,ร้านจำหน่ายอาหาร,หมูสี,ปากช่อง,นครราชสีมา,SAN,2023-02-23,ไม่ผ่านเกณฑ์
บิ๊กไบค์,ร้านจำหน่ายอาหาร,เสิงสาง,เสิงสาง,นครราชสีมา,SAN PLUS,2025-05-29,รับรอง
ร้านแดรี่โฮม (สาขาชมสวน),ภัตาคาร,พญาเย็น,ปากช่อง,นครราชสีมา,SAN PLUS,2025-05-29,รับรอง
ร้านมาเธอร์เซย์โน,ร้านจำหน่ายอาหาร,หนองน้ำแดง,ปากช่อง,นครราชสีมา,SAN PLUS,2025-05-29,รับรอง
ครัวบินหลา,ร้านจำหน่ายอาหาร,หมูสี,ปากช่อง,นครราชสีมา,SAN,2023-01-30,ไม่ผ่านเกณฑ์
ร้านชาญ่าคาเฟ่แอนเมย์บีแด,ร้านจำหน่ายอาหาร,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,SAN,2023-01-30,ไม่ผ่านเกณฑ์
ร้านอาหารไหมมัดหมี่,อื่นๆ,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านครัวเขาใหญ่,อื่นๆ,หมูสี,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านโรม่า เขาใหญ่,อื่นๆ,หมูสี,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านเฮือนแม่ญิ๋ง,อื่นๆ,หมูสี,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านซูชิ ทาสึ,อื่นๆ,หมูสี,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
เดอะเกรท​ ฮอร์นบิล ไวน์เนอรี่ เรสเตอรองท์​ ,อื่นๆ,พญาเย็น,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านกลางป่า-Homemade,อื่นๆ,กลางดง,ปากช่อง,นครราชสีมา,SAN,2023-07-14,ไม่ผ่านเกณฑ์
ร้านเดอะบัคเก็ตเขาใหญ่-ปากช่อง,อื่นๆ,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านครัวน่านน้ำ,อื่นๆ,หนองสาหร่าย,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านครัวสวนคุณยาย,อื่นๆ,หนองน้ำแดง,ปากช่อง,นครราชสีมา,SAN,2023-07-14,ไม่ผ่านเกณฑ์
ร้านริบส์แมน,อื่นๆ,หนองน้ำแดง,ปากช่อง,นครราชสีมา,SAN,2025-02-19,รับรอง
ร้านสเต็กตัวพ่อ,อื่นๆ,หนองน้ำแดง,ปากช่อง,นครราชสีมา,SAN,2024-10-22,รับรอง
ร้านครัวบินหลา,ร้านจำหน่ายอาหาร,หมูสี,ปากช่อง,นครราชสีมา,SAN,2023-07-10,ไม่ผ่านเกณฑ์
กินข้าวบ้านเฮ้าส์,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2025-07-17,รับรอง
ตำลาว,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
บิ๊กเกอร์ เบอร์เกอร์ แอนด์สเต็ก,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2025-08-21,รับรอง
ร้านชาบูชิ บิ๊กซี ปากช่อง,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2025-07-02,รับรอง
เอ็มเค,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
 ก๋ววยเตี๋ยวดู๋ดี๋ธงชัย,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ข้าวมันไก่ต้มเลือดหมู,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ร้านป้าจัน,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ร้านสยามแม็คโค,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ร้านลาบครูสาย,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ร้านสหร่ายทอง,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2025-01-09,รับรอง
ส.เจริญพร,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ตำสะเดิด,ร้านจำหน่ายอาหาร,ปากช่อง,ปากช่อง,นครราชสีมา,SAN,2025-01-09,รับรอง
