name,type,subdistrict,district,province,standard,approve_date,status
เดอะเรดบาร์น,ร้านจำหน่ายอาหาร,ท่าวัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,SAN,2025-06-16,รับรอง
หนำตาประ,ร้านจำหน่ายอาหาร,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2023-07-03,ไม่ผ่านเกณฑ์
ร้านทานตะวันcoffeeช็อป,ร้านเครื่องดื่ม,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2023-05-23,ไม่ผ่านเกณฑ์
ร้านตะเอก,ร้านเครื่องดื่ม,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2024-09-09,รับรอง
ป้าตาอาหารตามสั่ง,ร้านจำหน่ายอาหาร,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2023-05-23,ไม่ผ่านเกณฑ์
อเมซอน,ร้านเครื่องดื่ม,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2024-09-09,รับรอง
มงคล อาหารตามสั่ง,ร้านจำหน่ายอาหาร,นาพรุ,พระพรหม,นครศรีธรรมราช,SAN,2024-09-06,รับรอง
"น้ำชา,กาเเฟ,เครื่องดื่ม",ร้านเครื่องดื่ม,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,SAN,2025-05-14,ไม่ผ่านเกณฑ์
บ้านซูซิย่างไฟ สาขาทุ่งสง,ร้านจำหน่ายอาหาร,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,SAN,2025-05-14,ไม่ผ่านเกณฑ์
"ข้าวเเกง,ขนมจีน",ร้านจำหน่ายอาหาร,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,SAN,2025-05-14,ไม่ผ่านเกณฑ์
ร้านริมทางปาตี้ หมูกระทะ,ร้านจำหน่ายอาหาร,นาหลวงเสน,ทุ่งสง,นครศรีธรรมราช,SAN,2024-10-15,รับรอง
วังชะโอน&ชายสี่,ร้านจำหน่ายอาหาร,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,SAN,2025-05-14,ไม่ผ่านเกณฑ์
ชานมไข่มุก,ร้านจำหน่ายอาหาร,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,SAN,2025-05-14,ไม่ผ่านเกณฑ์
