name,type,subdistrict,district,province,standard,approve_date,status
กินข้าวบ้านแจม,ร้านจำหน่ายอาหาร,ท่าน้ำอ้อย,พยุหะคีรี,นครสวรรค์,SAN PLUS,2025-06-16,รับรอง
สวนภูพัฒน์ คาเฟ่,ร้านจำหน่ายอาหาร,หนองนมวัว,ลาดยาว,นครสวรรค์,SAN,2025-07-07,ไม่ผ่านเกณฑ์
เรื่องเล่าหน้าอำเภอ,ร้านจำหน่ายอาหาร,แม่เปิน,แม่เปิน,นครสวรรค์,SAN,2024-05-16,ไม่ผ่านเกณฑ์
บ้านกลางนา,ร้านจำหน่ายอาหาร,แม่วงก์,แม่วงก์,นครสวรรค์,SAN,2025-05-15,ไม่ผ่านเกณฑ์
ร้านเรณู,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-30,รับรอง
Just Drinks,ร้านเครื่องดื่ม,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-01-09,รับรอง
ร้านข้าวมันไก่รสเด็ด,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
ร้านส้มตำน้าตู้,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-01-09,รับรอง
ร้านป้าเสริฐ,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
ร้านป้าพวง,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-01-09,รับรอง
ร้านเล่นเส้น,ร้านจำหน่ายอาหาร,เจริญผล,บรรพตพิสัย,นครสวรรค์,SAN,2025-07-07,ไม่ผ่านเกณฑ์
ร้าน BonBon Restaurant,ร้านจำหน่ายอาหาร,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านอาหารหนองหว้าคันทรี่&คาเฟ่,ร้านจำหน่ายอาหาร,เจริญผล,บรรพตพิสัย,นครสวรรค์,SAN,2025-07-07,ไม่ผ่านเกณฑ์
ร้านยายนะ,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
ร้านน้ำปั่น,ร้านเครื่องดื่ม,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
ร้านป้าจุ่น,ร้านจำหน่ายอาหาร,โกรกพระ,โกรกพระ,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
น้ำพริกลงเรือ ทรัพย์เสบียง,ศูนย์อาหาร,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,SAN,2025-07-25,ไม่ผ่านเกณฑ์
ข้าวขาหมูระเบียงทอง,ศูนย์อาหาร,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,SAN,2025-07-25,ไม่ผ่านเกณฑ์
ร้านซุ้มม่วง,ร้านจำหน่ายอาหาร,ชุมตาบง,ชุมตาบง,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
เจ๊อันอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ชุมตาบง,ชุมตาบง,นครสวรรค์,SAN,2025-07-14,ไม่ผ่านเกณฑ์
ครัวบ้านมังกร เรือนจำกลางนครสวรรค์,ร้านจำหน่ายอาหาร,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,SAN,2024-04-10,ไม่ผ่านเกณฑ์
มาดูน่า คาเฟ่ แอนด์ เรสเทอรองค์,ร้านจำหน่ายอาหาร,วังซ่าน,แม่วงก์,นครสวรรค์,SAN,2024-12-13,รับรอง
ร้าน ชวนชม,ร้านจำหน่ายอาหาร,บ้านแดน,บรรพตพิสัย,นครสวรรค์,SAN PLUS,2025-07-06,รับรอง
ร้าน ละเอียด,ร้านจำหน่ายอาหาร,บ้านแดน,บรรพตพิสัย,นครสวรรค์,SAN,2024-06-19,ไม่ผ่านเกณฑ์
ร้านครัวไข่หวาน,ร้านจำหน่ายอาหาร,วัดไทร,เมืองนครสวรรค์,นครสวรรค์,มาตรฐาน SAN,2024-06-20,หมดอายุ
โรงพยาบาลพริ้นซ์ปากน้ำโพ นครสวรรค์,ร้านจำหน่ายอาหาร,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,SAN,2024-06-21,ไม่ผ่านเกณฑ์
ข้าวต้มนายเด่น,ร้านจำหน่ายอาหาร,ไพศาลี,ไพศาลี,นครสวรรค์,มาตรฐาน SAN,2024-06-24,หมดอายุ
ประนอมอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ไพศาลี,ไพศาลี,นครสวรรค์,มาตรฐาน SAN,2024-06-24,หมดอายุ
ก๋วยเตี๋ยวอาหารตามสั่งป้าแจ๋น,ร้านจำหน่ายอาหาร,ไพศาลี,ไพศาลี,นครสวรรค์,มาตรฐาน SAN,2024-06-24,หมดอายุ
THIRST BAR,ร้านจำหน่ายอาหาร,ไพศาลี,ไพศาลี,นครสวรรค์,SAN,2025-03-06,รับรอง
ร้านไก่ย่างวิเชียร,ร้านจำหน่ายอาหาร,ไพศาลี,ไพศาลี,นครสวรรค์,SAN,2025-03-06,รับรอง
ร้านลาบ 101 ถังแดง,ร้านจำหน่ายอาหาร,แม่วงก์,แม่วงก์,นครสวรรค์,มาตรฐาน SAN,2024-06-26,หมดอายุ
ร้านครัวหลวง แม่วงก์,ร้านจำหน่ายอาหาร,แม่วงก์,แม่วงก์,นครสวรรค์,มาตรฐาน SAN,2024-06-26,หมดอายุ
ต้นกระโดนCoffee,ร้านเครื่องดื่ม,ชุมตาบง,ชุมตาบง,นครสวรรค์,SAN PLUS,2024-09-25,รับรอง
ป้าลี ลุงยนต์,ร้านจำหน่ายอาหาร,ชุมตาบง,ชุมตาบง,นครสวรรค์,มาตรฐาน SAN,2024-06-26,หมดอายุ
JP FARM เมล่อนญี่ปุ่นนครสวรรค์,ร้านจำหน่ายอาหาร,หนองบัว,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ก๋วยเตี๋ยวเรือหน้าอำเภอ,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านแซบอีหลีร้อยเอ็ด,ร้านจำหน่ายอาหาร,หนองบัว,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านข้าวต้ม IMF,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านรุ่งมาลีโภชนา,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2025-04-21,รับรอง
ร้านเจ๊ตู่,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ครัวนงลักษณ์,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านป้ามาลัย,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านข้าวแกงแม่ทองอยู่,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2025-04-21,รับรอง
ร้านเปรี้ยวปากหมูกระทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านเปรี้ยวปากชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หนองกลับ,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านลุงต๋อย,ร้านจำหน่ายอาหาร,หนองบัว,หนองบัว,นครสวรรค์,SAN,2025-04-21,รับรอง
ร้านครัวลุงชาย,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านลูกชิ้นหมูท่าตะโก,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านแซบอีหลีมหาสารคาม,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านข้าวต้มเจ๊แตง,ร้านจำหน่ายอาหาร,หนองกลับ,หนองบัว,นครสวรรค์,SAN,2024-06-27,ไม่ผ่านเกณฑ์
ร้านครัวชุมแสง,ร้านจำหน่ายอาหาร,ชุมแสง,ชุมแสง,นครสวรรค์,SAN,2025-04-21,รับรอง
ร้านหมูกระทะไอคิว,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ชุมแสง,ชุมแสง,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านครัวแม่แกลบ,ร้านจำหน่ายอาหาร,ชุมแสง,ชุมแสง,นครสวรรค์,SAN PLUS,2024-07-04,หมดอายุ
ร้านคาเฟ่เดอปราง,ร้านจำหน่ายอาหาร,ชุมแสง,ชุมแสง,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านก๋วยเตี๋ยวน้าปาน,ร้านจำหน่ายอาหาร,ชุมแสง,ชุมแสง,นครสวรรค์,มาตรฐาน SAN,2024-06-27,หมดอายุ
ร้านพาทิโอ บูทิค เฮ้าส์,ร้านจำหน่ายอาหาร,พันลาน,ชุมแสง,นครสวรรค์,SAN,2024-07-02,ไม่ผ่านเกณฑ์
