name,type,subdistrict,district,province,standard,approve_date,status
พาทาแพลนเทชั่น,ร้านจำหน่ายอาหาร,บ้านใหม่,ปากเกร็ด,นนทบุรี,SAN,2024-09-11,รับรอง
ร้านสวัาดีค่าเฟ​เดอปากเกร็ด,ร้านจำหน่ายอาหาร,ปากเกร็ด,ปากเกร็ด,นนทบุรี,SAN,2024-10-15,รับรอง
ร้านสองฝั่งคลอง ,ร้านจำหน่ายอาหาร,บางพูด,ปากเกร็ด,นนทบุรี,SAN PLUS,2024-10-11,รับรอง
ร้านเหนือน้ำนนท์,ร้านจำหน่ายอาหาร,ไทรม้า,เมืองนนทบุรี,นนทบุรี,SAN,2025-06-20,ไม่ผ่านเกณฑ์
นิตยาไก่ย่างสาขาแยกสะพานพระนั่งเกล้า,ร้านจำหน่ายอาหาร,บางกระสอ,เมืองนนทบุรี,นนทบุรี,SAN,2023-02-24,ไม่ผ่านเกณฑ์
นิตยาไก่ย่างสาขาประชาชื่น,ร้านจำหน่ายอาหาร,ท่าทราย,เมืองนนทบุรี,นนทบุรี,มาตรฐาน SAN,2024-11-06,หมดอายุ
Sushi Den,ร้านจำหน่ายอาหาร,บางใหญ่,บางใหญ่,นนทบุรี,SAN,2023-07-21,ไม่ผ่านเกณฑ์
โดเช่,อื่นๆ,บางใหญ่,บางใหญ่,นนทบุรี,มาตรฐาน SAN,2023-07-19,หมดอายุ
บ่อตกกุ้ง บางใหญ่ซิตี้,ร้านจำหน่ายอาหาร,บางใหญ่,บางใหญ่,นนทบุรี,SAN,2023-07-19,ไม่ผ่านเกณฑ์
Ploygub cafe,ร้านจำหน่ายอาหาร,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,SAN,2024-12-18,ไม่ผ่านเกณฑ์
โรงอาหารกรมอนามัย,ร้านจำหน่ายอาหาร,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,SAN,2025-04-21,ไม่ผ่านเกณฑ์
โรงอาหารกรมอนามัย (EASE Café by IMPACT @ครัวอนามัย),ร้านจำหน่ายอาหาร,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,SAN,2023-11-10,ไม่ผ่านเกณฑ์
ริมทางซีฟู้ด,ร้านจำหน่ายอาหาร,บางรักพัฒนา,บางบัวทอง,นนทบุรี,มาตรฐาน SAN,2025-04-21,หมดอายุ
