name,type,subdistrict,district,province,standard,approve_date,status
ร้าน 2019 สองพันสิบเก้า,ร้านจำหน่ายอาหาร,สุไหงโก-ลก,สุไหงโก-ลก,นราธิวาส,SAN,2023-10-02,ไม่ผ่านเกณฑ์
ร้านสายังปลาเผา,ร้านจำหน่ายอาหาร,สุไหงโก-ลก,สุไหงโก-ลก,นราธิวาส,SAN,2023-10-02,ไม่ผ่านเกณฑ์
Hatyai sashimi ,ภัตาคาร,บางนาค,เมืองนราธิวาส,นราธิวาส,SAN,2023-10-02,ไม่ผ่านเกณฑ์
Akhoo,ร้านจำหน่ายอาหาร,บางนาค,เมืองนราธิวาส,นราธิวาส,SAN,2025-04-08,ไม่ผ่านเกณฑ์
ห้องอาหารมากแดง,ร้านจำหน่ายอาหาร,สุไหงโก-ลก,สุไหงโก-ลก,นราธิวาส,SAN,2023-10-02,ไม่ผ่านเกณฑ์
ร้านSummer Thon,ร้านจำหน่ายอาหาร,โคกเคียน,เมืองนราธิวาส,นราธิวาส,SAN,2023-10-05,ไม่ผ่านเกณฑ์
ร้านมุมกาแฟ,ร้านจำหน่ายอาหาร,บางนาค,เมืองนราธิวาส,นราธิวาส,SAN,2023-10-10,ไม่ผ่านเกณฑ์
CUBA RASA Restaurant,ร้านจำหน่ายอาหาร,บาเระเหนือ,บาเจาะ,นราธิวาส,SAN,2023-10-10,ไม่ผ่านเกณฑ์
ร้านDa Mai,ร้านจำหน่ายอาหาร,แว้ง,แว้ง,นราธิวาส,SAN,2025-01-31,รับรอง
ร้านอะยัมบอย,ร้านจำหน่ายอาหาร,ผดุงมาตร,จะแนะ,นราธิวาส,SAN,2023-10-10,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรืออยุธยา เจาะไอร้อง,ร้านจำหน่ายอาหาร,จวบ,เจาะไอร้อง,นราธิวาส,SAN,2025-01-31,รับรอง
ร้านPickpockets,ร้านจำหน่ายอาหาร,สุไหงโก-ลก,สุไหงโก-ลก,นราธิวาส,SAN,2025-01-31,รับรอง
