name,type,subdistrict,district,province,standard,approve_date,status
สวนอาหารเรือนแก้ว,สวนอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-02-07,ไม่ผ่านเกณฑ์
สวนอาหารสุริยา การ์เดนท์,สวนอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN PLUS,2024-06-28,หมดอายุ
ร้านอาหารปุ้ม3,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-03-14,ไม่ผ่านเกณฑ์
สวนอาหารครัวเรณู,สวนอาหาร,ปัว,ปัว,น่าน,SAN,2025-07-15,รับรอง
ครัวลินดา,ร้านจำหน่ายอาหาร,วรนคร,ปัว,น่าน,SAN,2025-08-20,ไม่ผ่านเกณฑ์
ชาบูไออุ่น,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ปัว,ปัว,น่าน,SAN PLUS,2025-06-10,รับรอง
ครัวชมพูภูคา,ร้านจำหน่ายอาหาร,ปัว,ปัว,น่าน,SAN,2023-03-14,ไม่ผ่านเกณฑ์
โกโก้วัลเล่ย์ คาเฟ่,ร้านเครื่องดื่ม,ปัว,ปัว,น่าน,SAN PLUS,2025-06-10,รับรอง
ฮั้วเลิศรส,ร้านจำหน่ายอาหาร,ฝายแก้ว,ภูเพียง,น่าน,SAN PLUS,2025-06-10,รับรอง
ร้านน่าน กรีนเฮ้าส์,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2025-02-28,รับรอง
เฮือนฮังต่อกาแฟน่าน,ร้านเครื่องดื่ม,ผาสิงห์,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
บ้านบุ๋ม Bar&Bistro,ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
Voila Kitchen,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
Nan Cottage Cuisine & Café,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
สวนอาหารบ้านบ่อน้ำ,สวนอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
แอ๊ดด้าแซ่บเวอร์ ร้านอาหารเหนือ ส้มตำรสเด็ด อ.เมือง จ.น่าน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
ร้าน มิต แอนด์ มีท ชาบู,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
ม.เม Coffee & Restaurant,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2023-09-14,ไม่ผ่านเกณฑ์
Cha Na Apape,ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวมยุรี รสเด็ด,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
เฮือน่าน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-28,รับรอง
กิ๋นเส้นน่าน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ร้านพอเพียงขวัญ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-31,รับรอง
ข้าวซอยต้นน้ำ,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ตั้ง บ้วน เฮง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-31,รับรอง
ร้านอาหารเฮือนฮอม,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ร้านวันดาข้าวแกง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-31,รับรอง
เฮือนภูคา,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
Erabica Coffee (เอราบิก้า คอฟฟี่) ร้านกาแฟน่าน,ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-28,รับรอง
ลาบเมืองเล็น,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-31,รับรอง
ร้านนนท์เลิศรส,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
สวนอาหารเรือนแก้ว,สวนอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-28,รับรอง
ร้าน ผิน ผิน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2025-01-28,รับรอง
ร้านปู่สมเจ้าเก่า,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ตำแรดแซ่บนัว เจ๊ต๊อกแต๊ก สาขาน่าน,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ร้านแดงเป็ดย่าง,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
ร้านเจ๊เล็กข้าวมันไก่,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
บ้านยายภรณ์,อื่นๆ,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
Swensens,อื่นๆ,ในเวียง,เมืองน่าน,น่าน,SAN,2023-09-30,ไม่ผ่านเกณฑ์
โรงเลี้ยงมณฑลทหารบกที่ 38,โรงอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-01-19,ไม่ผ่านเกณฑ์
โรงเลี้ยงกองพันทหารม้าที่10 กรมทหารม้าที่2,โรงอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-02-20,ไม่ผ่านเกณฑ์
โรงเลี้ยงกองพันทหารม้าที่ 15 กรมทหารม้าที่ 2,โรงอาหาร,ไชยสถาน,เมืองน่าน,น่าน,SAN,2024-03-19,ไม่ผ่านเกณฑ์
CALM COFFEE SPACE,ร้านเครื่องดื่ม,ท่าวังผา,ท่าวังผา,น่าน,มาตรฐาน SAN,2024-03-15,หมดอายุ
ก๋วยเตี๋ยวเรือบ้านสบยาว,ร้านจำหน่ายอาหาร,ท่าวังผา,ท่าวังผา,น่าน,SAN,2025-07-24,รับรอง
Nana Muji Café,ร้านเครื่องดื่ม,ท่าวังผา,ท่าวังผา,น่าน,SAN,2025-07-24,รับรอง
ก๋วยเตี๋ยวโบราณครูอู๊ด,ร้านจำหน่ายอาหาร,ท่าวังผา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
ชาลื้อ คาเฟ่,ร้านเครื่องดื่ม,ป่าคา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
Khum Cafe,ร้านเครื่องดื่ม,ป่าคา,ท่าวังผา,น่าน,SAN PLUS,2024-06-18,หมดอายุ
ก๋วยเตี๋ยวคุณปลื้ม,ร้านจำหน่ายอาหาร,ป่าคา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
กิ๋นลม ชมโต้ง,ร้านจำหน่ายอาหาร,ป่าคา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
Cafe Amazon,ร้านเครื่องดื่ม,ท่าวังผา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
หมูซ่อนเตี๋ยว,ร้านจำหน่ายอาหาร,ท่าวังผา,ท่าวังผา,น่าน,SAN,2025-08-22,รับรอง
ร้านตำแซบ,ร้านจำหน่ายอาหาร,ท่าวังผา,ท่าวังผา,น่าน,SAN,2024-05-09,ไม่ผ่านเกณฑ์
ครัวพี่น้อง,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ครัวน้องยุ้ย,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวไก่ตุ๋นมะระสด,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ส้มตำ ไก่ย่าง ,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ป้าเพียงข้าวมันไก่,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ร้านลาบเจ้นุช,ร้านจำหน่ายอาหาร,แม่จริม,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวต้มยำบ้านดงไพรวัลย์,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ครัวรดา,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
อายก๋วยเตี๋ยวรสเด็ด,ร้านจำหน่ายอาหาร,หมอเมือง,แม่จริม,น่าน,SAN,2024-10-16,รับรอง
ครัวขวัญข้าว,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ร้านข้าวแกงเจ้โอ๋,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
อ้อยลาบขม,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
อาหารตามสั่งพัชรีย์,ร้านจำหน่ายอาหาร,หนองแดง,แม่จริม,น่าน,SAN,2024-05-27,ไม่ผ่านเกณฑ์
ณ ฟ้าการ์เด้น,ร้านเครื่องดื่ม,ตาลชุม,ท่าวังผา,น่าน,มาตรฐาน SAN,2024-06-07,หมดอายุ
Wang Cafe,ร้านเครื่องดื่ม,ท่าวังผา,ท่าวังผา,น่าน,SAN,2024-06-07,ไม่ผ่านเกณฑ์
ร้านกาแฟภูพยัคฆ์ สาขาโรงสีข้าวพระราชทาน,ร้านเครื่องดื่ม,ศรีภูมิ,ท่าวังผา,น่าน,SAN,2024-06-07,ไม่ผ่านเกณฑ์
กิ่งโพธิ์,ร้านจำหน่ายอาหาร,ป่าคา,ท่าวังผา,น่าน,มาตรฐาน SAN,2024-06-12,หมดอายุ
RIMNAM CAFE,ร้านเครื่องดื่ม,ป่าคา,ท่าวังผา,น่าน,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ร้านปลาสด,ร้านจำหน่ายอาหาร,ท่าวังผา,ท่าวังผา,น่าน,มาตรฐาน SAN,2024-06-13,หมดอายุ
มณรี ( Monre Dessert ),ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
Mix Academic Cafe,ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
น น่าน cafe,ร้านเครื่องดื่ม,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านเฉลิมไทย,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
THREE PARK (ศูนย์อาหาร),ศูนย์อาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
สนุกน่าน,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านอ้อมดาว,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านโซดาบาร์,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
บริษัท ก.การเนื้อ จำกัด,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
สหาย สาย เตี๋ยว,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านอาหารหนูนา ครัวเมนูปลา,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านโอวีโอสลัด,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
SAY BAR,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
WE LOFT,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
รสาปลาร้าหอม,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านยำ ชู รส,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
น่านริมน้ำ Cafe,ร้านจำหน่ายอาหาร,ในเวียง,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้าน กริลล์กัน,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ZAAP ZONE (คันทรีบาร์),ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
สรวลเส การ์เด้น,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
ร้านหัวมุม ข้าวต้มโต้รุ่ง,ร้านจำหน่ายอาหาร,ผาสิงห์,เมืองน่าน,น่าน,SAN,2024-07-14,ไม่ผ่านเกณฑ์
