name,type,subdistrict,district,province,standard,approve_date,status
ครัวบอลไทย,ร้านจำหน่ายอาหาร,ชุมภูพร,ศรีวิไล,บึงกาฬ,SAN,2025-05-22,รับรอง
ส้มตำยายจ่อย,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ร้านส้มตำหน้าโรงพยาบาลศรีวิไล,อื่นๆ,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
หมาน ณ.ศรีวิไลอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ร้านก๋วยจั๊บน้องน้ำฝน,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ร้านข้าวมันไก่ ก๋วยเตี๋ยวไก่มะระ,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ร้านข้างเปียกเส้น,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
้ร้านก๋วยเตี๋ยวมดแดง,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2025-06-16,รับรอง
ร้านยายแมว,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
มีนาปลาเผา,ร้านจำหน่ายอาหาร,โสกก่าม,เซกา,บึงกาฬ,มาตรฐาน SAN,2023-07-06,หมดอายุ
ร้านขายส้มตำบ้านเหล่าคาม,ร้านจำหน่ายอาหาร,น้ำจั้น,เซกา,บึงกาฬ,SAN,2023-07-06,ไม่ผ่านเกณฑ์
ร้านอาหารตามสั่งบ้านน้ำจั้น,ร้านจำหน่ายอาหาร,น้ำจั้น,เซกา,บึงกาฬ,SAN PLUS,2025-07-08,รับรอง
ร้านก๋วยเตี๋ยวแม่แจม,ร้านจำหน่ายอาหาร,คำแก้ว,โซ่พิสัย,บึงกาฬ,SAN,2025-05-04,รับรอง
แจ่วฮ้อนอินดี้,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ศรีชมภู,โซ่พิสัย,บึงกาฬ,SAN,2023-06-19,ไม่ผ่านเกณฑ์
เจนหมูกะทะทะเลบุฟต์เฟ่,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ตุ๊กๆหมูกะทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ไก่ย่างศรีวิไล,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2025-07-07,รับรอง
ร้านอาหารตามสั่งเจ๊หมวยส้มตำ,ร้านจำหน่ายอาหาร,ศรีวิไล,ศรีวิไล,บึงกาฬ,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ร้านโคขุนโพนยางคำตาตี๋แซบเวอร์,ร้านจำหน่ายอาหาร,,เซกา,บึงกาฬ,SAN,2025-06-26,รับรอง
