name,type,subdistrict,district,province,standard,approve_date,status
แก่นจันทร์ต้นตำรับ สาขาแฟลตตำรวจ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-03-27,รับรอง
ก๋วยเตี๋ยวเรือนายท่า ,ร้านจำหน่ายอาหาร,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-05-29,รับรอง
ร้านอาหารบัานชายน้ำ บุรีรัมย์,ร้านจำหน่ายอาหาร,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,SAN PLUS,2025-07-09,รับรอง
ร้าน Chef Plus Café & Bistro,ร้านจำหน่ายอาหาร,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,SAN PLUS,2025-06-10,รับรอง
ร้านกรีนแอทบุรีรัมย์เรสเตอรอง,ร้านจำหน่ายอาหาร,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ร้าน Suki Desu Bakery すきです,ร้านเครื่องดื่ม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ร้านครัวบ้านลิล,ร้านจำหน่ายอาหาร,บ้านบัว,เมืองบุรีรัมย์,บุรีรัมย์,SAN PLUS,2025-01-30,รับรอง
ร้าน Chef Plus Café & Bistro,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
ร้านไมล์คาเฟ่บุรีรัมย์ (Miles Cafe' Buriram),ร้านจำหน่ายอาหาร,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
ร้านโอชิเน (Oshinei),อื่นๆ,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ร้านบุรีแลนด์คาเฟ่ & เรสเตอรองต์ (Buriland Cafe and Restaurant),ร้านจำหน่ายอาหาร,เสม็ด,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
ร้านลิลกาแฟ,ร้านเครื่องดื่ม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-02-17,รับรอง
ร้าน Klim Kitchen,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
ซูกิ เดซึ เบเกอรี่,ร้านเครื่องดื่ม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-01-09,รับรอง
มะม๊า เนื้อย่าง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-01-09,รับรอง
นิคมเนื้อย่าง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ข้าวต้มโกดัง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-01-09,รับรอง
อาหารเกาหลี เดอะฮัม,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
CHIC,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-02-12,ไม่ผ่านเกณฑ์
ตำกระเทย สาขาบุรีรัมย์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ตี๋ ภาค2,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-06-06,ไม่ผ่านเกณฑ์
ใบหยก,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-08-08,รับรอง
ครัวปวีณา บ.ข.ส,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-09-26,รับรอง
สุกี้แคน-แคน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-08-08,รับรอง
อึ้งเอี่ยมเส็ง ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
สมควร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
โจ๊กหม้อดิน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
ขนมจีนป้าแดง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
สเต็กลอนดอน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
กาญจนาเกาเหลา,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-29,หมดอายุ
ข้าวมันไก่วรรณา,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
เตี๋ยวล้านสอง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
มิดไนท์ไก่ตอน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
ครัว บ.ข.ส.,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
ชุมพล,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-28,หมดอายุ
ชุมนุมไทย,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
รุ่งเรือง,ภัตาคาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-28,ไม่ผ่านเกณฑ์
ก๋วยจั๊บ 3P,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2025-07-06,รับรอง
เจ้อ้วน ก๋วยเตี๋ยวเนื้อ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-28,หมดอายุ
ราดหน้า เอ็มไพร์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2024-10-22,รับรอง
อาหารเกาหลี,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-28,หมดอายุ
Southern Coffe in the Garden,ร้านเครื่องดื่ม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-28,หมดอายุ
ไมตรีจิต,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-08-29,ไม่ผ่านเกณฑ์
Bellinee s Bake & Brew สาขาเทศบาลเมืองบุรีรัมย์,ร้านเครื่องดื่ม,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,SAN,2023-10-30,ไม่ผ่านเกณฑ์
เจริญพุงก๋วยเตี๋ยวไก่,ร้านจำหน่ายอาหาร,ในเมือง,เมืองบุรีรัมย์,บุรีรัมย์,มาตรฐาน SAN,2023-08-29,หมดอายุ
