name,type,subdistrict,district,province,standard,approve_date,status
จันทร์ เดอ คาเฟ่ ,ร้านจำหน่ายอาหาร,บึงสนั่น,ธัญบุรี,ปทุมธานี,SAN,2024-09-06,ไม่ผ่านเกณฑ์
ร้านแกะกะบัว,ร้านจำหน่ายอาหาร,บึงบา,หนองเสือ,ปทุมธานี,SAN,2024-03-06,ไม่ผ่านเกณฑ์
บ้านเหนือน้ำ,ร้านจำหน่ายอาหาร,บางปรอก,เมืองปทุมธานี,ปทุมธานี,SAN,2025-06-20,ไม่ผ่านเกณฑ์
คอฟฟี่เก๋ ,ร้านเครื่องดื่ม,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-09-10,ไม่ผ่านเกณฑ์
น้องใบเตยข้าวมันไก่,ร้านจำหน่ายอาหาร,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2025-07-07,รับรอง
coffee & ice cream lover,ร้านเครื่องดื่ม,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-09-10,ไม่ผ่านเกณฑ์
ร้านน้ำแข็งใส,ร้านจำหน่ายอาหาร,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-10-15,รับรอง
อาหารตามสั่งป้าน้อย,ร้านจำหน่ายอาหาร,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-09-06,ไม่ผ่านเกณฑ์
อาหารอีสาน (นายพยอม),ร้านจำหน่ายอาหาร,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-09-06,ไม่ผ่านเกณฑ์
ตั้งตัวเฮง,ร้านจำหน่ายอาหาร,บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
เจ๊น้อยข้าวหน้าเป็ด,ร้านจำหน่ายอาหาร,บึงสนั่น,ธัญบุรี,ปทุมธานี,SAN,2024-09-06,ไม่ผ่านเกณฑ์
เจ๊น้อง น้ำแข็ง,ร้านจำหน่ายอาหาร,บึงสนั่น,ธัญบุรี,ปทุมธานี,SAN PLUS,2025-05-02,รับรอง
ร้านส้มตำโว้ยเฮ้ย คลอง 11,ร้านจำหน่ายอาหาร,บึงสนั่น,ธัญบุรี,ปทุมธานี,SAN,2024-09-06,ไม่ผ่านเกณฑ์
