name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารผู้บ่าวตำแหลก,ร้านจำหน่ายอาหาร,ปากแพรก,บางสะพานน้อย,ประจวบคีรีขันธ์,SAN,2023-03-24,ไม่ผ่านเกณฑ์
ห้องอาหาร @T Terrace Restaurant โรงแรม AT T Boutique Hotel ,ร้านจำหน่ายอาหาร,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,SAN,2024-07-03,ไม่ผ่านเกณฑ์
ร้านอาหารครัวชมวาฬ,ร้านจำหน่ายอาหาร,บ่อนอก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,SAN,2024-04-25,ไม่ผ่านเกณฑ์
ร้านอาหารครัวปูนา,อื่นๆ,บ่อนอก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,SAN,2024-04-25,ไม่ผ่านเกณฑ์
โรงแรมสิริน,อื่นๆ,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-08-09,ไม่ผ่านเกณฑ์
โรงแรมศุภมิตร,อื่นๆ,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2025-05-02,รับรอง
โรงแรมชบาชาเล่ต์,อื่นๆ,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2025-05-02,รับรอง
สี่มอ ไอศกรีม,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-05-23,ไม่ผ่านเกณฑ์
กาแฟอินทนิล สาขาตลาดฉัตร์ไชย,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-06-19,ไม่ผ่านเกณฑ์
Say Cheese,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-05-23,ไม่ผ่านเกณฑ์
T-A Restaurant,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2025-01-30,รับรอง
ฟาเธอร์ เท้ด,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-07-04,ไม่ผ่านเกณฑ์
Green  Onion,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-07-04,ไม่ผ่านเกณฑ์
ลาวิลล่า,ร้านจำหน่ายอาหาร,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2025-01-24,รับรอง
โรงแรมทิพย์อุไร,อื่นๆ,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,SAN,2024-10-22,รับรอง
