name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารอภัยภูเบศเดย์สปา,ร้านจำหน่ายอาหาร,ท่างาม,เมืองปราจีนบุรี,ปราจีนบุรี,SAN,2024-09-11,รับรอง
Brizo cafe & booze,ร้านเครื่องดื่ม,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,SAN,2023-08-16,ไม่ผ่านเกณฑ์
คักเด๊,ร้านจำหน่ายอาหาร,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,SAN,2023-08-16,ไม่ผ่านเกณฑ์
คาเฟ่ อะเมซอน สาขาริมแม่น้ำปราจีนบุรี,ร้านเครื่องดื่ม,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,SAN,2023-08-17,ไม่ผ่านเกณฑ์
บิ้กเม้าท์ บิสโทร แอนด์ เรสเตอรองท์,ร้านจำหน่ายอาหาร,เนินหอม,เมืองปราจีนบุรี,ปราจีนบุรี,SAN,2024-12-02,รับรอง
ร้านอาหารสามมา เฮาส์ SAMMA Cafe' House,ร้านจำหน่ายอาหาร,ประจันตคาม,ประจันตคาม,ปราจีนบุรี,SAN,2023-08-18,ไม่ผ่านเกณฑ์
บางบริบูรณ์ Bar & Restaurant,ร้านจำหน่ายอาหาร,บางบริบูรณ์,เมืองปราจีนบุรี,ปราจีนบุรี,มาตรฐาน SAN,2023-09-12,หมดอายุ
เจ๊หมวย อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-10-21,รับรอง
บ้านสวน 304,สวนอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
THE ROCK SHABU ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-12-13,รับรอง
อู้ฟู่ สุกี้ชาบู ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ร้านกระทะทองโคขุน 304,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,มาตรฐาน SAN,2024-02-27,หมดอายุ
แหนมเนือง 304,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
สไมล์ก๋วยจั๊บญวน,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-12-13,รับรอง
CHICKYS SEED EAT BARS,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
เจ้เล็ก ตำแซ่บ เเสบ แต๊ดส์,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
อีสานเด้อ ,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
สารพัด ข้าวผัด,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
ก๋วยเตี๋ยวเครื่องในวัว,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
ตำปากเปิด สาขา 304,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
ขนมจีนน้ำยาปู อัยย่ะ หรอย,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
บ้านสเต็ก คลองรั้งสายใน,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
ราดหน้ายอดผัก 304,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-01-22,รับรอง
ร้านอาหารเกาหลีบิบิมบับโดบุงซุน ,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
THE ROCK SHABU สาขา เดอะ เมโทร,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
NIGNAME CAFE,อื่นๆ,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
เตี๋ยวไก่โบราณ,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ร้านป้าแหลม (ครัวรสมือแม่),ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-06-12,ไม่ผ่านเกณฑ์
ร้านอาหารจีน 304,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ร้านข้าวต้ม 1 บาท By เจ้จูน,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ฉวนล่า หม้อไฟ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
รุ่มรวย ก๋วยเตี๋ยวไก่,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
หงษ์เย็นตาโฟ,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ใบบัวครัวแกงใต้ 1,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-08-21,ไม่ผ่านเกณฑ์
เตี๋ยวเตาฟืน,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ดู๋ดี๋ ก๋วยเตี๋ยวต้มยำสูตรมะนาว,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
Hom cafe & Bistro,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
BM บุฟเฟต์ สาขา 304 ปราจีนบุรี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ร้านสมสินไก่ย่าง สาขา 2,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
ศาลาเป็งจู,อื่นๆ,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-03-01,ไม่ผ่านเกณฑ์
Western Digital Storage Technologies (Thailand) Ltd.,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-05-27,ไม่ผ่านเกณฑ์
บริษัท แคนนอน ปราจีนบุรี ประเทศไทย จำกัด,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-09-10,ไม่ผ่านเกณฑ์
Western Digital Storage Technologies (Thailand) Ltd.,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,มาตรฐาน SAN,2024-10-09,หมดอายุ
บริษัท ฮอนด้า ออโตโมบิล (ประเทศไทย) จำกัด,โรงอาหาร,หัวหว้า,ศรีมหาโพธิ,ปราจีนบุรี,SAN PLUS,2025-01-07,รับรอง
ทานาโกะ อิซะคายะ,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-07-09,รับรอง
บริษัท เดอสเตอร์ จำกัด,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-12-16,ไม่ผ่านเกณฑ์
บริษัท โตชิบา เซมิคอนดัคเตอร์ (ประเทศไทย) จำกัด,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-07-21,รับรอง
ร้านป้าเกษร,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-08-28,รับรอง
ร้านผลไม้ลิน,อื่นๆ,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-08-28,รับรอง
ร้านเหลียงไคว่,ร้านเครื่องดื่ม,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-09-04,รับรอง
ร้านถ้วยเต็ง,ร้านจำหน่ายอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-08-28,รับรอง
ร้านรสนิยม,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN PLUS,2024-08-28,รับรอง
ร้านธนานันต์,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-08-28,รับรอง
ร้านส้มตำนพเก้า,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2024-12-12,รับรอง
ร้านกาแฟจัสมิน,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-05-14,ไม่ผ่านเกณฑ์
ร้านข้าวสวยถ้วยเต็ง,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN PLUS,2024-09-02,รับรอง
ร้านข้าวแกงครัวอนงค์,โรงอาหาร,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,SAN,2025-05-14,ไม่ผ่านเกณฑ์
