name,type,subdistrict,district,province,standard,approve_date,status
BLueBird Brasserie,ร้านจำหน่ายอาหาร,อาเนาะรู,เมืองปัตตานี,ปัตตานี,SAN,2025-07-30,รับรอง
ร้านเมาะซูซุปช่อมาลี,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN PLUS,2025-06-11,รับรอง
ร้านมาอัฟ,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN PLUS,2024-12-06,รับรอง
ร้านระฟ้า ฮาลาล ปัตตานี,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN PLUS,2025-06-16,รับรอง
กะเยาะห์ ก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN PLUS,2025-04-17,รับรอง
ภาเจริญ,ร้านจำหน่ายอาหาร,อาเนาะรู,เมืองปัตตานี,ปัตตานี,SAN,2024-03-06,ไม่ผ่านเกณฑ์
ครัวกูบาฮา1,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN,2024-10-02,รับรอง
PATTANIAN,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2024-10-18,ไม่ผ่านเกณฑ์
นำ้เเข็งใสเกียดา,ร้านจำหน่ายอาหาร,จะบังติกอ,เมืองปัตตานี,ปัตตานี,SAN,2023-05-10,ไม่ผ่านเกณฑ์
นภาสุกี้,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2024-12-20,ไม่ผ่านเกณฑ์
ขนมจีนคาเฟ่,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2025-02-28,รับรอง
 ก๋วยเตี๋ยวเรือ ป.ประทีป,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2025-02-28,รับรอง
เมืองคอน,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2023-05-12,ไม่ผ่านเกณฑ์
tist makan,ร้านจำหน่ายอาหาร,สะบารัง,เมืองปัตตานี,ปัตตานี,SAN,2025-05-06,รับรอง
