name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารสีกุก,ร้านจำหน่ายอาหาร,พระขาว,บางบาล,พระนครศรีอยุธยา,มาตรฐาน SAN,2023-07-11,หมดอายุ
ร้านบ้านไม้ริมน้ำ,ร้านจำหน่ายอาหาร,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มาตรฐาน SAN,2023-07-11,หมดอายุ
ร้านอาหารไทรทอง ,ร้านจำหน่ายอาหาร,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านอาหารเดอริว่า อโยธยา,ร้านจำหน่ายอาหาร,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN PLUS,2025-01-30,รับรอง
ร้านอาหารบ้านป้อมเพชร,ร้านจำหน่ายอาหาร,ประตูชัย,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN PLUS,2025-01-30,รับรอง
บริษัท โอลิค ประเทศไทย จำกัด,โรงอาหาร,บางกระสั้น,บางปะอิน,พระนครศรีอยุธยา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
บริษัท ฮานาเซมิคอนดักเตอร์ (อยุธยา) จำกัด,โรงอาหาร,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
บริษัท มินิแบ บ้านหว้า,โรงอาหาร,บ้านเลน,บางปะอิน,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
บริษัท แมกนิคอมพ์ พรีซิชั่น เทคโนโลยี จำกัด (มหาชน),โรงอาหาร,ลำไทร,วังน้อย,พระนครศรีอยุธยา,SAN,2023-09-16,ไม่ผ่านเกณฑ์
แม่แคล้ว,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
ร้านเบริด์,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
ก๋วยเตี๋ยวไก่ฉีกป้าภา,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
บ้านพิมพ์,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
ก๋วยเตี๋ยวหมูต้มยำเฮียชาติ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-05-19,รับรอง
แกงใต้ หน้าวัง สาขา 2,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-02,รับรอง
ตำหนักแก้ว,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2024-09-09,รับรอง
ขนมจีนต้นก้ามปู,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN PLUS,2025-06-04,รับรอง
Shinsen,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2024-09-09,รับรอง
เอ็กซ์บีพ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-21,รับรอง
ครัวแม่มุ่ย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-09-29,ไม่ผ่านเกณฑ์
โอมอาร์ม,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มาตรฐาน SAN,2023-09-29,หมดอายุ
ต้มเลือดหมู โคตรอร่อย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-09-29,ไม่ผ่านเกณฑ์
ครัวเมืองช้าง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-09-29,ไม่ผ่านเกณฑ์
เกรท สเต็ก,อื่นๆ,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-09-29,ไม่ผ่านเกณฑ์
ร้านป้านง ตามสั่ง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-09-29,ไม่ผ่านเกณฑ์
ครัวคุณต่าย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ร้านป้าติ๋ม ตามสั่ง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ก๋วยเตี๋ยวในคลอง อยุธยา,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
มื้อพิเศษ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ริพวิ่งรูม,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ขนมจีนบ้านประไพ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
สเตเดี้ยม อโยธยา,อื่นๆ,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ตุ๊กเย็นตาโฟ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ก๋วยเตี๋ยวเรือ นายอ๊อฟ,อื่นๆ,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
บุพเฟ่ต์ ชาบูอินฟินิตี้,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ครัวลุงตุ๊ก วัดพระญาติ,อื่นๆ,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-07-23,รับรอง
เอียงชาม จานด่วน,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ครัวแม่เจริญ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
เดอะเทอร์เรส,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
ร้านอยากรวย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2025-01-31,รับรอง
คำปัน,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
เดอะแรบบิทคาเฟ่,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ป้าแขก ตามสั่ง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
เอลิเซ่,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ฉวนล่าหม้อไฟ สาขาสนามกีฬา,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
หมูทอดชูใจ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2024-09-16,รับรอง
TENZEN,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยววัดใหญ๋,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
"ก๋วยเตี๋ยวเรือวัดใหญ่""วัดใหญ่ไก่ฉีก ดาบโรจน์""",ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวมหาดไทย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ข้าวมันไก่นายชัย,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวซินเฮง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ยักษ์ใหญ่ลูกชิ้น,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ชิมก่อนปรุง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ข้าวต้มปลาเก๋าใหญ่,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
โกตัน,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
เฮงเจริญ ติ่มซำ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวคุณนุ่น,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ครัวไก่แอนด์เรียม,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ขาหมูจุฬา,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ข้าวต้มหยก,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ครัว 8,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
นิตยา ผัดไทย หอยทอด,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
อ้อมข้าวต้มปลากระพง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ตามสั่ง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
กะเพราแดง อยุธยา,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
บอกต่อ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ส้มตำ ไก่ย่าง,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ร้านกวนอิมเจ,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
กาแฟเมืองกระบี่,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ไจแอ้นท์,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มาตรฐาน SAN,2023-10-08,หมดอายุ
เลิฟ สเต็ก,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
โอปอร์,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,มาตรฐาน SAN,2023-10-08,หมดอายุ
บ้านสเต็กยกกำลัง3,ร้านจำหน่ายอาหาร,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
เจ้น้อย,ร้านจำหน่ายอาหาร,คลองสวนพลู,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ข้าวแกง กรุงศรี,ร้านจำหน่ายอาหาร,คลองสวนพลู,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ติดลมหมูกะทะ,ร้านจำหน่ายอาหาร,คลองสวนพลู,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
ติดมันส์,ร้านจำหน่ายอาหาร,คลองสวนพลู,พระนครศรีอยุธยา,พระนครศรีอยุธยา,SAN,2023-10-08,ไม่ผ่านเกณฑ์
