name,type,subdistrict,district,province,standard,approve_date,status
ร้านครัวคุณต้นตาล,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN PLUS,2025-06-16,รับรอง
ร้านชิดลมชมกว๊าน,ร้านจำหน่ายอาหาร,เวียง,เมืองพะเยา,พะเยา,SAN PLUS,2025-07-23,รับรอง
ร้านสายเหนือ,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
เฮียอู๊ดข้าวต้มโต้รุ่ง,ร้านจำหน่ายอาหาร,เวียง,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
บ้านปักษา,ร้านจำหน่ายอาหาร,เวียง,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
อึ้งผัดไทย,ร้านจำหน่ายอาหาร,แม่ต๋ำ,เมืองพะเยา,พะเยา,SAN PLUS,2025-06-24,รับรอง
ประตู 3,ร้านจำหน่ายอาหาร,เวียง,เมืองพะเยา,พะเยา,SAN,2024-03-12,ไม่ผ่านเกณฑ์
เหมยหลิง,ร้านจำหน่ายอาหาร,หย่วน,เชียงคำ,พะเยา,SAN,2024-10-22,รับรอง
abxtract,ร้านเครื่องดื่ม,หย่วน,เชียงคำ,พะเยา,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านครัวแสงสุรีย์,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN,2025-07-09,ไม่ผ่านเกณฑ์
ร้านศิริภัท,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
ร้าน Turr Coffee Space Bar,ร้านเครื่องดื่ม,แม่กา,เมืองพะเยา,พะเยา,SAN,2025-07-09,ไม่ผ่านเกณฑ์
ร้าน Happy garden coffee,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN,2025-07-09,ไม่ผ่านเกณฑ์
ร้านซันโซล อาหารเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),แม่กา,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
ร้านส้มตำบางรัก ตำแหลก,ร้านจำหน่ายอาหาร,แม่กา,เมืองพะเยา,พะเยา,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านส้มตำไก่ย่างนายเพชร,ร้านจำหน่ายอาหาร,ท่าวังทอง,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
ส้มตำติดปาก,ร้านจำหน่ายอาหาร,ท่าวังทอง,เมืองพะเยา,พะเยา,SAN,2024-07-04,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวกลางซอย,ร้านจำหน่ายอาหาร,ห้วยข้าวก่ำ,จุน,พะเยา,SAN,2024-09-09,รับรอง
ร้านตำ ยำ เตี๋ยว,ร้านจำหน่ายอาหาร,ห้วยข้าวก่ำ,จุน,พะเยา,SAN,2024-09-09,รับรอง
