name,type,subdistrict,district,province,standard,approve_date,status
โรงแรมอวานี่พลัส เขาหลัก รีสอร์ท,ร้านจำหน่ายอาหาร,บางม่วง,ตะกั่วป่า,พังงา,SAN,2024-07-18,ไม่ผ่านเกณฑ์
ร้านอาหารปะการัง (Pakarang Restaurant),ภัตาคาร,เกาะยาวใหญ่,เกาะยาว,พังงา,มาตรฐาน SAN,2024-07-18,หมดอายุ
โจ๊กโกเบิร์ดเมืองพังงา,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-04-30,หมดอายุ
ก๊ะไหมฮาลาล,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-08-15,หมดอายุ
แต๋ว โภชนา,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2024-11-04,รับรอง
กิ่งเย็นตาโฟ,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-04-04,หมดอายุ
ร้าน จีบสด ติ่มซำ พังงา,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-03-17,หมดอายุ
ร้านข้าวต้มกำลังภายใน,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-08-20,หมดอายุ
ขาหมูแม่ศรี เจ้าเก่า ,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-03-17,หมดอายุ
ร้านดวง2,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-03-17,หมดอายุ
ชาลาลา ณ พังงา,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-08-15,หมดอายุ
ก๋งกี่ บะหมี่ตลาดขวาง,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2025-05-07,รับรอง
ร้านเป็ดย่างชิกกี่ พังงา,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,มาตรฐาน SAN,2025-08-15,หมดอายุ
ร้านข้าวแกงป้าเครือ,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2025-08-15,ไม่ผ่านเกณฑ์
ร้านอีสาน สตอรี่,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2025-03-17,ไม่ผ่านเกณฑ์
Kokulo Beach Club,ร้านจำหน่ายอาหาร,คึกคัก,ตะกั่วป่า,พังงา,SAN,2025-01-21,ไม่ผ่านเกณฑ์
โรงแรมเขาหลักบันดารี รีสอร์ท แอนด์ สปา,ภัตาคาร,คึกคัก,ตะกั่วป่า,พังงา,SAN,2025-01-21,ไม่ผ่านเกณฑ์
โรงแรม ซีวิว รีสอร์ท เขาหลัก,ร้านจำหน่ายอาหาร,คึกคัก,ตะกั่วป่า,พังงา,SAN,2024-09-05,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือจี้เดือน,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2024-09-05,รับรอง
ราชาติ่มซำ,ร้านจำหน่ายอาหาร,ท้ายช้าง,เมืองพังงา,พังงา,SAN,2025-08-15,ไม่ผ่านเกณฑ์
