name,type,subdistrict,district,province,standard,approve_date,status
บ้านนาMountain View,ร้านจำหน่ายอาหาร,บ้านนา,ศรีนครินทร์,พัทลุง,SAN,2025-05-22,รับรอง
ร้านแบบไทย,ร้านจำหน่ายอาหาร,ท่ามิหรำ,เมืองพัทลุง,พัทลุง,SAN,2023-01-19,ไม่ผ่านเกณฑ์
ร้านอาหารเคียงทะเล เทอเรส,ร้านจำหน่ายอาหาร,ลำปำ,เมืองพัทลุง,พัทลุง,SAN,2024-08-20,ไม่ผ่านเกณฑ์
ร้านดอลลาร์ สเต็ก,ร้านจำหน่ายอาหาร,แม่ขรี,ตะโหมด,พัทลุง,มาตรฐาน SAN,2024-08-20,หมดอายุ
นิยมคาเฟ่,ร้านจำหน่ายอาหาร,แม่ขรี,ตะโหมด,พัทลุง,SAN,2024-08-30,ไม่ผ่านเกณฑ์
ตลาดพงศ์ทรัพย์บางแก้ว,ร้านจำหน่ายอาหาร,ท่ามะเดื่อ,บางแก้ว,พัทลุง,SAN,2024-08-01,ไม่ผ่านเกณฑ์
Cafe Amazon สาขา ปตท. เขาอกทะลุ,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,มาตรฐาน SAN,2024-08-30,หมดอายุ
ร้านอาหารฉีเชี้ยว,ร้านจำหน่ายอาหาร,ท่ามิหรำ,เมืองพัทลุง,พัทลุง,SAN,2025-07-02,รับรอง
ข้าวมันไก่เจมส์,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-03,ไม่ผ่านเกณฑ์
Cafe Amazon สาขาโคลีเซียมพัทลุง,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-02,ไม่ผ่านเกณฑ์
ข้าวต้มสมปอง,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-02,ไม่ผ่านเกณฑ์
ครัวแม่,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-02,ไม่ผ่านเกณฑ์
KFC สาขาโคลีเซียมพัทลุง,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
ชาเรือนจำ,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
ชีสซ่าคาเฟ่,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
7-11 สาขาถนนไชยบุรี(6066),ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
ก๋วยเตี๋ยวไก่แม่นิด,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
7-11 สาขาประชาบาล (3611),ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
คาราบอย1,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
ต้นฉัตร,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
ซีซี สเต็ก,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
Lek Bakery & Coffee,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-27,รับรอง
หลานตาชู,ร้านจำหน่ายอาหาร,คูหาสวรรค์,เมืองพัทลุง,พัทลุง,SAN,2025-07-02,ไม่ผ่านเกณฑ์
