name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารครัววนิดา,ร้านจำหน่ายอาหาร,ปากทาง,เมืองพิจิตร,พิจิตร,SAN,2025-06-24,ไม่ผ่านเกณฑ์
สวนอาหารไร่ปลายน้ำ,ร้านจำหน่ายอาหาร,ปากทาง,เมืองพิจิตร,พิจิตร,SAN,2025-06-24,ไม่ผ่านเกณฑ์
สวนอาหารเพาะรัก,ร้านจำหน่ายอาหาร,ปากทาง,เมืองพิจิตร,พิจิตร,SAN,2025-06-24,ไม่ผ่านเกณฑ์
ปราโมชโภชนา,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ครัวปรีญ่า,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2024-09-04,รับรอง
เย็นตาโฟโกเซ็ง,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2024-10-15,รับรอง
ลุงพงษ์ข้าวมันไก่,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2024-10-15,รับรอง
เจ๊แต๋วสุกี้,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ข้าวแกงบุญปาก,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ครัวครูหน่อย,ร้านจำหน่ายอาหาร,สากเหล็ก,สากเหล็ก,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
(นางอังชัญ ธนะธรรมโกศล),ร้านจำหน่ายอาหาร,ท่าขมิ้น,โพทะเล,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
นายไสว เทียรหิรัญ,ร้านจำหน่ายอาหาร,ท่าขมิ้น,โพทะเล,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
นางสมควร เอี่ยมสะอาด,ร้านจำหน่ายอาหาร,ท่าขมิ้น,โพทะเล,พิจิตร,SAN,2025-07-30,ไม่ผ่านเกณฑ์
