name,type,subdistrict,district,province,standard,approve_date,status
ครัวครูแจ๊ว,ร้านจำหน่ายอาหาร,จอมทอง,เมืองพิษณุโลก,พิษณุโลก,SAN PLUS,2024-10-02,รับรอง
ครัวครูแจ๊ว สาขา 2,ร้านจำหน่ายอาหาร,จอมทอง,เมืองพิษณุโลก,พิษณุโลก,SAN PLUS,2024-10-02,รับรอง
บ้านไร่ไม้เมือง,ร้านเครื่องดื่ม,ท้อแท้,วัดโบสถ์,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
บ้านกาแฟ (BanCafe),ร้านจำหน่ายอาหาร,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,มาตรฐาน SAN,2024-03-01,หมดอายุ
เทพประทานพร,ร้านจำหน่ายอาหาร,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,SAN,2025-08-05,รับรอง
ปลายฟ้าหมูกะทะ,ร้านจำหน่ายอาหาร,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,มาตรฐาน SAN,2024-03-01,หมดอายุ
สวนกรองทอง (ครัวในสวน),ร้านจำหน่ายอาหาร,วัดโบสถ์,วัดโบสถ์,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวห้อยขาริมน่าน พิษณุโลก,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-07-21,รับรอง
ห้างหุ้นส่วนจำกัด ปีนัง สเต็ก,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ผักบุ้งเหิรฟ้า  Virot Restaurants,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-09-06,รับรอง
ร้านช่อมาลี,ร้านจำหน่ายอาหาร,ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ร้านฟ้าไทยฟาร์ม,ร้านจำหน่ายอาหาร,ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-05-02,ไม่ผ่านเกณฑ์
คาโซกุคอฟฟี่เฮาส์,ร้านเครื่องดื่ม,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ป้าแอ๋ว อาหารตามสั่ง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
บ้านขนมเปี๊ยะเพลินพิศ,อื่นๆ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวดู๋ดี๋,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
หนุ่มโภชนา,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
ข้าวมันไก่แม่เลี้ยง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
บางหว้า,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
เจ๊น้อยอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
เค้กเบเกอรี่โฮม,อื่นๆ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
ข้าวซอยแม่สาย พิษณุโลก,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
เงาะอาหารตามสั่ง,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
2 whell Coffee @Bekerry,ร้านเครื่องดื่ม,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
The one steak,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-30,รับรอง
เย็นตาโฟ,อื่นๆ,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2024-10-08,ไม่ผ่านเกณฑ์
เจ๊อร,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
Doi chang coffee,ร้านเครื่องดื่ม,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2023-07-07,ไม่ผ่านเกณฑ์
ข้าวต้มอนันต์,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ราดหน้าตาลเดี่ยว,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
sip Cafe,ร้านเครื่องดื่ม,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-29,รับรอง
Owny House,ร้านเครื่องดื่ม,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-29,รับรอง
บ้านสองแคว,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-29,รับรอง
สเวนเซ่นส์(ไทย)จำกัด,ภัตาคาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-29,รับรอง
Sitny café,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
โอชิน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ข้าวแกงบ้านไม้,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มาตรฐาน SAN,2025-01-31,หมดอายุ
คุณเปี๊ยก,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
ทอดมันปลากราย,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,SAN,2025-01-31,ไม่ผ่านเกณฑ์
เค้กไข่,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มาตรฐาน SAN,2025-01-31,หมดอายุ
คุณเจี๊ยบ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองพิษณุโลก,พิษณุโลก,มาตรฐาน SAN,2025-01-31,หมดอายุ
