name,type,subdistrict,district,province,standard,approve_date,status
ร้านกันเอง 1,ร้านจำหน่ายอาหาร,ราไวย์,เมืองภูเก็ต,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
โอ๊ะ โอ ฟาร์ม สวนหลวง,ร้านจำหน่ายอาหาร,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
rice beery,ร้านจำหน่ายอาหาร,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ไม้หมอนฟอเรส,ร้านจำหน่ายอาหาร,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,SAN,2025-06-17,รับรอง
วีคาเฟ่,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ศรีวรา บิสโทร แอนด์ บาร์ ,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ร้านzurich bread cafe,อื่นๆ,ไม้ขาว,ถลาง,ภูเก็ต,SAN,2025-04-25,ไม่ผ่านเกณฑ์
โรงเรียนเทศบาลพิบูลสวัสดี,โรงอาหาร,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,มาตรฐาน SAN,2023-06-01,หมดอายุ
โรงเรียนนานาชาติบริติช ภูเก็ต,โรงอาหาร,เกาะแก้ว,เมืองภูเก็ต,ภูเก็ต,SAN,2024-08-06,ไม่ผ่านเกณฑ์
ลิ้มรส2,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2024-09-02,ไม่ผ่านเกณฑ์
ลมเหนือ,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2024-09-02,ไม่ผ่านเกณฑ์
ตะเกียบทอง สาขา 2,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2024-09-02,ไม่ผ่านเกณฑ์
ชิล ริมเล,ร้านจำหน่ายอาหาร,วิชิต,เมืองภูเก็ต,ภูเก็ต,SAN,2024-09-02,ไม่ผ่านเกณฑ์
