name,type,subdistrict,district,province,standard,approve_date,status
สวนอาหารคานบุญ,ร้านจำหน่ายอาหาร,กู่ทอง,เชียงยืน,มหาสารคาม,มาตรฐาน SAN,2024-09-09,หมดอายุ
ร้านขนมจีนกู่ทอง,สวนอาหาร,กู่ทอง,เชียงยืน,มหาสารคาม,SAN,2024-10-24,รับรอง
ร้านกึงกะมู,ร้านจำหน่ายอาหาร,แกดำ,แกดำ,มหาสารคาม,SAN,2024-08-07,ไม่ผ่านเกณฑ์
ร้านโชคลาภ,ร้านจำหน่ายอาหาร,แกดำ,แกดำ,มหาสารคาม,มาตรฐาน SAN,2025-06-16,หมดอายุ
ร้านโรงพักพระนคร,ร้านจำหน่ายอาหาร,แกดำ,แกดำ,มหาสารคาม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
เล็กโภชนา,ร้านจำหน่ายอาหาร,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,SAN,2025-03-13,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหมูตุ๋น น้ำตก,ร้านจำหน่ายอาหาร,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,SAN,2025-03-13,ไม่ผ่านเกณฑ์
เรือนชมภู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ยางสีสุราช,ยางสีสุราช,มหาสารคาม,SAN,2025-03-11,ไม่ผ่านเกณฑ์
ครัวคุณตาล,ร้านจำหน่ายอาหาร,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,SAN,2024-09-16,ไม่ผ่านเกณฑ์
ร้านครัวหนองขาม,ร้านจำหน่ายอาหาร,นาภู,ยางสีสุราช,มหาสารคาม,SAN,2024-09-17,ไม่ผ่านเกณฑ์
ครัวไทบอง,ร้านจำหน่ายอาหาร,เชียงยืน,เชียงยืน,มหาสารคาม,SAN,2025-01-08,รับรอง
ร้านกาแฟบ้านควายแคระ,ร้านจำหน่ายอาหาร,เชียงยืน,เชียงยืน,มหาสารคาม,SAN,2025-06-25,ไม่ผ่านเกณฑ์
กำสาก,ร้านจำหน่ายอาหาร,แกดำ,แกดำ,มหาสารคาม,SAN,2024-08-07,ไม่ผ่านเกณฑ์
แหล่โภชนา,ร้านจำหน่ายอาหาร,แกดำ,แกดำ,มหาสารคาม,SAN,2025-01-09,รับรอง
ปายนาปลาเผา,ร้านจำหน่ายอาหาร,นาภู,ยางสีสุราช,มหาสารคาม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
รินดา การ์เด้นท์,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2025-07-02,รับรอง
อเมซอน (ห้างหุ้นส่วนร่วมใจนาราคาเฟ่),ร้านเครื่องดื่ม,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2025-05-19,ไม่ผ่านเกณฑ์
ร้านเคเอฟซี สาขาเสริมไทยพลาซ่า,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2025-05-16,ไม่ผ่านเกณฑ์
ตำกระเทย มหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ลำน้ำเสียว,ร้านจำหน่ายอาหาร,หนองแสง,วาปีปทุม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
จันทร์ฉาย,ร้านจำหน่ายอาหาร,หนองไฮ,วาปีปทุม,มหาสารคาม,SAN,2024-09-03,รับรอง
ร้านอาหารบ้านวาปี,ร้านจำหน่ายอาหาร,หนองแสง,วาปีปทุม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
บ้านสวนคลองสุข,ร้านจำหน่ายอาหาร,โคกสีทองหลาง,วาปีปทุม,มหาสารคาม,SAN,2025-08-03,รับรอง
ชมจันทร์ลานนา,ร้านจำหน่ายอาหาร,หนองไฮ,วาปีปทุม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
สวนผัก cafe,ร้านจำหน่ายอาหาร,งัวบา,วาปีปทุม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
263สเต็กบาร์,ร้านจำหน่ายอาหาร,หนองแสง,วาปีปทุม,มหาสารคาม,SAN,2025-06-16,ไม่ผ่านเกณฑ์
เอ็นจอยบ้านทุ่ง,ร้านจำหน่ายอาหาร,นาดูน,นาดูน,มหาสารคาม,SAN,2024-09-27,ไม่ผ่านเกณฑ์
คุ้มปิยะศิลป์ คาเฟ่ในสวน,ร้านจำหน่ายอาหาร,บรบือ,บรบือ,มหาสารคาม,SAN,2025-01-22,รับรอง
สวนอาหารบ้านร้อยศิลป์,ร้านจำหน่ายอาหาร,บรบือ,บรบือ,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
Tingja Cafe&Bar,ร้านจำหน่ายอาหาร,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,SAN,2024-03-13,ไม่ผ่านเกณฑ์
อันจังหมูย่าง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หัวขวาง,โกสุมพิสัย,มหาสารคาม,SAN,2024-07-08,ไม่ผ่านเกณฑ์
ร้านจานโปรด,ร้านจำหน่ายอาหาร,หัวขวาง,โกสุมพิสัย,มหาสารคาม,มาตรฐาน SAN,2024-07-08,หมดอายุ
วาฬชมพู,ร้านจำหน่ายอาหาร,กู่ทอง,เชียงยืน,มหาสารคาม,มาตรฐาน SAN,2024-05-09,หมดอายุ
มังกี้คาเฟ่ คาเฟ่,ร้านเครื่องดื่ม,หัวขวาง,โกสุมพิสัย,มหาสารคาม,มาตรฐาน SAN,2024-06-24,หมดอายุ
Annyeong Cafe,ร้านเครื่องดื่ม,หัวขวาง,โกสุมพิสัย,มหาสารคาม,มาตรฐาน SAN,2024-06-24,หมดอายุ
A-38โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-39โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-40โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-41โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-43โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-44โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-45โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-46โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-47โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-48โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-49โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-50โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-51โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-52โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A53โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-54โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,เขวา,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-55โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
A-56โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
E-7โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
E-5โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-10-08,รับรอง
E-5โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
E-6โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
E-8โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2025-03-13,รับรอง
F-1โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
F-2โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
F-3โต้รุ่งมหาสารคาม,ร้านจำหน่ายอาหาร,ตลาด,เมืองมหาสารคาม,มหาสารคาม,SAN,2024-05-09,ไม่ผ่านเกณฑ์
