name,type,subdistrict,district,province,standard,approve_date,status
ร้านศิริชัยหมูหัน,ร้านจำหน่ายอาหาร,ป่งขาม,หว้านใหญ่,มุกดาหาร,มาตรฐาน SAN,2023-06-13,หมดอายุ
หาดหินริมโขง,ร้านจำหน่ายอาหาร,ดอนตาล,ดอนตาล,มุกดาหาร,SAN,2023-12-26,ไม่ผ่านเกณฑ์
แสงดาวหมูจุ่ม ดงหลวง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ดงหลวง,ดงหลวง,มุกดาหาร,มาตรฐาน SAN,2023-06-12,หมดอายุ
สะเต็กโคขุนหนองสูง,ร้านจำหน่ายอาหาร,หนองสูงเหนือ,หนองสูง,มุกดาหาร,มาตรฐาน SAN,2023-06-12,หมดอายุ
ร้านแซ่บริมโขง,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-05-22,ไม่ผ่านเกณฑ์
ครัวสองพี่น้อง,สวนอาหาร,นิคมคำสร้อย,นิคมคำสร้อย,มุกดาหาร,SAN,2023-06-12,ไม่ผ่านเกณฑ์
ร้านอาหารบ่าวประดิษฐ์,ร้านจำหน่ายอาหาร,ศรีบุญเรือง,เมืองมุกดาหาร,มุกดาหาร,SAN,2024-02-22,ไม่ผ่านเกณฑ์
สวนอาหารพวงเพชร,สวนอาหาร,ศรีบุญเรือง,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-07,รับรอง
ร้านข้าวเปียกโครงไก่ยายจิตร,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-05-22,ไม่ผ่านเกณฑ์
บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),โรงอาหาร,คำป่าหลาย,เมืองมุกดาหาร,มุกดาหาร,มาตรฐาน SAN,2024-11-22,หมดอายุ
ร้านเติมชากัน,ร้านเครื่องดื่ม,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-08,ไม่ผ่านเกณฑ์
ร้านเติมชากัน,ร้านเครื่องดื่ม,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นายธวีชัย มุดาธนพงศ์,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางสาวสวาด อุ่นใจ,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางไกร ศรีโยหะ,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางสาวจิริณี ศรีโยหะ,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นายณัชพล บุตทศ,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางกมลวรรณ บุญเรืองนาม,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางกลม ไชยายงค์,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางจิตตนันท์ เทพศรีหา,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางสาวณฐวรรณ กุ้งหล้า,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางสาวดวงฤทัย ปัญญาวงศ์,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางดาวเรือง ภูมิลา,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางสาวทิพวรรณ เนินทอง,อื่นๆ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นายธีระพงษ์ แก้วศรีนวม,ร้านเครื่องดื่ม,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นายธีระวัฒน์ บุตรทศ,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN,2025-07-10,ไม่ผ่านเกณฑ์
นางนิตยา วาปี,ร้านจำหน่ายอาหาร,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,SAN PLUS,2025-02-18,รับรอง
