name,type,subdistrict,district,province,standard,approve_date,status
makishi,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2024-10-24,รับรอง
ร้านอาหารไลลา,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2023-05-31,ไม่ผ่านเกณฑ์
ตะกงแกง,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,มาตรฐาน SAN,2023-04-18,หมดอายุ
ร้านลีน่าฟู้ดส์2,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),สะเตง,เมืองยะลา,ยะลา,SAN,2024-01-22,ไม่ผ่านเกณฑ์
ร้านธาราซีฟู้ด,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2024-10-24,รับรอง
ครัวกะนี,ร้านจำหน่ายอาหาร,บาลอ,รามัน,ยะลา,SAN,2023-06-21,ไม่ผ่านเกณฑ์
ร้านบังนัส,ร้านจำหน่ายอาหาร,ตลิ่งชัน,บันนังสตา,ยะลา,SAN,2024-09-06,รับรอง
ครัวนานี,ร้านจำหน่ายอาหาร,บาเจาะ,บันนังสตา,ยะลา,SAN,2023-06-02,ไม่ผ่านเกณฑ์
ร้านต่วนย๊ะ,ร้านจำหน่ายอาหาร,ตลิ่งชัน,บันนังสตา,ยะลา,SAN,2025-04-08,รับรอง
ร้านสาว,ร้านจำหน่ายอาหาร,ตลิ่งชัน,บันนังสตา,ยะลา,SAN,2023-06-02,ไม่ผ่านเกณฑ์
นายสายัณห์ ขาวหนูนา,ร้านจำหน่ายอาหาร,ถ้ำทะลุ,บันนังสตา,ยะลา,SAN,2023-06-02,ไม่ผ่านเกณฑ์
ร้านอาหารนันต์โภชนา,ภัตาคาร,เบตง,เบตง,ยะลา,SAN,2024-01-17,ไม่ผ่านเกณฑ์
ร้านอาหารใบหยก,ภัตาคาร,เบตง,เบตง,ยะลา,SAN,2024-01-17,ไม่ผ่านเกณฑ์
ร้านอาหารครัวต่วน,ภัตาคาร,เบตง,เบตง,ยะลา,SAN,2025-07-01,รับรอง
ร้านก๋วยเตี๋ยวกะยะห์,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2024-10-22,รับรอง
ร้านกะดะห์ก๋วยเตียว,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2025-05-01,รับรอง
ร้านก๋วยเตียวคอลา,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2025-05-01,รับรอง
ร้าน ซูชิมั๊ย (สาขาเมืองยะลา),ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-05-23,รับรอง
ร้าน หาดใหญ่ซาซีมิ สาขายะลา,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-01-31,รับรอง
ร้านกะนา,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2025-01-31,รับรอง
ครัวมาลา&ซุกรอน,ร้านจำหน่ายอาหาร,,บันนังสตา,ยะลา,SAN,2023-06-14,ไม่ผ่านเกณฑ์
ข้าวแกงอินดี้,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2025-01-31,รับรอง
ดีเนสต้า,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,มาตรฐาน SAN,2023-06-14,หมดอายุ
ซันตัยบูดายอ,สวนอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2024-10-22,รับรอง
กะนี777,ร้านจำหน่ายอาหาร,สะเอะ,กรงปินัง,ยะลา,SAN,2025-05-04,รับรอง
กะนีร้านชำ,ร้านจำหน่ายอาหาร,สะเอะ,กรงปินัง,ยะลา,SAN,2023-06-21,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวกะยะห์,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2023-06-21,ไม่ผ่านเกณฑ์
หน่ำเทียน ข้าวมันไก่,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-04-29,ไม่ผ่านเกณฑ์
Make  Cafe  Yala,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-07-04,รับรอง
I Like Cheese,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-05-04,รับรอง
ซอฟวานร้านชำ,ร้านจำหน่ายอาหาร,สะเอะ,กรงปินัง,ยะลา,SAN,2023-06-22,ไม่ผ่านเกณฑ์
ร้านโป๊ะแตกต้มยำ (กะเมาะห์),ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2025-07-02,รับรอง
ร้านแบลีซุป ต้นมะขาม,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ีร้านแบมะโภชนา,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,มาตรฐาน SAN,2023-07-10,หมดอายุ
Fauzi อาหารตามสั่ง,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านกะตีโภชนาการ,ร้านจำหน่ายอาหาร,กรงปินัง,กรงปินัง,ยะลา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรืออยุธยา,อื่นๆ,กรงปินัง,กรงปินัง,ยะลา,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านดามาคาเฟ่,ร้านจำหน่ายอาหาร,กาบัง,กาบัง,ยะลา,SAN,2025-05-21,รับรอง
ร้านพี่นก,ร้านจำหน่ายอาหาร,บาละ,กาบัง,ยะลา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
โกตาซุปเครื่องใน,ร้านจำหน่ายอาหาร,โกตาบารู,รามัน,ยะลา,SAN,2023-07-12,ไม่ผ่านเกณฑ์
ร้านจ๊ะโอ๋,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ร้านกะนี,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ร้านกะแวแย,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวกะเสาะ,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ร้านเดียนา,ร้านจำหน่ายอาหาร,กายูบอเกาะ,รามัน,ยะลา,SAN,2023-07-13,ไม่ผ่านเกณฑ์
ร้านป้าเอียด,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2025-07-24,รับรอง
ฮาซาน๊ะ โกตา,ร้านจำหน่ายอาหาร,โกตาบารู,รามัน,ยะลา,SAN,2023-07-18,ไม่ผ่านเกณฑ์
ร้านครัวรู้กัน,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2024-09-06,รับรอง
ร้านกะเมาะยีปุน,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-18,ไม่ผ่านเกณฑ์
ร้านครัวบ้านสวนลุงแหน่,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-18,ไม่ผ่านเกณฑ์
ร้านมากูเซาะ,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,มาตรฐาน SAN,2023-07-18,หมดอายุ
ร้านครัวพี่เมาะ,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
ร้านกะมาฟูเซาะห์,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
Ajuma,ร้านเครื่องดื่ม,บันนังสตา,บันนังสตา,ยะลา,SAN,2025-03-26,ไม่ผ่านเกณฑ์
ร้านกะสะปินะ,ร้านจำหน่ายอาหาร,บันนังสตา,บันนังสตา,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
ร้านกะนีหัวสะพาน,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
ร้านครัวบนเนิน,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
ร้านหน้าอบต,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN,2023-07-21,ไม่ผ่านเกณฑ์
ร้านปาดำ,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN PLUS,2024-07-05,หมดอายุ
ดีคาเฟ่,ร้านเครื่องดื่ม,เบตง,เบตง,ยะลา,SAN,2025-05-13,รับรอง
ร้าน Supreme Bar Restaurant,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้านอาหารเจียเหยียน,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-04-11,ไม่ผ่านเกณฑ์
ซุปเปอร์นายหัว,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-04-11,ไม่ผ่านเกณฑ์
ร้านน้ำแข็งใสบ้านต้นไม้,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-04-11,ไม่ผ่านเกณฑ์
Burger Overload,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN PLUS,2025-07-14,รับรอง
นางสาวต่วนรอบียะห์ กาโฮง,อื่นๆ,เบตง,เบตง,ยะลา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
นางสาวนอรียา อับดุลฮาเล็ง,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,มาตรฐาน SAN,2023-07-26,หมดอายุ
ปราณี ชินวรพิทักษ์,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
นางสาวเบญจมาพร เบ็ญเจ๊ะมะ,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2023-07-26,ไม่ผ่านเกณฑ์
ร้านมายคันทรี,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-04-11,ไม่ผ่านเกณฑ์
เซเว่น สาขาหอนาฬิกา,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-04-11,ไม่ผ่านเกณฑ์
ร้านเฮงกี่,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2023-11-09,ไม่ผ่านเกณฑ์
ร้ายก๋วยเตี๋ยวฆอแย,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN,2023-07-27,ไม่ผ่านเกณฑ์
ร้านจิละห์ก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านก๋วยเตียว แอนด์ ตามสั่ง,อื่นๆ,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-15,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวกะนา,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านกะดะห์,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-10,ไม่ผ่านเกณฑ์
ร้านสวนไผ่คอฟฟี่,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-12,ไม่ผ่านเกณฑ์
ร้านแบมะ โรงไฟฟ้า,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านกำปงบือแน,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านกะเยาะ,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,มาตรฐาน SAN,2023-08-14,หมดอายุ
ร้านกะดะห์ จือนือแร,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านบิสมิลลาห์,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านก๋วยเตียวเรืออยุธยา,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านฟีรดาวกันเอง,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,มาตรฐาน SAN,2023-08-14,หมดอายุ
ร้านดารณี,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
เจ๊น้อย,ร้านจำหน่ายอาหาร,ธารโต,ธารโต,ยะลา,มาตรฐาน SAN,2023-08-04,หมดอายุ
ข้าวแกงระโนด,ร้านจำหน่ายอาหาร,สะเตง,เมืองยะลา,ยะลา,SAN,2025-03-18,ไม่ผ่านเกณฑ์
ร้านอาหารน้ำเงิน,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2024-12-03,รับรอง
ร้านกะนี,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ร้านกะบี,ร้านจำหน่ายอาหาร,บุดี,เมืองยะลา,ยะลา,SAN,2025-07-23,รับรอง
ต้าเหยิน(กิตติ),ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2024-05-08,ไม่ผ่านเกณฑ์
ครัวสมุย,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-01-09,รับรอง
หวายร้อยลี้,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2025-06-23,รับรอง
สุวรรณรส คาเฟ่,ร้านเครื่องดื่ม,เบตง,เบตง,ยะลา,SAN,2025-06-30,รับรอง
ฮานตาน่า,ร้านจำหน่ายอาหาร,เบตง,เบตง,ยะลา,SAN,2023-12-04,ไม่ผ่านเกณฑ์
ครัวขุนทอง&คาเฟ่,ร้านจำหน่ายอาหาร,แม่หวาด,ธารโต,ยะลา,SAN,2024-01-15,ไม่ผ่านเกณฑ์
มูนเลค รีสอร์ท,ร้านจำหน่ายอาหาร,ธารโต,ธารโต,ยะลา,SAN,2025-07-01,รับรอง
