name,type,subdistrict,district,province,standard,approve_date,status
ร้านลาวเดอร์ คาเฟ่ แอลคูลซีล,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-10-24,รับรอง
ร้านรักบ้านเกิด,สวนอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-10-24,รับรอง
ร้านบ้านคุณย่า (สาขาริมทวน),ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-10-24,รับรอง
ก๋วยเตี๋ยวเย็นตาโฟ ก๋วยเตี๋ยวหมูต้มยำ,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,มาตรฐาน SAN,2023-09-19,หมดอายุ
วอนนภาเฮ้าส์,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2023-09-19,ไม่ผ่านเกณฑ์
อาหารตามสั่ง,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2023-09-19,ไม่ผ่านเกณฑ์
ร้านยายคำ,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2025-07-22,รับรอง
แอบแซบบุฟเฟ่หมูกะทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),สามแยก,เลิงนกทา,ยโสธร,SAN,2024-12-03,รับรอง
ส้มตำยำแซบ,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2023-09-19,ไม่ผ่านเกณฑ์
ลุงอ้วนคาเฟ่,ร้านเครื่องดื่ม,สามแยก,เลิงนกทา,ยโสธร,SAN,2025-07-30,รับรอง
ลาบเป็ดบ้านผู้ใหญ่,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2023-09-14,ไม่ผ่านเกณฑ์
สเต็กโชกุนสาขาเลิงนกทา,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2025-07-30,รับรอง
ครัวทัศนีย์,ร้านจำหน่ายอาหาร,สามแยก,เลิงนกทา,ยโสธร,SAN,2023-09-19,ไม่ผ่านเกณฑ์
ล้านกาแฟข้างอำเภอ,ร้านเครื่องดื่ม,กุดชุม,กุดชุม,ยโสธร,SAN,2024-09-27,รับรอง
เลิฟลี่เค้ก,ร้านจำหน่ายอาหาร,สำราญ,เมืองยโสธร,ยโสธร,SAN,2024-06-14,ไม่ผ่านเกณฑ์
บ่อตกปลา ยางนาฟิชชิ่งปาร์ค,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-07-07,รับรอง
คาวบอยเฟ่,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-07-23,รับรอง
อู่ข้าวอู่น้ำ,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2024-03-20,ไม่ผ่านเกณฑ์
Ta Hug Yia Home Cafe,ร้านเครื่องดื่ม,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
ตาดทองหมูกระทะ,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
ออยเนื้อย่างเกาหลี,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
บ้านสวนวังไผ่,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวรังสิต,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือนครปฐม,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2025-07-03,รับรอง
เล็กเก้เฮาส์คาเฟ่,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
DINO KIDS CAFE,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
อาหารตามสั่งแม่ไข,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-03,ไม่ผ่านเกณฑ์
โทริคาเฟ่,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-10-08,รับรอง
กอข้าว,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2025-07-03,รับรอง
ครัวมัดใจ,ร้านจำหน่ายอาหาร,ตาดทอง,เมืองยโสธร,ยโสธร,SAN,2024-05-15,ไม่ผ่านเกณฑ์
มิสอารีย์ เดอะการ์เด้น,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
เชอปุน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2025-02-27,รับรอง
บ้านคุณย่า,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
classy space,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,มาตรฐาน SAN,2024-06-19,หมดอายุ
Vachi yasothon (หน้าศาล),ร้านเครื่องดื่ม,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2024-06-19,ไม่ผ่านเกณฑ์
มิสอารีย์ เดอะการ์เด้น,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,มาตรฐาน SAN,2024-10-10,หมดอายุ
บ้านคุณย่า,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,มาตรฐาน SAN,2024-10-10,หมดอายุ
เชอปุน,ร้านจำหน่ายอาหาร,ในเมือง,เมืองยโสธร,ยโสธร,SAN,2025-07-14,รับรอง
อู่ข้าวอู่น้ำ,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
-,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านเฉาก๊วยนายพล,อื่นๆ,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
ซุ้มเนื้อย่าง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),กุดชุม,กุดชุม,ยโสธร,SAN PLUS,2024-06-13,หมดอายุ
ครัวครูเก,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านส้มตำ ไก่ย่าง ฮ่มต้อง,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวแม่ดม,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-08-04,รับรอง
ขนมจีนน้ำซาว,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ก๋วยเตี๋ยวไก่มะระ By ช่อมาลี,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2024-08-28,รับรอง
นะโมอาหารตามสั่ง,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2024-08-27,รับรอง
ก๋วยเตี๋ยวเรือข่างทง,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2024-08-27,รับรอง
นัทประตูโขง,ร้านเครื่องดื่ม,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
ร้านเจ๊นี ลาบยโส,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-07-22,รับรอง
ร้านราดหน้านายเคี้ยงเอ็มไพร์,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านเจ้เล็กรสเด็ด,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านส้มตำแม่กาย,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านน้ำคุณยาย,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-07-22,รับรอง
ร้านนิดลาบแซ่บ,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
ร้านโคตรแซ่บ,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-04-18,ไม่ผ่านเกณฑ์
ร้านนุ่มขาหมู,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,SAN,2025-07-31,รับรอง
ร้าน Nine's Coffee,ร้านจำหน่ายอาหาร,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
ร้านครูเพ็ญ คอฟฟี่ เฮาส์,ร้านเครื่องดื่ม,กุดชุม,กุดชุม,ยโสธร,มาตรฐาน SAN,2025-04-18,หมดอายุ
