name,type,subdistrict,district,province,standard,approve_date,status
KFC ระยอง,ร้านจำหน่ายอาหาร,วังหว้า,แกลง,ระยอง,มาตรฐาน SAN,2025-04-02,หมดอายุ
เม้าท์เท่น คอฟฟี่ แอท ซู,ร้านจำหน่ายอาหาร,มะขามคู่,นิคมพัฒนา,ระยอง,มาตรฐาน SAN,2024-09-12,หมดอายุ
ร้านชาวไร่,สวนอาหาร,ชุมแสง,วังจันทร์,ระยอง,SAN,2024-10-17,ไม่ผ่านเกณฑ์
ร้าน นั่งเล่น,ร้านจำหน่ายอาหาร,,บ้านฉาง,ระยอง,SAN,2023-08-21,ไม่ผ่านเกณฑ์
ร้านเจ๊หนู,ร้านจำหน่ายอาหาร,พนานิคม,นิคมพัฒนา,ระยอง,SAN PLUS,2025-08-15,รับรอง
ร้านข้าวมันไก่-ข้าวหมูแดง,ศูนย์อาหาร,ท่าประดู่,เมืองระยอง,ระยอง,มาตรฐาน SAN,2024-08-06,หมดอายุ
ร้านข้าวแกงบ้านค่าย,ศูนย์อาหาร,ท่าประดู่,เมืองระยอง,ระยอง,SAN,2023-03-27,ไม่ผ่านเกณฑ์
-,อื่นๆ,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
-,อื่นๆ,ทุ่งควายกิน,แกลง,ระยอง,SAN,2024-09-11,รับรอง
ร้านข้าวแกงปักใต้,ร้านจำหน่ายอาหาร,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
ร้านหมูปิ้ง,ร้านจำหน่ายอาหาร,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
-,ร้านจำหน่ายอาหาร,,แกลง,ระยอง,SAN,2023-03-23,ไม่ผ่านเกณฑ์
ร้านกระเพาะปลา,ร้านจำหน่ายอาหาร,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
-,ร้านจำหน่ายอาหาร,ทุ่งควายกิน,แกลง,ระยอง,SAN,2024-09-11,รับรอง
ครัวแมะคุณสมัย,ร้านจำหน่ายอาหาร,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
-,อื่นๆ,ทุ่งควายกิน,แกลง,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
มีใจ ชาไข่มุก,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2023-03-23,ไม่ผ่านเกณฑ์
ร้านปันปัณ,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2025-06-10,รับรอง
ร้าน ต.โต้ง,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2025-07-29,ไม่ผ่านเกณฑ์
เซ เบียง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บ้านค่าย,บ้านค่าย,ระยอง,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ครัวนราภา,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2025-06-16,ไม่ผ่านเกณฑ์
ร้านชิลล์ ชายทุ่ง,สวนอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2025-04-02,ไม่ผ่านเกณฑ์
ร้านครูนนท์,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,มาตรฐาน SAN,2025-06-16,หมดอายุ
ร้านเจ้นิดส้มตำ,ร้านจำหน่ายอาหาร,บ้านค่าย,บ้านค่าย,ระยอง,SAN,2023-03-27,ไม่ผ่านเกณฑ์
