name,type,subdistrict,district,province,standard,approve_date,status
ลิมคาเฟ่ Lim Cafe’ Photharam,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-10-24,รับรอง
YASASHI-Yakiniku Shabu &Sushi,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-10-24,รับรอง
ศูนย์อาหารfood house,โรงอาหาร,หน้าเมือง,เมืองราชบุรี,ราชบุรี,SAN,2024-07-05,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือรสเด็ด บอยโพธาราม,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
เดอปังคาเฟ่แอนด์บิสโทร,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-10-24,รับรอง
ร้านตายาย,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2025-07-04,รับรอง
ป้าฉายตามสั่ง,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
กาแฟพี่ไก่,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
เจ๊ติ๋มก๋วยเตี๋ยวโบราณ,ร้านจำหน่ายอาหาร,โพธาราม,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
โกเหลียงเจ้าเก่า,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
ร้านเจ้นู,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
ร้านเจ้ทองดำ,อื่นๆ,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2025-05-01,รับรอง
ศิลาพาทาน,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2025-06-04,รับรอง
ร้านก๋วยเตี๋ยวเป็ดเยาวราช,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2025-07-16,รับรอง
ร้านก๋วยเตี๋ยวเจ้แมว,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2025-06-04,รับรอง
ยัยตัวเล็ก,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN,2024-12-09,ไม่ผ่านเกณฑ์
สิงห์เหนือเสือใต้,ร้านจำหน่ายอาหาร,บ้านสิงห์,โพธาราม,ราชบุรี,SAN PLUS,2024-11-26,รับรอง
