name,type,subdistrict,district,province,standard,approve_date,status
ร้านนายฉุ่ย ก๋วยเตี๋ยวหมูวินเทจ,ร้านจำหน่ายอาหาร,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,SAN,2024-10-24,รับรอง
ก๋วยเตี๋ยวไก่คุณนาย,ร้านจำหน่ายอาหาร,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรือนายเท,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2025-05-21,รับรอง
ก๋วยเตี๋ยวนายป๊อก,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2024-09-18,ไม่ผ่านเกณฑ์
ตำโสตาย,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2023-03-08,ไม่ผ่านเกณฑ์
ครัวเจ้อ้น,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2025-06-04,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวตายาย,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2023-05-01,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวหมูตาเอก,ร้านจำหน่ายอาหาร,เมยวดี,เมยวดี,ร้อยเอ็ด,SAN,2025-05-04,รับรอง
DIVA HOUSE Cafe & Restaurant,ร้านจำหน่ายอาหาร,ปาฝา,จังหาร,ร้อยเอ็ด,SAN,2025-08-25,รับรอง
บ้านคุณแม่ อาหารตามสั่ง,ร้านจำหน่ายอาหาร,หนองฮี,หนองฮี,ร้อยเอ็ด,SAN,2025-06-25,ไม่ผ่านเกณฑ์
108 บุฟเฟ่ต์ หมูกระทะ&ทะเลเผา,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หนองฮี,หนองฮี,ร้อยเอ็ด,SAN,2025-05-13,รับรอง
ฺฺBcoffee & Scafe,ร้านเครื่องดื่ม,รอบเมือง,หนองพอก,ร้อยเอ็ด,SAN,2024-09-18,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเส้นปลาเยาวราช,ร้านจำหน่ายอาหาร,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,SAN,2025-04-17,ไม่ผ่านเกณฑ์
บ้านสวนเนื้อย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),สระคู,สุวรรณภูมิ,ร้อยเอ็ด,SAN,2025-04-17,ไม่ผ่านเกณฑ์
เตี๋ยวเป็ดสามพี่น้อง,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2024-08-07,ไม่ผ่านเกณฑ์
แพปลายน้ำ,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2025-04-08,ไม่ผ่านเกณฑ์
นาย ส.,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2023-08-19,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวท่าเรือหัวสะพาน,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2024-08-07,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวกุดชุม,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2023-08-19,ไม่ผ่านเกณฑ์
 MU Café,ร้านเครื่องดื่ม,แวง,โพนทอง,ร้อยเอ็ด,SAN,2023-08-19,ไม่ผ่านเกณฑ์
ร้านตำละยำ,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2024-11-20,รับรอง
ก๋วยเตี๋ยวเรืออยุธยา,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2025-04-08,ไม่ผ่านเกณฑ์
ข้าวต้มสมหวัง,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2023-08-20,ไม่ผ่านเกณฑ์
เฮียชัย,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2024-11-20,รับรอง
เพลินลำโขงเนื้อย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2023-08-28,ไม่ผ่านเกณฑ์
ไก่โต้ง,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2025-04-08,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวไก่มะระบุฟเฟ่,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2025-07-30,รับรอง
แม่น้อยอาหารตามสั่ง,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2023-08-22,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวร่มไทร,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,มาตรฐาน SAN,2025-04-10,หมดอายุ
ออร์ก้า ชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),สระคู,สุวรรณภูมิ,ร้อยเอ็ด,SAN,2025-02-17,ไม่ผ่านเกณฑ์
ล้านเจริญอาหาร,ร้านจำหน่ายอาหาร,แวง,โพนทอง,ร้อยเอ็ด,SAN,2025-04-08,ไม่ผ่านเกณฑ์
ร้านไก่ย่างวิเชียร,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2024-08-31,ไม่ผ่านเกณฑ์
ทุ่งหลวง,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2025-03-21,รับรอง
จิตรปราณี สเต๊กเฮ้าส์,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-06-12,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือยกซาม,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-06-12,ไม่ผ่านเกณฑ์
ข้าวแกง ปตท.,ร้านจำหน่ายอาหาร,บึงเกลือ,เสลภูมิ,ร้อยเอ็ด,SAN,2025-07-30,ไม่ผ่านเกณฑ์
คุณนิดลาบเป็ด,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-04-03,รับรอง
ฮ๊อฟ ชาเฟ่,ร้านจำหน่ายอาหาร,กลาง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-08-06,ไม่ผ่านเกณฑ์
ร้านตำแซ่บ,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-08-20,ไม่ผ่านเกณฑ์
่ก๋วยเตี๋ยวเรือนายบอย,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-08-20,ไม่ผ่านเกณฑ์
นายปุ๋ง ข้าวขาหมู,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเนื้อตุ๋น,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2024-09-09,รับรอง
เสรีทะเลเดือด,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ชิค คอฟฟี่,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2024-09-09,รับรอง
ใบตองรองข้าว,ร้านจำหน่ายอาหาร,กลาง,เสลภูมิ,ร้อยเอ็ด,SAN,2024-09-23,ไม่ผ่านเกณฑ์
ม่าหมวย,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-08-06,ไม่ผ่านเกณฑ์
ไก่ย่างลุงหนวด,ร้านจำหน่ายอาหาร,ทุ่งเขาหลวง,ทุ่งเขาหลวง,ร้อยเอ็ด,SAN,2024-08-30,ไม่ผ่านเกณฑ์
อเมซอน สาขา ปตท.ศิลานคร,ร้านจำหน่ายอาหาร,กลาง,เสลภูมิ,ร้อยเอ็ด,SAN,2023-09-19,ไม่ผ่านเกณฑ์
เคเอฟซี สาขา ปตท.เสลภูมิ,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-04-17,รับรอง
แบล็ค แคนยอน,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2025-06-30,ไม่ผ่านเกณฑ์
เขียงเนื้อแจ่วฮ้อน,ร้านจำหน่ายอาหาร,สระนกแก้ว,โพนทอง,ร้อยเอ็ด,SAN,2025-04-08,ไม่ผ่านเกณฑ์
อเมซอน สาขาหน้า รพ.เสลภูมิ,ร้านจำหน่ายอาหาร,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,SAN,2024-08-05,ไม่ผ่านเกณฑ์
