name,type,subdistrict,district,province,standard,approve_date,status
สวนอาหารบัวหลวง,สวนอาหาร,ท่าศาลา,เมืองลพบุรี,ลพบุรี,SAN,2024-10-24,รับรอง
สถานีนมสดลพบุรี ,ร้านจำหน่ายอาหาร,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,SAN,2024-10-24,รับรอง
 ร้านภูคา,ร้านจำหน่ายอาหาร,ป่าตาล,เมืองลพบุรี,ลพบุรี,SAN,2024-10-24,รับรอง
On the grill steak & bistro,ร้านจำหน่ายอาหาร,ท่าศาลา,เมืองลพบุรี,ลพบุรี,SAN,2024-10-24,รับรอง
ร้านริน,ร้านจำหน่ายอาหาร,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,SAN,2024-10-24,รับรอง
ร้านอาหารตามสั่งเจ๊อร,ร้านจำหน่ายอาหาร,ไผ่ใหญ่,บ้านหมี่,ลพบุรี,SAN,2025-06-06,รับรอง
ร้านก๋วยเตี๋ยวคุณป้าเขี่ยม,ร้านจำหน่ายอาหาร,ไผ่ใหญ่,บ้านหมี่,ลพบุรี,SAN,2023-09-28,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวคุณนิยม,ร้านจำหน่ายอาหาร,ไผ่ใหญ่,บ้านหมี่,ลพบุรี,มาตรฐาน SAN,2023-08-04,หมดอายุ
ร้านก๋วยเตี๋ยวคุณสำรี,ร้านจำหน่ายอาหาร,ไผ่ใหญ่,บ้านหมี่,ลพบุรี,มาตรฐาน SAN,2023-08-04,หมดอายุ
ครัวคุณตุ๊ก,ร้านจำหน่ายอาหาร,ดอนดึง,บ้านหมี่,ลพบุรี,SAN,2025-02-19,ไม่ผ่านเกณฑ์
อาหารป่าดอนดึง,ร้านจำหน่ายอาหาร,ดอนดึง,บ้านหมี่,ลพบุรี,มาตรฐาน SAN,2023-09-25,หมดอายุ
ร้านก๋วยเตี๊ยวนำชัย,ร้านจำหน่ายอาหาร,เขาพระงาม,เมืองลพบุรี,ลพบุรี,SAN,2025-02-24,ไม่ผ่านเกณฑ์
ครัวชาวซอย,ร้านจำหน่ายอาหาร,ดีลัง,พัฒนานิคม,ลพบุรี,มาตรฐาน SAN,2025-02-10,หมดอายุ
ร้านป๊อป เรสเตอรองต์,ร้านจำหน่ายอาหาร,ลำนารายณ์,ชัยบาดาล,ลพบุรี,SAN,2025-05-08,ไม่ผ่านเกณฑ์
