name,type,subdistrict,district,province,standard,approve_date,status
ครัวรันเวย์,ร้านจำหน่ายอาหาร,หัวเวียง,เมืองลำปาง,ลำปาง,SAN,2024-10-24,รับรอง
ร้านอาหารเสบียง,ร้านจำหน่ายอาหาร,ศาลา,เกาะคา,ลำปาง,SAN,2024-10-24,รับรอง
ร้านก๋วยเตี๋ยวต้นทาง,ร้านจำหน่ายอาหาร,วังเงิน,แม่ทะ,ลำปาง,SAN,2024-10-24,รับรอง
ร้านอาหารเรือนเงิน,ร้านจำหน่ายอาหาร,หลวงเหนือ,งาว,ลำปาง,SAN,2024-10-24,รับรอง
ครัวสวนดุสิต,ร้านจำหน่ายอาหาร,สบตุ๋ย,เมืองลำปาง,ลำปาง,SAN,2024-10-24,รับรอง
ครัวทองสุข,ร้านจำหน่ายอาหาร,นาแก,งาว,ลำปาง,SAN,2025-06-16,รับรอง
ร้าน All Rice ออลไรซ์,ร้านจำหน่ายอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2025-07-08,ไม่ผ่านเกณฑ์
ร้านเฮือนสายน้ำผึ้ง,ร้านจำหน่ายอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2025-07-08,ไม่ผ่านเกณฑ์
ห้างหุ้นส่วนจำกัด วินน์ โซลูชั่น,อื่นๆ,พิชัย,เมืองลำปาง,ลำปาง,มาตรฐาน SAN,2024-04-30,หมดอายุ
ครัวบ้านไอซ์,ร้านจำหน่ายอาหาร,แม่พริก,แม่พริก,ลำปาง,SAN,2023-08-29,ไม่ผ่านเกณฑ์
นุชอาหารตามสั่ง,อื่นๆ,แม่พริก,แม่พริก,ลำปาง,มาตรฐาน SAN,2024-04-30,หมดอายุ
นนท์เลิศรส,ร้านจำหน่ายอาหาร,แม่ปุ,แม่พริก,ลำปาง,SAN,2023-08-29,ไม่ผ่านเกณฑ์
ฟาติมาโฮมสเตย์&คาเฟ่,ร้านจำหน่ายอาหาร,พระบาทวังตวง,แม่พริก,ลำปาง,SAN,2023-08-29,ไม่ผ่านเกณฑ์
ครัวลุงหวัง,ร้านจำหน่ายอาหาร,พระบาทวังตวง,แม่พริก,ลำปาง,SAN,2023-08-29,ไม่ผ่านเกณฑ์
ร้านป้าแลบ,ร้านจำหน่ายอาหาร,แม่พริก,แม่พริก,ลำปาง,SAN,2025-05-02,รับรอง
ลัดดาวัลย์อาหารตามสั่ง,ร้านจำหน่ายอาหาร,แม่พริก,แม่พริก,ลำปาง,SAN,2023-08-29,ไม่ผ่านเกณฑ์
เจ๊นุชผัดไทยไฟลุก,ร้านจำหน่ายอาหาร,แม่เมาะ,แม่เมาะ,ลำปาง,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้ายก๋วยเตี๋ยว อาหารตามสั่ง,ร้านจำหน่ายอาหาร,แม่เมาะ,แม่เมาะ,ลำปาง,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านเจ๊รินทร์,ร้านจำหน่ายอาหาร,แม่เมาะ,แม่เมาะ,ลำปาง,SAN,2025-03-20,รับรอง
เก๊าขาม,ร้านจำหน่ายอาหาร,ทุ่งงาม,เสริมงาม,ลำปาง,SAN,2025-03-21,รับรอง
ก๋วยเตี๋ยว เจ๊หมอน,ร้านจำหน่ายอาหาร,ล้อมแรด,เถิน,ลำปาง,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ฮอมครัวเมือง,ร้านจำหน่ายอาหาร,ล้อมแรด,เถิน,ลำปาง,SAN,2025-07-08,ไม่ผ่านเกณฑ์
ร้านติ๋ง111,ร้านจำหน่ายอาหาร,ล้อมแรด,เถิน,ลำปาง,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ร้านอาหารรสดัง,ร้านจำหน่ายอาหาร,ล้อมแรด,เถิน,ลำปาง,SAN,2024-04-30,ไม่ผ่านเกณฑ์
สถานพินิจและคุ้มครองเด็กและเยาวชนจังหวัดลำปาง,โรงอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2023-11-28,ไม่ผ่านเกณฑ์
โรงพยาบาลลำปาง,โรงอาหาร,หัวเวียง,เมืองลำปาง,ลำปาง,SAN,2024-01-11,ไม่ผ่านเกณฑ์
โรงเลี้ยง ร 17 พัน 2,โรงอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2024-02-07,ไม่ผ่านเกณฑ์
ร้าน 188 Cousin Cafe,ร้านจำหน่ายอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2024-02-29,ไม่ผ่านเกณฑ์
K9 cafe & food,ร้านจำหน่ายอาหาร,หนองหล่ม,ห้างฉัตร,ลำปาง,SAN,2024-02-29,ไม่ผ่านเกณฑ์
นาหญ้าฟาร์ม,ร้านจำหน่ายอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2025-01-21,รับรอง
ข้าวซอยโอมา,ร้านจำหน่ายอาหาร,พระบาท,เมืองลำปาง,ลำปาง,SAN,2025-07-30,รับรอง
ฮักหนาแจ้ห่ม,ร้านจำหน่ายอาหาร,วิเชตนคร,แจ้ห่ม,ลำปาง,SAN,2024-03-04,ไม่ผ่านเกณฑ์
ไร่ห่มฟ้า,ร้านจำหน่ายอาหาร,แจ้ห่ม,แจ้ห่ม,ลำปาง,SAN,2024-03-04,ไม่ผ่านเกณฑ์
ร้านอาหารครัวบ้านอุดม,ร้านจำหน่ายอาหาร,ลำปางหลวง,เกาะคา,ลำปาง,SAN,2024-03-04,ไม่ผ่านเกณฑ์
ครัวกะลา,ร้านจำหน่ายอาหาร,ห้างฉัตร,ห้างฉัตร,ลำปาง,SAN,2024-10-15,รับรอง
แพไฮคลาส,สวนอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-10-08,รับรอง
ข้าวมันไก่เงินล้าน ,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-03-08,ไม่ผ่านเกณฑ์
โรงประกอบเลี้ยงกองร้อยพลเสนารักษ์ โรงพยาบาลค่ายสุรศักดิ์มนตรี,โรงอาหาร,พิชัย,เมืองลำปาง,ลำปาง,SAN,2025-07-31,รับรอง
ร้านอาหารบ้านคำออน,ร้านจำหน่ายอาหาร,เวียงเหนือ,เมืองลำปาง,ลำปาง,SAN,2025-07-24,รับรอง
ร้านลาบมัลดีฟส์,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
บมจ.อาหารสากล,ร้านจำหน่ายอาหาร,ปงแสนทอง,เมืองลำปาง,ลำปาง,SAN,2024-11-12,ไม่ผ่านเกณฑ์
ดูโอโม่,ร้านจำหน่ายอาหาร,พระบาท,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
อะคูสติคส์บาร์คาเฟ่แอนด์บิสโทร,ร้านจำหน่ายอาหาร,พระบาท,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวป้าเนียร,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
ครัวสันกำแพง,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
ร้านขายก๋วยเตี๋ยวบ้านฟ่อน2,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
รสนิยม,ร้านจำหน่ายอาหาร,ชมพู,เมืองลำปาง,ลำปาง,SAN,2024-05-07,ไม่ผ่านเกณฑ์
