name,type,subdistrict,district,province,standard,approve_date,status
พรไก่ปิ้ง,ร้านจำหน่ายอาหาร,หนองช้างคืน,เมืองลำพูน,ลำพูน,SAN PLUS,2025-06-25,รับรอง
ลุงหวังป้าวัน,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN PLUS,2025-06-25,รับรอง
ก๋วยเตี๋ยวป้าจอย,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2024-10-24,ไม่ผ่านเกณฑ์
ป้าออน ปิ้งย่าง,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2025-06-30,รับรอง
เต็มอิ่มตามสั่ง,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2025-07-30,รับรอง
ฟองจันทร์,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ก๋วยเตี๋ยวขนมจีน,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวแดนเมือง,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-10-24,หมดอายุ
ราดหน้าสันกับตอง,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2024-04-30,ไม่ผ่านเกณฑ์
ป้าก๋องคำ,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2024-04-30,ไม่ผ่านเกณฑ์
สวนอาหารฟิวกู้ด,สวนอาหาร,ทาสบเส้า,แม่ทา,ลำพูน,มาตรฐาน SAN,2024-11-12,หมดอายุ
ร้านนายธงNooddle,ร้านจำหน่ายอาหาร,ในเมือง,เมืองลำพูน,ลำพูน,SAN,2025-04-21,ไม่ผ่านเกณฑ์
ไอออน การ์เด้นท์,ร้านเครื่องดื่ม,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
Smart cafe,ร้านเครื่องดื่ม,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ร้านกองกอย มาร์ท,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,SAN,2024-04-30,ไม่ผ่านเกณฑ์
อิ่มอร่อยข้าวราดแกง ป่าเส้า,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
มาลัยข้าวนึ่ง,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ร้านกระเพราถาด,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ยุ้ยไก่ทอด,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-05-03,หมดอายุ
อาหารปรุงสุก (ป่าเห็ว),ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ไก่ท้อดสมุนไพร,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ร้านข้าวขาหมู - ข้าวมันไก่,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ส้มตำลอร่า,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
ร้านข้าวแกงครัวพิดโลก,ร้านจำหน่ายอาหาร,อุโมงค์,เมืองลำพูน,ลำพูน,มาตรฐาน SAN,2024-04-30,หมดอายุ
