name,type,subdistrict,district,province,standard,approve_date,status
Nature,ร้านจำหน่ายอาหาร,เสียว,เบญจลักษ์,ศรีสะเกษ,SAN,2025-05-22,ไม่ผ่านเกณฑ์
ร้านเนื้อย่างเพชรลำภู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ศรีแก้ว,ศรีรัตนะ,ศรีสะเกษ,SAN,2023-10-06,ไม่ผ่านเกณฑ์
แสงถาวร,ร้านจำหน่ายอาหาร,ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,SAN,2025-04-25,รับรอง
ร้านน้องแฝด,ร้านจำหน่ายอาหาร,ไพรบึง,ไพรบึง,ศรีสะเกษ,SAN,2025-07-21,ไม่ผ่านเกณฑ์
ครัวพิกุลแก้ว,ร้านจำหน่ายอาหาร,หนองหญ้าลาด,กันทรลักษ์,ศรีสะเกษ,SAN,2023-06-26,ไม่ผ่านเกณฑ์
ป้่าติ้ม,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-03,ไม่ผ่านเกณฑ์
ร้านบาร์โค่,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
เพชรลำภู3,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หญ้าปล้อง,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านโอชิเน ศรีสะเกษ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หญ้าปล้อง,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-05-13,รับรอง
บ้านกลางซอย,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ร้านบุ๋มแจ่วฮ้อน,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-08,ไม่ผ่านเกณฑ์
ป.ปัณฑรีย์ปลาจุ่ม,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านอิ่มแปล้คาเฟ่,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-11,ไม่ผ่านเกณฑ์
ร้านครัวสองพี่น้อง,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-22,ไม่ผ่านเกณฑ์
ร้านโกดัง 24,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-22,ไม่ผ่านเกณฑ์
Craft&Cold,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านข้าวต้มปู่จ๋าโภชนา,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านปุยำสายแซ่บ,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-22,ไม่ผ่านเกณฑ์
ร้านโครตตำ 20,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านป้าเขียว,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-05-13,รับรอง
ร้านแจ่วฮ้อนน้องพร,ร้านจำหน่ายอาหาร,โพนข่า,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
MANEKI Premium Japanese(มาเนกิพรีเมียม เจแปนนิส),ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-12-04,รับรอง
ครัวสบายสบาย,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-07-02,รับรอง
แจ่วฮ้อนยินดี 2,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-22,ไม่ผ่านเกณฑ์
ร้านโคดาวาริ,ร้านจำหน่ายอาหาร,หนองครก,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-07-02,รับรอง
ร้านออมเอยอาหารตามสั่ง,ร้านจำหน่ายอาหาร,โพนข่า,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวต้มยำไข่ยางมะตูม,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านไก่เกาสาขา 2,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านโอเอซีส,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-07-31,รับรอง
ร้านครัวไทยลาว,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านดัคกี้,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,มาตรฐาน SAN,2025-01-28,หมดอายุ
ร้านเจียวกี่,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
Yes sisaket,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านครัวเมืองศรี,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านอภิรมย์,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ร้านก๋วยจั๊บสายร็อค,ร้านจำหน่ายอาหาร,หนองครก,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ร้านก.กุ้งก๋วยเตี๋ยวเรือ,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ร้านAT 20.20,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-02-03,รับรอง
ร้านชูชื่นอาหารตามสั่ง (สามแยกหน้ามอ),ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
สถานีโคขุน,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ร้านส้มตำปากเจ่อยำแหนม,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านจุ๋มส้มตำ,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-10,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวตั้งหลัก,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
รัานวัฒนาหมูกระทะ สาขา3 โคขุนคูณทะเล,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านเคนจิโร่ ,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านอาหารยำยั่วเย,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ซุ่นเฮงศูนย์อาหาร,ศูนย์อาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ครัวพรภิรมย์,ร้านจำหน่ายอาหาร,โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านโพดแท้ลุงจิ๋ว,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
Pig in pot หมูในหม้อ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),หนองครก,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2025-01-28,ไม่ผ่านเกณฑ์
ร้านส้มตำตายาย,ร้านจำหน่ายอาหาร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-11,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวฮ่องเต้ติ่มซำ,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2023-07-12,ไม่ผ่านเกณฑ์
จรวดอาหารเช้า,ร้านจำหน่ายอาหาร,เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,SAN,2024-10-22,ไม่ผ่านเกณฑ์
