name,type,subdistrict,district,province,standard,approve_date,status
ครัวสร้างหลวง,ร้านจำหน่ายอาหาร,วาริชภูมิ,วาริชภูมิ,สกลนคร,SAN,2023-01-27,ไม่ผ่านเกณฑ์
Show on - since 1998,ร้านจำหน่ายอาหาร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,SAN PLUS,2024-03-20,หมดอายุ
ส้มตำ วีไอพี บ้านสวนภู,ร้านจำหน่ายอาหาร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,SAN,2024-10-18,รับรอง
กรีนคอนเนอร์,ร้านจำหน่ายอาหาร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,SAN,2025-08-01,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวโกวินทร์,ร้านจำหน่ายอาหาร,วาริชภูมิ,วาริชภูมิ,สกลนคร,SAN,2024-10-24,รับรอง
ร้านส้มตำอิสราเอล,ร้านจำหน่ายอาหาร,ม่วง,บ้านม่วง,สกลนคร,SAN,2024-09-13,รับรอง
ร้านเม็ดทรายคาเฟ่แอนด์อีทเทอรี่,ร้านจำหน่ายอาหาร,ตองโขบ,โคกศรีสุพรรณ,สกลนคร,มาตรฐาน SAN,2024-02-06,หมดอายุ
ครัวรุ่งเรือง,ร้านจำหน่ายอาหาร,พรรณา,พรรณานิคม,สกลนคร,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านลิตเติลพอทชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ธาตุนาเวง,เมืองสกลนคร,สกลนคร,มาตรฐาน SAN,2025-06-10,หมดอายุ
บ้านฟ้าโปร่ง,ร้านจำหน่ายอาหาร,ธาตุเชิงชุม,เมืองสกลนคร,สกลนคร,มาตรฐาน SAN,2024-06-16,หมดอายุ
ร้านตำแอทคำตากล้า,ร้านจำหน่ายอาหาร,คำตากล้า,คำตากล้า,สกลนคร,SAN,2024-06-13,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวพรทิพย์,ร้านจำหน่ายอาหาร,วาริชภูมิ,วาริชภูมิ,สกลนคร,มาตรฐาน SAN,2025-06-06,หมดอายุ
ร้านก๋วยเตี๋ยวปู่หน่อย,ร้านจำหน่ายอาหาร,ค้อเขียว,วาริชภูมิ,สกลนคร,มาตรฐาน SAN,2023-10-19,หมดอายุ
บาร์จุ่ม,ร้านจำหน่ายอาหาร,คำบ่อ,วาริชภูมิ,สกลนคร,SAN,2025-03-05,รับรอง
โค้งต้องแวะ,ร้านจำหน่ายอาหาร,ค้อเขียว,วาริชภูมิ,สกลนคร,มาตรฐาน SAN,2023-10-19,หมดอายุ
