name,type,subdistrict,district,province,standard,approve_date,status
ร้านกาแฟพันธุ์​ไทย,ร้านเครื่องดื่ม,หาดใหญ่,หาดใหญ่,สงขลา,SAN PLUS,2024-06-21,หมดอายุ
Tasspun Bake Shop,ร้านจำหน่ายอาหาร,หาดใหญ่,หาดใหญ่,สงขลา,SAN PLUS,2024-08-15,หมดอายุ
สะหวา,ร้านจำหน่ายอาหาร,ควนลัง,หาดใหญ่,สงขลา,SAN,2023-11-06,ไม่ผ่านเกณฑ์
Aim Cuisine@Songkhla​,ร้านจำหน่ายอาหาร,พะวง,เมืองสงขลา,สงขลา,SAN,2023-11-06,ไม่ผ่านเกณฑ์
ร้านอาหารไทยเจ๊เล็ก,ร้านจำหน่ายอาหาร,หาดใหญ่,หาดใหญ่,สงขลา,SAN,2024-10-21,ไม่ผ่านเกณฑ์
ร้านอาหารศิรดา เกาะยอ,ร้านจำหน่ายอาหาร,เกาะยอ,เมืองสงขลา,สงขลา,SAN,2025-05-27,ไม่ผ่านเกณฑ์
ปันสุขคัพ คาเฟ่,ร้านจำหน่ายอาหาร,นาทวี,นาทวี,สงขลา,SAN PLUS,2024-03-20,หมดอายุ
ร้านจิราไก่ทอด,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN,2025-07-16,ไม่ผ่านเกณฑ์
ร้านอาหารนกเขา,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN,2025-02-19,ไม่ผ่านเกณฑ์
ร้านป่ายาง,ร้านจำหน่ายอาหาร,หาดใหญ่,หาดใหญ่,สงขลา,SAN,2024-10-18,ไม่ผ่านเกณฑ์
ตลาดกรีนเวย์ ,ศูนย์อาหาร,หาดใหญ่,หาดใหญ่,สงขลา,SAN,2024-10-21,ไม่ผ่านเกณฑ์
อิสลามรอฝ๊ะ,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN,2025-03-11,ไม่ผ่านเกณฑ์
บาคท์ คาเฟ่ แอนด์ เฮ้าส์ ออฟ เครป หาดใหญ่,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN,2025-03-11,ไม่ผ่านเกณฑ์
เนื้อล้น,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN,2025-03-11,ไม่ผ่านเกณฑ์
โอปป้า ไก่กรอบซอสเกาหลี สาขาถ.ทุ่งรี ม.อ.หาดใหญ่,ร้านจำหน่ายอาหาร,คอหงส์,หาดใหญ่,สงขลา,SAN PLUS,2024-11-06,รับรอง
