name,type,subdistrict,district,province,standard,approve_date,status
ศูนย์อาหารในโลตัส,โรงอาหาร,ย่านซื่อ,ควนโดน,สตูล,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ร้านอาหารลานข้าว,ร้านจำหน่ายอาหาร,ละงู,ละงู,สตูล,SAN,2024-09-06,รับรอง
ร้านสตารินทร์เคเทอริ่ง,ร้านจำหน่ายอาหาร,พิมาน,เมืองสตูล,สตูล,SAN,2024-09-06,รับรอง
บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด,ศูนย์อาหาร,คลองขุด,เมืองสตูล,สตูล,SAN,2024-08-22,ไม่ผ่านเกณฑ์
ขนมจีนสวนลุงลี,ร้านจำหน่ายอาหาร,คลองขุด,เมืองสตูล,สตูล,มาตรฐาน SAN,2025-07-07,หมดอายุ
อิควาน,ร้านจำหน่ายอาหาร,พิมาน,เมืองสตูล,สตูล,SAN,2024-08-22,ไม่ผ่านเกณฑ์
น้องเบียร์,ร้านจำหน่ายอาหาร,พิมาน,เมืองสตูล,สตูล,SAN,2024-10-15,รับรอง
โมคาเฟ่ ติ่มซำ ฮาลาล,ร้านจำหน่ายอาหาร,พิมาน,เมืองสตูล,สตูล,SAN,2023-08-29,ไม่ผ่านเกณฑ์
เลิศชัย คาเฟ่,ร้านเครื่องดื่ม,คลองขุด,เมืองสตูล,สตูล,SAN,2023-05-10,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวต้มยำเย็นตาโฟ,ร้านจำหน่ายอาหาร,คลองขุด,เมืองสตูล,สตูล,SAN,2023-05-15,ไม่ผ่านเกณฑ์
ครัวชัยสิทธิ์,ร้านจำหน่ายอาหาร,ทุ่งนุ้ย,ควนกาหลง,สตูล,SAN,2023-05-22,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวบังโสบ สาขา 2,ร้านจำหน่ายอาหาร,ทุ่งนุ้ย,ควนกาหลง,สตูล,SAN,2023-05-22,ไม่ผ่านเกณฑ์
ฟาฮานเย็นตาโฟ,ร้านจำหน่ายอาหาร,ท่าแพ,ท่าแพ,สตูล,SAN,2025-02-26,ไม่ผ่านเกณฑ์
ครัวริมนา,ร้านจำหน่ายอาหาร,ท่าเรือ,ท่าแพ,สตูล,SAN,2025-07-29,ไม่ผ่านเกณฑ์
ก๊ะฉ๊ะ,ร้านจำหน่ายอาหาร,ท่าเรือ,ท่าแพ,สตูล,SAN,2025-07-29,ไม่ผ่านเกณฑ์
วารีย๊ะ,ร้านจำหน่ายอาหาร,ท่าเรือ,ท่าแพ,สตูล,SAN,2024-10-24,รับรอง
