name,type,subdistrict,district,province,standard,approve_date,status
ครัวป้าหมวย,ร้านจำหน่ายอาหาร,คลองสวน,บางบ่อ,สมุทรปราการ,SAN,2024-06-19,ไม่ผ่านเกณฑ์
โรงอาหารบริษัท สยามทบพัน แพคเกจจิ้ง จำกัด,โรงอาหาร,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,SAN,2024-09-16,ไม่ผ่านเกณฑ์
ร้านสโมสรท้ายเรือหลวงแม่กลอง ป้อมพระจุลฯ,ร้านจำหน่ายอาหาร,แหลมฟ้าผ่า,พระสมุทรเจดีย์,สมุทรปราการ,SAN,2025-02-19,รับรอง
สวนอาหารบ้านกลางกรุงไก่ย่าง,สวนอาหาร,บางแก้ว,บางพลี,สมุทรปราการ,SAN PLUS,2025-06-20,รับรอง
ร้านครัวใบบัว,ร้านจำหน่ายอาหาร,บางพึ่ง,พระประแดง,สมุทรปราการ,SAN,2024-06-25,ไม่ผ่านเกณฑ์
ร้านอาหารวิมานทุ่ง,ร้านจำหน่ายอาหาร,บางเสาธง,บางเสาธง,สมุทรปราการ,SAN,2025-07-29,ไม่ผ่านเกณฑ์
โรงอาหาร บริษัท เอ็นเอชเค สปริง (ประเทศไทย) จำกัด,โรงอาหาร,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,SAN,2024-09-16,ไม่ผ่านเกณฑ์
วิมานทุ่ง,ร้านจำหน่ายอาหาร,บางเสาธง,บางเสาธง,สมุทรปราการ,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ครัวใบบัว,อื่นๆ,บางพึ่ง,พระประแดง,สมุทรปราการ,SAN,2024-06-25,ไม่ผ่านเกณฑ์
ร้านคุณณยาย,ร้านจำหน่ายอาหาร,คลองสวน,บางบ่อ,สมุทรปราการ,SAN,2025-02-14,ไม่ผ่านเกณฑ์
นิตยาไก่ย่าง,ร้านจำหน่ายอาหาร,บางแก้ว,บางพลี,สมุทรปราการ,มาตรฐาน SAN,2024-06-28,หมดอายุ
