name,type,subdistrict,district,province,standard,approve_date,status
ร้านมูอิชิ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2025-03-05,ไม่ผ่านเกณฑ์
ร้านไสวอาหารทะเล,ภัตาคาร,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2024-09-19,ไม่ผ่านเกณฑ์
ครัวผู้ใหญ่จอยอาหารทะเล,สวนอาหาร,คลองโคน,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2024-09-23,รับรอง
ร้านคุณจ๋า,ร้านจำหน่ายอาหาร,ยี่สาร,อัมพวา,สมุทรสงคราม,SAN PLUS,2025-02-06,รับรอง
แปดสามคอฟฟ์,ร้านเครื่องดื่ม,อัมพวา,อัมพวา,สมุทรสงคราม,SAN,2025-06-23,รับรอง
ร้านอาหารตามสั่ง,ร้านจำหน่ายอาหาร,บ้านปราโมทย์,บางคนที,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
ร้านคุณย่า,ร้านจำหน่ายอาหาร,บ้านปราโมทย์,บางคนที,สมุทรสงคราม,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ร้านปราโมทย์ ข้าวมันไก่,ร้านจำหน่ายอาหาร,บ้านปราโมทย์,บางคนที,สมุทรสงคราม,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ครัวอิ๊ด-อ๊อด,ร้านจำหน่ายอาหาร,บางสะแก,บางคนที,สมุทรสงคราม,SAN,2025-01-13,ไม่ผ่านเกณฑ์
ร้านตุ้มขนมปังบางแค,ร้านจำหน่ายอาหาร,บางแค,อัมพวา,สมุทรสงคราม,มาตรฐาน SAN,2024-08-09,หมดอายุ
ร้านค้าสวัสดิการ รพ.นภาลัย,ร้านจำหน่ายอาหาร,กระดังงา,บางคนที,สมุทรสงคราม,มาตรฐาน SAN,2025-03-10,หมดอายุ
N ZONE,ร้านจำหน่ายอาหาร,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-01-13,ไม่ผ่านเกณฑ์
เรือนวิไลมาศ,ร้านจำหน่ายอาหาร,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-01-30,รับรอง
คุกกี้พาขวัญ,ร้านเครื่องดื่ม,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-01-28,รับรอง
รีสอร์ทดำเนินพวา,ร้านจำหน่ายอาหาร,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-01-28,รับรอง
ส้มตำบ้านปู,ร้านจำหน่ายอาหาร,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-01-28,รับรอง
ครัวแพกุ้งแม่น้ำ,ร้านจำหน่ายอาหาร,บางช้าง,อัมพวา,สมุทรสงคราม,SAN,2025-05-02,รับรอง
ก๋วยเตี๋ยวหมูย่างกะทิสด,ร้านจำหน่ายอาหาร,บางช้าง,อัมพวา,สมุทรสงคราม,SAN,2025-05-02,รับรอง
ต้นตำยำ,ร้านจำหน่ายอาหาร,บางช้าง,อัมพวา,สมุทรสงคราม,SAN,2025-05-02,รับรอง
ข้าวหมูแดงบางช้าง,ร้านจำหน่ายอาหาร,บางช้าง,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
อิสานตำยำ,ร้านจำหน่ายอาหาร,บางช้าง,อัมพวา,สมุทรสงคราม,SAN,2025-01-22,รับรอง
หายใจทิ้ง เดอะคราฟท์ คาเฟ่,ร้านจำหน่ายอาหาร,ท่าคา,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
เสน่ห์ท่าคา คาเฟ่,ร้านจำหน่ายอาหาร,ท่าคา,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
เจ๊ปุ๊,ร้านจำหน่ายอาหาร,บางกระบือ,บางคนที,สมุทรสงคราม,SAN,2025-05-04,รับรอง
ร้านตาลพวา,ร้านจำหน่ายอาหาร,ท่าคา,อัมพวา,สมุทรสงคราม,SAN,2025-05-04,รับรอง
ร้านคุณกลมลักษณ์ เกตุแก้ว,ร้านจำหน่ายอาหาร,เหมืองใหม่,อัมพวา,สมุทรสงคราม,SAN,2025-05-04,รับรอง
ครัวครูต๋อย หลงสวน,ร้านจำหน่ายอาหาร,เหมืองใหม่,อัมพวา,สมุทรสงคราม,SAN,2025-05-04,รับรอง
เตี๋ยวในสวน,ร้านจำหน่ายอาหาร,บางกระบือ,บางคนที,สมุทรสงคราม,มาตรฐาน SAN,2025-03-10,หมดอายุ
วนิลลาคาเฟ่,ร้านจำหน่ายอาหาร,ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2024-08-28,รับรอง
ร้านลุงขัน ดอนหอยหลอด,ร้านจำหน่ายอาหาร,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2025-08-04,รับรอง
คุ้นลิ้นปากอ่าว,ร้านจำหน่ายอาหาร,บางจะเกร็ง,เมืองสมุทรสงคราม,สมุทรสงคราม,SAN,2025-02-06,ไม่ผ่านเกณฑ์
โรงพยาบาลนภาลัย,อื่นๆ,กระดังงา,บางคนที,สมุทรสงคราม,SAN,2025-05-04,รับรอง
นางสาวผาด ท้วมศิริ,ร้านจำหน่ายอาหาร,บางนางลี่,อัมพวา,สมุทรสงคราม,SAN,2025-05-04,รับรอง
นางจันทร์ทิพย์ เทพโกษา,ร้านจำหน่ายอาหาร,บางนางลี่,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
นางวาสนา ขันธาฤทธิ์,ร้านจำหน่ายอาหาร,บางนางลี่,อัมพวา,สมุทรสงคราม,SAN,2025-05-04,รับรอง
ร้านลุงช้าง,ร้านจำหน่ายอาหาร,ยี่สาร,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
ครัวบ้านนอก,ร้านจำหน่ายอาหาร,ยี่สาร,อัมพวา,สมุทรสงคราม,SAN,2025-06-20,รับรอง
ครัวแม่ช่วย,ร้านจำหน่ายอาหาร,ยี่สาร,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
ครัวอมรรัตนบดี,ร้านจำหน่ายอาหาร,ยี่สาร,อัมพวา,สมุทรสงคราม,SAN,2025-03-10,ไม่ผ่านเกณฑ์
เจ๊ศรี เนื้อลวก,ร้านจำหน่ายอาหาร,วัดประดู่,อัมพวา,สมุทรสงคราม,มาตรฐาน SAN,2023-06-22,หมดอายุ
