name,type,subdistrict,district,province,standard,approve_date,status
เรือนชายน้ำ,ร้านจำหน่ายอาหาร,บ้านบ่อ,เมืองสมุทรสาคร,สมุทรสาคร,SAN PLUS,2025-07-07,รับรอง
ท่าเรือภัตตาคาร,ภัตาคาร,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-03,ไม่ผ่านเกณฑ์
บริษัท พรีเมี่ยม ไอศครีม จำกัด (ไอศครีม Swensen's),ร้านจำหน่ายอาหาร,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,SAN,2025-03-21,ไม่ผ่านเกณฑ์
เอเชีย บุฟเฟ่ต์,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,SAN,2024-09-13,ไม่ผ่านเกณฑ์
ข้าวป้านา ลุงโอด,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
เจ๊วรรณหอยทอด,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
ป้าติ๊ด,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
อรุณ,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
ร้านนางสาวสุพัตรา  บุญกล่อม,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-15,หมดอายุ
ครัวป้าเล็ก,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
เจ๊ใจ,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2024-05-14,ไม่ผ่านเกณฑ์
กินกัน,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
ร้านางทัศนีย์  มียอด,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN PLUS,2024-06-13,หมดอายุ
นายปรีชา พุกภักดี,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
โรงอาหาร บมจ.ไทยยูเนี่ยนฟีดมิลล์,โรงอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
ร้านนางสาววระทอง  พากุล,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
ร้านนางสุชาดา  บูรณะศิลปิน,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
โรงอาหาร บจก.อุตสาหกรรมพันท้ายนรสิงห์สินค้าพื้นเมือง,โรงอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
นิวซีแลนด์,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,มาตรฐาน SAN,2024-05-14,หมดอายุ
ส้มตำ ไก่ย่าง วิเชียรบุรี,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-11,รับรอง
แอบอร่อย,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-11,รับรอง
ร้านนางสาวอารี  ศิริ,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-11,รับรอง
ตำริมเล,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-06,รับรอง
ก๋วยเตี๋ยวหมูน้ำแดง,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-06,รับรอง
กะเพราไพเราะ,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-06,รับรอง
ร้านนางสาวสุธรรมมา  แหยมโต,ร้านจำหน่ายอาหาร,กาหลง,เมืองสมุทรสาคร,สมุทรสาคร,SAN,2025-03-06,รับรอง
