name,type,subdistrict,district,province,standard,approve_date,status
ร้านหอมละมุน,ร้านจำหน่ายอาหาร,ตาลเดี่ยว,แก่งคอย,สระบุรี,SAN PLUS,2025-04-25,รับรอง
ร้านบ้านนาปลาเผา,ร้านจำหน่ายอาหาร,ผึ้งรวง,เฉลิมพระเกียรติ,สระบุรี,SAN,2025-04-23,รับรอง
ครัวป้าน้อยผักหวาน,ร้านจำหน่ายอาหาร,สร่างโศก,บ้านหมอ,สระบุรี,SAN,2025-04-25,รับรอง
ร้านลาบเป็ดขอนแก่น(เจ๊นิด),ร้านจำหน่ายอาหาร,บางโขมด,บ้านหมอ,สระบุรี,SAN PLUS,2025-04-25,รับรอง
ครัวป้าอ้วน,ร้านจำหน่ายอาหาร,ทับกวาง,แก่งคอย,สระบุรี,SAN PLUS,2024-08-16,หมดอายุ
ร้านลาบเป็ดขอนแก่น เจ๊นิด,ร้านจำหน่ายอาหาร,บางโขมด,บ้านหมอ,สระบุรี,SAN,2023-07-20,ไม่ผ่านเกณฑ์
สถานพินิจและคุ้มครองเด็กและเยาวชนจังหวัดสระบุรี,โรงอาหาร,ห้วยบง,เฉลิมพระเกียรติ,สระบุรี,SAN,2023-07-17,ไม่ผ่านเกณฑ์
ล้วนข้าวมันไก่ (รพ.พระพุทธบาท),ร้านจำหน่ายอาหาร,ธารเกษม,พระพุทธบาท,สระบุรี,SAN,2023-08-08,ไม่ผ่านเกณฑ์
ด้วงข้าวต้ม (รพ.พระพุทธบาท),ร้านจำหน่ายอาหาร,ธารเกษม,พระพุทธบาท,สระบุรี,SAN,2023-08-08,ไม่ผ่านเกณฑ์
ทองคำ (รพ.พระพุทธบาท),ร้านจำหน่ายอาหาร,ธารเกษม,พระพุทธบาท,สระบุรี,SAN,2025-07-02,รับรอง
ร้านจิตตัง,ร้านจำหน่ายอาหาร,มวกเหล็ก,มวกเหล็ก,สระบุรี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
คาเฟ่ลอร่า,ร้านจำหน่ายอาหาร,มวกเหล็ก,มวกเหล็ก,สระบุรี,SAN,2023-09-06,ไม่ผ่านเกณฑ์
ครัวเบิกบาน,ร้านจำหน่ายอาหาร,มวกเหล็ก,มวกเหล็ก,สระบุรี,SAN,2023-08-08,ไม่ผ่านเกณฑ์
PRUKSA’Cafe,ร้านจำหน่ายอาหาร,คำพราน,วังม่วง,สระบุรี,มาตรฐาน SAN,2024-09-14,หมดอายุ
ร้านคนแฟแฟร์,ร้านจำหน่ายอาหาร,,วังม่วง,สระบุรี,SAN,2023-08-14,ไม่ผ่านเกณฑ์
ศูนย์สระบุรีเนอร์สซิ่งโฮม,โรงอาหาร,ปากเพรียว,เมืองสระบุรี,สระบุรี,SAN PLUS,2025-01-31,รับรอง
ร้านอาหาร(โรงพยาบาลหนองแค),โรงอาหาร,หนองแค,หนองแค,สระบุรี,SAN,2024-12-03,รับรอง
ร้านขายชา กาแฟ (โรงพยาบาลหนองแค),โรงอาหาร,หนองแค,หนองแค,สระบุรี,SAN,2024-12-03,รับรอง
ร้านอาหาร 2 (โรงพยาบาลหนองแค),โรงอาหาร,หนองแค,หนองแค,สระบุรี,SAN,2023-08-14,ไม่ผ่านเกณฑ์
โรงครัว (โรงพยาบาลหนองแค),โรงอาหาร,หนองแค,หนองแค,สระบุรี,SAN,2024-12-03,รับรอง
