name,type,subdistrict,district,province,standard,approve_date,status
เจ้เง็กร้านอาหารเวียดนาม,ร้านจำหน่ายอาหาร,วัฒนานคร,วัฒนานคร,สระแก้ว,SAN PLUS,2025-04-25,รับรอง
Zaap WA Zaan,ร้านจำหน่ายอาหาร,วัฒนานคร,วัฒนานคร,สระแก้ว,SAN PLUS,2025-04-25,รับรอง
ร้านมุมอร่อย,ร้านจำหน่ายอาหาร,วังสมบูรณ์,วังสมบูรณ์,สระแก้ว,SAN,2024-12-04,รับรอง
ร้านสวนขนุน,ร้านจำหน่ายอาหาร,หนองน้ำใส,วัฒนานคร,สระแก้ว,SAN,2025-05-05,รับรอง
เตี๋ยวเรือเข้าาท่า,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-08-25,รับรอง
มาลองฟิน,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านอาหารเช้าสระแก้ว,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-05-07,รับรอง
กินแล้วต้องอิ่ม,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-05-07,รับรอง
แซ่บ เมืองแก้ว,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ยางนากาแฟ,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ครัวดอกคูณ,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-06-27,รับรอง
กาแฟชมทุ่ง,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านครัวการ์ตูน,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-30,ไม่ผ่านเกณฑ์
เด็กชา สาขาเมืองสระแก้ว,อื่นๆ,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ศรีกิจบ้านสวนรีสอร์ต,อื่นๆ,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
เจ้อ้อย อาหารตามสั่ง,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,มาตรฐาน SAN,2025-07-31,หมดอายุ
เจ๊ไล้ส้มตำ,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านอาหารหนึ่งแกงป่าสระแก้ว,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเป็ดป .4,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
บ้านเรือนไทยก๋วยเตี๋ยวเป็ด,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ต้นมะขาม,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
คาเฟ่นาสวน,อื่นๆ,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
เตี๋ยวเรือ @สระแก้ว,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN PLUS,2024-06-28,หมดอายุ
ร้านแซ่บทูเดย์,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-30,ไม่ผ่านเกณฑ์
เจ๊ติ๋มก๋วยเตี๋ยวปลา,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-02,รับรอง
ครัวน้องอุ้ม,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวปากหม้อบ้านเอื้อสระแก้ว ซ.13,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรือทองโบราณ,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,รับรอง
ครัวบ้านใน,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,มาตรฐาน SAN,2025-07-31,หมดอายุ
อโยธยา,ร้านจำหน่ายอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านส้มตำครูแพร,ร้านจำหน่ายอาหาร,ตาพระยา,ตาพระยา,สระแก้ว,SAN,2025-07-31,รับรอง
ลูกชิ้นทิพย์,อื่นๆ,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
ร้านแคนทีน,โรงอาหาร,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
Cafe Amazon ,ร้านเครื่องดื่ม,สระแก้ว,เมืองสระแก้ว,สระแก้ว,SAN,2025-07-31,ไม่ผ่านเกณฑ์
