name,type,subdistrict,district,province,standard,approve_date,status
สเต็กร้านเหล็ก,สวนอาหาร,ไม้ดัด,บางระจัน,สิงห์บุรี,SAN,2024-08-14,ไม่ผ่านเกณฑ์
อริยะเบเกอร์รี่,ร้านจำหน่ายอาหาร,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,SAN,2025-07-02,รับรอง
ร้านริมน้ำ,ร้านจำหน่ายอาหาร,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,SAN,2025-07-01,รับรอง
ร้านผัดไทยอินทร์บุรี,ร้านจำหน่ายอาหาร,ท่างาม,อินทร์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
พุทราทอง,ร้านจำหน่ายอาหาร,โพสังโฆ,ค่ายบางระจัน,สิงห์บุรี,มาตรฐาน SAN,2024-08-19,หมดอายุ
ตำแซ่บเลย,ร้านจำหน่ายอาหาร,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านแซ่บดาบเสริฐ,ร้านจำหน่ายอาหาร,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,SAN,2024-12-04,รับรอง
เตี๋ยวแฟบ้านตาจ้อย,ร้านจำหน่ายอาหาร,โพทะเล,ค่ายบางระจัน,สิงห์บุรี,SAN,2024-10-22,รับรอง
ครัวแม่เกษร,ร้านจำหน่ายอาหาร,ท่างาม,อินทร์บุรี,สิงห์บุรี,SAN,2025-05-04,รับรอง
ครัวมัญจา,ร้านจำหน่ายอาหาร,โพชนไก่,บางระจัน,สิงห์บุรี,SAN,2025-06-20,รับรอง
ระเบียงนำ้,ร้านจำหน่ายอาหาร,โพชนไก่,บางระจัน,สิงห์บุรี,SAN,2025-05-04,รับรอง
ร่มไม้ปลายนา,ร้านจำหน่ายอาหาร,โพชนไก่,บางระจัน,สิงห์บุรี,SAN,2024-08-14,ไม่ผ่านเกณฑ์
ร้านอาหารกฤษฏิพงศ์,ร้านจำหน่ายอาหาร,พิกุลทอง,ท่าช้าง,สิงห์บุรี,SAN,2024-08-23,ไม่ผ่านเกณฑ์
เรือนไม้ใบเงิน,ร้านจำหน่ายอาหาร,โพประจักษ์,ท่าช้าง,สิงห์บุรี,SAN,2025-07-07,รับรอง
ร้านร่มพิกุล,ร้านจำหน่ายอาหาร,พิกุลทอง,ท่าช้าง,สิงห์บุรี,SAN,2025-08-04,รับรอง
ร้านก๋วยเตี๋ยวหมูเจ๊น้อย บางแคใน สิงห์บุรี,ร้านจำหน่ายอาหาร,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-04-23,ไม่ผ่านเกณฑ์
นายหัวหมูกะทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ต้นโพธิ์,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-05-19,ไม่ผ่านเกณฑ์
ข้าวต้มพรศรี,ร้านจำหน่ายอาหาร,ต้นโพธิ์,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-04-25,ไม่ผ่านเกณฑ์
ครัวSiri,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-22,ไม่ผ่านเกณฑ์
เต็ก โต้รุ่ง,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-19,ไม่ผ่านเกณฑ์
แพร,ร้านจำหน่ายอาหาร,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-05-19,ไม่ผ่านเกณฑ์
ข้างบ้าน Khang Ban Muang Singburi,ร้านเครื่องดื่ม,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-05-19,ไม่ผ่านเกณฑ์
ผัดไทยบางมอญ,ร้านจำหน่ายอาหาร,ต้นโพธิ์,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-19,ไม่ผ่านเกณฑ์
เจ๊แหม่ม,ร้านจำหน่ายอาหาร,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-05-13,รับรอง
ก๋วยเตี๋ยวเจ๊เซี้ยม,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-06-27,รับรอง
เจ๊หมึก อาหารตามสั่ง,ร้านจำหน่ายอาหาร,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-19,ไม่ผ่านเกณฑ์
บ้านข้าวหอมฟาร์มสเตย์,อื่นๆ,หัวไผ่,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
สะอาดชวนชิม,ร้านจำหน่ายอาหาร,โพกรวม,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านข้าวแกงบัวตอง,ร้านจำหน่ายอาหาร,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,SAN,2024-08-23,ไม่ผ่านเกณฑ์
กุ้งเผาแพลุงเช้า,ร้านจำหน่ายอาหาร,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,SAN,2025-07-30,รับรอง
กุ้งเผาทองชุบ,ร้านจำหน่ายอาหาร,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,SAN,2025-07-30,รับรอง
สวนพ่อปัญญาครัวแม่แฉล้ม,ร้านจำหน่ายอาหาร,พระงาม,พรหมบุรี,สิงห์บุรี,SAN,2024-08-23,ไม่ผ่านเกณฑ์
สวนอาหารฟองคำ,สวนอาหาร,พระงาม,พรหมบุรี,สิงห์บุรี,SAN,2024-08-23,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวสุโขทัย,ร้านจำหน่ายอาหาร,บางน้ำเชี่ยว,พรหมบุรี,สิงห์บุรี,SAN,2025-01-09,รับรอง
ร้านเจริญทิพย์,ร้านจำหน่ายอาหาร,บางมัญ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ร้านลูกบอล,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-05-19,ไม่ผ่านเกณฑ์
ร้านท่าพระจันทร์,ร้านจำหน่ายอาหาร,บางกระบือ,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
ข้าวมันไก่อาฮง,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2025-06-16,รับรอง
ข้างแกงแม่สังเวียน,ร้านจำหน่ายอาหาร,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,SAN,2024-08-27,ไม่ผ่านเกณฑ์
