name,type,subdistrict,district,province,standard,approve_date,status
สวนอาหารเบญจรงค์  ,ร้านจำหน่ายอาหาร,วังน้ำซับ,ศรีประจันต์,สุพรรณบุรี,SAN PLUS,2025-05-21,รับรอง
นพรัตน์ภัตตาคาร,ภัตาคาร,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,SAN,2024-05-24,ไม่ผ่านเกณฑ์
กุ้งเป็น,ร้านจำหน่ายอาหาร,สามชุก,สามชุก,สุพรรณบุรี,SAN,2024-08-10,ไม่ผ่านเกณฑ์
ขจี คาเฟ่ แอนด์ โฮสเทล,ร้านจำหน่ายอาหาร,สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ร้านบังเอิญ,ร้านจำหน่ายอาหาร,เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,SAN,2024-02-06,ไม่ผ่านเกณฑ์
ครัวร่มไม้ปลาเผา,ร้านจำหน่ายอาหาร,อู่ทอง,อู่ทอง,สุพรรณบุรี,SAN,2024-02-05,ไม่ผ่านเกณฑ์
ริมคลองเฮ้าส์ บางปลาม้า,ร้านจำหน่ายอาหาร,บางปลาม้า,บางปลาม้า,สุพรรณบุรี,SAN,2024-02-05,ไม่ผ่านเกณฑ์
ครัวกับข้าวกับปลา,ร้านจำหน่ายอาหาร,ดอนเจดีย์,ดอนเจดีย์,สุพรรณบุรี,SAN,2024-05-23,ไม่ผ่านเกณฑ์
ครัว อบต.แดง,ร้านจำหน่ายอาหาร,หนองมะค่าโมง,ด่านช้าง,สุพรรณบุรี,SAN,2025-05-23,รับรอง
ไฮโซรสแซบ,ร้านจำหน่ายอาหาร,รั้วใหญ่,เมืองสุพรรณบุรี,สุพรรณบุรี,SAN,2024-02-05,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวเรือกิมเต๊ก,ร้านจำหน่ายอาหาร,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,SAN,2024-02-05,ไม่ผ่านเกณฑ์
