name,type,subdistrict,district,province,standard,approve_date,status
ร้านอาหารครัวไชยา,ร้านจำหน่ายอาหาร,ป่าเว,ไชยา,สุราษฎร์ธานี,SAN PLUS,2025-04-03,รับรอง
ร้านอาหารสวนกล้วยไม้,ร้านจำหน่ายอาหาร,ปากแพรก,ดอนสัก,สุราษฎร์ธานี,SAN PLUS,2025-05-20,รับรอง
ร้านอาหารชมบาง,ร้านจำหน่ายอาหาร,คลองน้อย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2023-06-06,ไม่ผ่านเกณฑ์
ร้านอาหารเขาศก กรีนวัลเลย์ รีสอร์ท,ร้านจำหน่ายอาหาร,คลองศก,พนม,สุราษฎร์ธานี,SAN PLUS,2025-05-01,รับรอง
ครัวช่องเขา,ร้านจำหน่ายอาหาร,ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,SAN,2024-09-10,รับรอง
บริษัท เอยู บูท ดูมองค์ คิว. คิว. เจ. จำกัด,ร้านจำหน่ายอาหาร,ตลิ่งงาม,เกาะสมุย,สุราษฎร์ธานี,SAN,2023-06-23,ไม่ผ่านเกณฑ์
ตาขุนขนมจีนเส้นสด,ร้านจำหน่ายอาหาร,เขาวง,บ้านตาขุน,สุราษฎร์ธานี,SAN,2023-08-25,ไม่ผ่านเกณฑ์
ร้านโรงเตี๊ยม บ้านเกาะแรต,ร้านจำหน่ายอาหาร,ดอนสัก,ดอนสัก,สุราษฎร์ธานี,SAN,2025-07-01,รับรอง
เคเอฟซี สาขาโลตัสไชยา,ร้านจำหน่ายอาหาร,เวียง,ไชยา,สุราษฎร์ธานี,SAN,2024-09-10,ไม่ผ่านเกณฑ์
ร้านซินฮั้วล้ง,ร้านจำหน่ายอาหาร,นาสาร,บ้านนาสาร,สุราษฎร์ธานี,SAN,2025-04-10,ไม่ผ่านเกณฑ์
อิสานบ้านเจ้าคุณ,ร้านจำหน่ายอาหาร,เวียงสระ,เวียงสระ,สุราษฎร์ธานี,SAN,2025-04-23,ไม่ผ่านเกณฑ์
ครัวบ้านฉาน,ร้านจำหน่ายอาหาร,ชลคราม,ดอนสัก,สุราษฎร์ธานี,SAN,2023-09-20,ไม่ผ่านเกณฑ์
ชาพะยอม@บ้านดอน,ร้านเครื่องดื่ม,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-07-31,รับรอง
ก๋วยเตี๋ยวไก่ตุ๋นเด่งบุญเชียว,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
ชั้นหนึ่ง,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
ชอร์ชา,ร้านเครื่องดื่ม,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
Cafe  Amazon,ร้านเครื่องดื่ม,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
บริษัท วังใต้ จำกัด (ห้องอาหารท่าทอง),ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
ข้าวแกงบ้านส้อง,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
ร้านครัวน้องดา,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
กุยช่ายคุณแป๋ว,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
ร้านป้าเขียด,ร้านจำหน่ายอาหาร,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,SAN,2025-01-31,รับรอง
