name,type,subdistrict,district,province,standard,approve_date,status
มิตรดีบะหมี่เกี๊ยว,ร้านจำหน่ายอาหาร,แกใหญ่,เมืองสุรินทร์,สุรินทร์,SAN PLUS,2025-05-01,รับรอง
ครัว ก.ไก่,ร้านจำหน่ายอาหาร,ยาง,ศีขรภูมิ,สุรินทร์,SAN,2023-05-29,ไม่ผ่านเกณฑ์
เคเอฟซี ปตท.ศีขรภูมิ,ร้านจำหน่ายอาหาร,ระแงง,ศีขรภูมิ,สุรินทร์,SAN,2023-08-21,ไม่ผ่านเกณฑ์
แม่ปลาบู่,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2023-08-23,ไม่ผ่านเกณฑ์
เอ๋ จานโปรด,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2025-06-16,รับรอง
ล้อเกวียน,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2024-08-20,ไม่ผ่านเกณฑ์
ใบไม้ร่าเริง,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2024-08-19,ไม่ผ่านเกณฑ์
โก๋แหล่,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2023-08-23,ไม่ผ่านเกณฑ์
เพชรปราสาท,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2024-09-17,ไม่ผ่านเกณฑ์
ร้านน้องเบียร์,ร้านจำหน่ายอาหาร,กังแอน,ปราสาท,สุรินทร์,SAN,2023-08-23,ไม่ผ่านเกณฑ์
ทิพย์รส,ร้านจำหน่ายอาหาร,ในเมือง,เมืองสุรินทร์,สุรินทร์,SAN,2024-12-04,รับรอง
ร้านผัดไทบ้านสกล ก๋วยเตี๋ยว อาหารตามสั่ง ส้มตำ,ร้านจำหน่ายอาหาร,ตะเคียน,กาบเชิง,สุรินทร์,SAN,2023-10-11,ไม่ผ่านเกณฑ์
ร้านป้าเจียม,ร้านจำหน่ายอาหาร,เบิด,รัตนบุรี,สุรินทร์,SAN,2025-07-02,รับรอง
