name,type,subdistrict,district,province,standard,approve_date,status
ร้านบ้านครูอิ๋ว,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,มาตรฐาน SAN,2024-06-28,หมดอายุ
สวัสดิการ ก.สค. สุโขทัย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-24,ไม่ผ่านเกณฑ์
ร้านเจ้แขก,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
แก้วต้มเลือดหมู,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
Mai pra dit,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
ก๋วยเตียวสุโขทัย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านโป๊ะเป๊ะ,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-30,ไม่ผ่านเกณฑ์
ร้านข้าวมันไก่นายพล,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านแน่,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านเจี๊ยบก๋วยเตี๋ยววัดดงมูลเหล็ก,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ร้านพวกกัน,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านเย็นตาโฟทรงเครื่อง,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
Drunken Steak,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านต้มเลือด,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ส้มตำยำสเต๊ก,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวเรือร้อยล้าน,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านบะหมี่เกี๊ยว,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านบ้านรักษ์ไม้,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-06-28,ไม่ผ่านเกณฑ์
ร้านนายน้อยหอยทอด,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านสุกี้ม้าว,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้าน So wate,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านพิซซ่าเตาฟืนสุโขทัย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-06-16,รับรอง
KFC เค เอฟ ซี สุโขทัย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
Yellow steak,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านโกตี๋,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
ก๋วยเตี๋ยวตาอ้วน,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ร้าน Sashimilovers,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ร้านขนมจีนป้าแขก,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
ร้านจูดิธเฮ้าส์,ร้านเครื่องดื่ม,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-06-28,ไม่ผ่านเกณฑ์
ก๋วยเตียวยูนิเซฟ,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,มาตรฐาน SAN,2023-05-24,หมดอายุ
ร้านอาหารลุงจ้อย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวป้าเพ็ญ,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,มาตรฐาน SAN,2025-08-04,หมดอายุ
ต้มเลือดหมูบ้านไม้สัก,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-24,ไม่ผ่านเกณฑ์
ตำม้าว,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
ตี๋ต้มเลือด,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-26,ไม่ผ่านเกณฑ์
กนกภัณฑ์,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-26,ไม่ผ่านเกณฑ์
ครัวท้ายซอย,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-08-04,ไม่ผ่านเกณฑ์
ร้านเสริฐโภชนา,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-25,ไม่ผ่านเกณฑ์
ร้านบุญเลี้ยงโภชนา 2,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-04-09,รับรอง
ก๋วยเตียวตาบุญ,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-25,ไม่ผ่านเกณฑ์
ป้าอ้วนหมูจุ่ม,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,มาตรฐาน SAN,2023-05-25,หมดอายุ
4ดี โภชนา,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-25,ไม่ผ่านเกณฑ์
สมพลโภชนา,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-25,ไม่ผ่านเกณฑ์
หอยทอดรีเจนซี่,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2023-05-25,ไม่ผ่านเกณฑ์
นมนุ่ม,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-05-28,รับรอง
In Black,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-08-04,ไม่ผ่านเกณฑ์
Charlotte 58 Cafe,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2025-07-01,รับรอง
ซื่อ กิม สุ่น,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-10-24,รับรอง
ข้าวมันไก่โอเบ,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,มาตรฐาน SAN,2023-05-25,หมดอายุ
ก โภชนา,ร้านจำหน่ายอาหาร,ธานี,เมืองสุโขทัย,สุโขทัย,SAN,2024-08-21,ไม่ผ่านเกณฑ์
