name,type,subdistrict,district,province,standard,approve_date,status
สเต็กผู้พัน,อื่นๆ,ค่ายบกหวาน,เมืองหนองคาย,หนองคาย,SAN PLUS,2025-06-16,รับรอง
ลาบ ก้อย ต้ม,ร้านจำหน่ายอาหาร,นาข่า,ท่าบ่อ,หนองคาย,มาตรฐาน SAN,2025-07-06,หมดอายุ
ร้านอีสานกันเอง 9 ท่าบ่อ ,ร้านจำหน่ายอาหาร,ท่าบ่อ,ท่าบ่อ,หนองคาย,SAN,2025-05-01,รับรอง
ร้านยายจ่อย ,ร้านจำหน่ายอาหาร,นาข่า,ท่าบ่อ,หนองคาย,มาตรฐาน SAN,2025-07-06,หมดอายุ
ร้านก๋วยเตี๋ยวยายสัน,ร้านจำหน่ายอาหาร,นาข่า,ท่าบ่อ,หนองคาย,SAN PLUS,2025-02-10,รับรอง
ร้านผู้ช่วยเเหม่ง,ร้านจำหน่ายอาหาร,นาข่า,ท่าบ่อ,หนองคาย,SAN PLUS,2025-05-08,รับรอง
ร้านอาหารลุงหนวด ,ร้านจำหน่ายอาหาร,นาข่า,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
ร้านลาบเป็ดออฟโรด,ร้านจำหน่ายอาหาร,โพนสา,ท่าบ่อ,หนองคาย,SAN,2025-06-13,รับรอง
ร้านข้าวแกงโพนสา,ร้านจำหน่ายอาหาร,โพนสา,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวแม่จันหอม,ร้านจำหน่ายอาหาร,โพนสา,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยว,ร้านจำหน่ายอาหาร,โพนสา,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
ร้านส้มตำ,ร้านจำหน่ายอาหาร,โพนสา,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
ก๊วยเตี๋ยวชบา,ร้านจำหน่ายอาหาร,น้ำโมง,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
คูณอาหารตามสั่ง,ร้านจำหน่ายอาหาร,น้ำโมง,ท่าบ่อ,หนองคาย,SAN,2025-07-06,ไม่ผ่านเกณฑ์
