name,type,subdistrict,district,province,standard,approve_date,status
ลูกชิ้นทอด,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2023-09-18,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยวแม่ลำดวล,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
ไก่ย่างวิเชียรบุรี,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
เจี๊ยบแซบ,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
เนื้อย่างลำโขง,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-05-28,รับรอง
ส้มตำยายเพชร,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
ลูกชิ้นทอดกำลังใจ,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-07-08,ไม่ผ่านเกณฑ์
ศรีสุขการค้า,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-06-11,รับรอง
วันชัยไก่ย่างวิเชียรบุรี,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-06-11,รับรอง
ครัวน้องพี,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-07-04,รับรอง
ร้านกกขาใหญ่,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2024-09-05,รับรอง
ร้านผู้ใหญ่บ้าน หมู่ 1,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-06-10,ไม่ผ่านเกณฑ์
ก๋วยเตี๋ยว 99,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-06-10,ไม่ผ่านเกณฑ์
แวะอิ่มอีสาน,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-06-10,ไม่ผ่านเกณฑ์
รุ่งนภาส้มตำ,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN PLUS,2025-05-07,รับรอง
พ่ออำนวยปิ้งย่าง,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN PLUS,2024-11-06,รับรอง
ร้านศรีศักดิ์,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2023-09-22,ไม่ผ่านเกณฑ์
ร้านก๋วยเตี๋ยวแววมณี,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-03-04,รับรอง
ร้านวุฒิชัย,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2023-09-22,ไม่ผ่านเกณฑ์
ร้านเบญจวรรณ์,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2023-09-18,ไม่ผ่านเกณฑ์
ข้าวขาหมู,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-08-08,รับรอง
บ้านไม้,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN PLUS,2024-11-06,รับรอง
ตำนัวครัวแม่พร,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2023-09-18,ไม่ผ่านเกณฑ์
PJ PIZZA,ร้านจำหน่ายอาหาร,โนนทัน,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN PLUS,2024-11-06,รับรอง
เหลียงชัย,ร้านจำหน่ายอาหาร,,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2024-09-05,ไม่ผ่านเกณฑ์
SP ฟาร์ม,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-07,ไม่ผ่านเกณฑ์
ร้านลาบเป็ดโนนสงเปือย,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2024-09-05,ไม่ผ่านเกณฑ์
รูท 88,ร้านเครื่องดื่ม,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
ต้นคูน,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-06-11,ไม่ผ่านเกณฑ์
นาง-น้อยข้าวหมูแดง,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
หลังอำเภอ,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
ดีแท้หมูกระทะ,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
ชิลล์ชาบู,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โนนสัง,โนนสัง,หนองบัวลำภู,มาตรฐาน SAN,2023-07-27,หมดอายุ
สกุนาเนื้อย่างเกาหลี,ร้านบุฟเฟ่ต์ (ปิ้งย่าง/ชาบู/สุกี้),โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2024-12-04,รับรอง
ไก่ย่างวิเชียรบุรี(แม่บุญเหลือ),ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
ครัวไผ่งาม,ร้านจำหน่ายอาหาร,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
สายปั่น,ร้านเครื่องดื่ม,โนนสัง,โนนสัง,หนองบัวลำภู,SAN,2025-01-31,รับรอง
สามเก้า,ร้านจำหน่ายอาหาร,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2024-02-21,ไม่ผ่านเกณฑ์
แม่เล็ก,ร้านจำหน่ายอาหาร,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2024-02-21,ไม่ผ่านเกณฑ์
ชาร์คชา,ร้านจำหน่ายอาหาร,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,มาตรฐาน SAN,2024-02-21,หมดอายุ
บะหมี่ เกี๋ยว,ร้านจำหน่ายอาหาร,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,SAN,2025-04-01,รับรอง
